Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
++,3343,1961,1382,377,452,629,679,529,472,204,275,1105,1612,301,450,653,409,461,118,179,773,301,1776,417,703,221,178,917,185,1032,1161,587,1150.0,638.0,969,253,631,2390,512,404,1611,681,63,2384,959,812,1428,1104,2881,222,216,1014,56,2242,31,3343,0,0,0,2543,800,0,0,1727,1532,2233,1060,1396,924,742,1994,1293,54,2894,436,1806,897,615
++,0.12,0.15,0.1,0.11,0.11,0.14,0.14,0.13,0.11,0.08,0.06,0.09,0.19,0.12,0.2,0.21,0.12,0.08,0.08,0.1,0.1,0.12,0.13,0.12,0.12,0.12,0.08,0.11,0.11,0.12,0.13,0.11,0.12,0.12,0.12,0.12,0.09,0.13,0.07,0.1,0.12,0.27,0.28,0.13,0.1,0.1,0.11,0.15,0.14,0.08,0.05,0.1,0.04,0.14,0.05,1,0,0,0,0.66,0.06,0,0,0.15,0.1,0.14,0.1,0.19,0.09,0.15,0.59,0.1,0,0.12,0.1,0.16,0.08,0.13
+,9982,5009,4973,1570,1715,1745,1775,1399,1236,541,1196,4158,3358,1078,868,1282,1388,2181,491,621,2073,1078,5002,1393,2351,579,514,2899,545,3019,3377,1656,3228.0,2005.0,3092,700,2682,6365,1966,1331,5195,1030,91,6665,3317,2634,4650,2683,8057,912,920,3754,275,5830,123,0,9982,0,0,865,5327,1999,1791,4299,5160,5794,3811,2887,3626,1711,873,5709,3360,8711,1214,4389,3927,1528
+,0.36,0.37,0.34,0.43,0.42,0.38,0.37,0.34,0.3,0.2,0.25,0.35,0.39,0.44,0.4,0.42,0.41,0.36,0.32,0.35,0.27,0.44,0.35,0.42,0.39,0.31,0.22,0.34,0.32,0.35,0.38,0.29,0.34,0.39,0.4,0.33,0.4,0.35,0.28,0.33,0.4,0.41,0.41,0.36,0.36,0.32,0.37,0.37,0.39,0.34,0.23,0.37,0.19,0.37,0.21,0,1,0,0,0.22,0.44,0.41,0.25,0.37,0.35,0.37,0.34,0.38,0.37,0.36,0.26,0.43,0.3,0.37,0.29,0.39,0.35,0.31
-,7574,3550,4025,844,1046,1297,1322,1183,1152,731,1247,3476,2141,550,521,697,991,1792,416,399,2209,550,4064,798,1463,524,650,2189,447,2430,2432,1522,2679.0,1313.0,2060,511,1894,4985,2034,1232,3472,526,37,5162,2413,2332,3357,1881,5349,796,1209,2853,359,4197,166,0,0,7574,0,451,3887,1601,1636,3169,3956,4314,3001,1891,2768,1273,452,4066,3025,6305,1207,2838,3341,1259
-,0.27,0.26,0.28,0.23,0.25,0.28,0.28,0.29,0.28,0.28,0.27,0.3,0.25,0.23,0.24,0.23,0.29,0.3,0.27,0.23,0.29,0.23,0.29,0.24,0.25,0.28,0.27,0.26,0.27,0.28,0.28,0.27,0.28,0.26,0.27,0.24,0.28,0.27,0.29,0.31,0.27,0.21,0.17,0.27,0.26,0.28,0.27,0.26,0.26,0.29,0.29,0.28,0.26,0.26,0.28,0,0,1,0,0.12,0.32,0.33,0.23,0.28,0.27,0.28,0.27,0.25,0.28,0.27,0.13,0.31,0.27,0.27,0.29,0.26,0.29,0.26
--,7132,3004,4128,850,894,928,1018,1006,1282,1154,1977,3049,1406,507,345,425,591,1571,504,571,2618,507,3333,724,1431,558,1030,2522,497,2171,1886,1864,2434.0,1188.0,1646,660,1554,4664,2538,1042,2744,293,30,4481,2651,2430,3069,1620,4177,774,1786,2563,711,3580,278,0,0,0,7132,17,2138,1284,3692,2249,4057,3301,3280,1337,2510,1072,52,2201,4819,5631,1376,2072,3209,1445
