- Political interest index,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Strong,3876,2276,1600,366,796,1088,1625,366,464,633,787,693,644,288,11,427,438,1336,1146,955,394,1278,1816,324,451,745,427,513,141,211,1063,324,2165,441,752,250,224,1041,185,1281,1325,685,1446.0,747.0,997,246,702,2845,610,484,1920,732,59,2837,1039,1015,1664,1193,3222,313,307,1091,91,2656,37,2543,865,451,17,3876,0,0,0,2015,1758,2600,1231,1631,1128,815,3013,863,0,3340,506,2087,1003,759
Strong,0.14,0.17,0.11,0.1,0.12,0.15,0.15,0.1,0.11,0.14,0.16,0.17,0.15,0.11,0.13,0.12,0.12,0.17,0.15,0.11,0.08,0.11,0.21,0.13,0.21,0.24,0.13,0.08,0.09,0.12,0.14,0.13,0.15,0.13,0.13,0.13,0.09,0.12,0.11,0.15,0.15,0.12,0.15,0.15,0.13,0.11,0.1,0.15,0.09,0.12,0.15,0.29,0.26,0.15,0.11,0.12,0.13,0.16,0.16,0.11,0.07,0.11,0.06,0.17,0.06,0.76,0.09,0.06,- ,1,- ,- ,- ,0.18,0.12,0.17,0.11,0.22,0.12,0.17,0.89,0.07,- ,0.14,0.12,0.19,0.09,0.16
Medium,12152,6248,5904,1271,2903,3338,4640,1271,1823,2145,2273,1896,1814,930,14,1325,1339,3732,3556,3525,1635,5298,4103,901,1071,1573,1804,2619,507,541,3136,901,6804,1384,2234,759,825,3219,599,4006,4182,2240,4239.0,2282.0,3391,657,2902,8315,2336,1708,6377,1190,99,8448,3704,3595,5429,3125,9167,1319,1442,4515,472,7006,159,800,5327,3887,2138,0,12152,0,0,5816,5838,7563,4304,3406,4608,2259,354,11300,492,10552,1500,5417,4805,1808
Medium,0.43,0.46,0.41,0.35,0.45,0.47,0.42,0.35,0.44,0.47,0.47,0.46,0.44,0.35,0.17,0.37,0.37,0.46,0.47,0.4,0.35,0.45,0.48,0.37,0.49,0.52,0.53,0.44,0.33,0.31,0.41,0.37,0.48,0.42,0.37,0.4,0.35,0.38,0.36,0.46,0.47,0.4,0.45,0.44,0.44,0.31,0.43,0.45,0.33,0.43,0.49,0.47,0.45,0.45,0.4,0.44,0.44,0.43,0.45,0.49,0.35,0.44,0.34,0.44,0.27,0.24,0.53,0.51,0.3,- ,1,- ,- ,0.51,0.4,0.48,0.38,0.45,0.47,0.47,0.11,0.85,0.04,0.45,0.35,0.49,0.42,0.37
Low,4884,2294,2589,690,1132,1232,1830,690,721,803,840,625,741,463,20,624,644,1334,1326,1580,840,2082,1398,482,337,426,579,1097,273,343,1347,482,2324,641,1134,320,410,1572,292,1469,1496,1017,1640.0,830.0,1397,397,1276,3085,1352,796,2144,375,28,3279,1605,1421,2284,1179,3533,488,685,1776,226,2711,172,0,1999,1601,1284,0,0,4884,0,1671,2879,2610,2086,1320,1802,826,5,1106,3736,3994,846,1571,2156,1036
Low,0.18,0.17,0.18,0.19,0.18,0.18,0.17,0.19,0.18,0.17,0.18,0.15,0.18,0.18,0.24,0.18,0.17,0.16,0.18,0.18,0.18,0.18,0.17,0.2,0.15,0.14,0.17,0.18,0.18,0.19,0.17,0.2,0.17,0.19,0.19,0.17,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.16,0.18,0.19,0.19,0.17,0.19,0.2,0.16,0.15,0.13,0.18,0.17,0.17,0.18,0.16,0.17,0.18,0.17,0.17,0.16,0.17,0.29,- ,0.2,0.21,0.18,- ,- ,1,- ,0.14,0.19,0.17,0.19,0.18,0.18,0.17,- ,0.08,0.33,0.17,0.2,0.14,0.19,0.21
Not at all,7119,2705,4414,1313,1639,1373,2795,1313,1099,1018,894,903,942,949,38,1190,1229,1718,1507,2666,1825,3130,1201,728,325,313,569,1776,607,675,2126,728,2883,866,1828,553,914,2696,599,1895,1853,1687,2166.0,1284.0,1982,824,1882,4159,2751,1023,2581,232,35,4127,2992,2178,3126,1790,4542,584,1698,2802,611,3476,230,0,1791,1636,3692,0,0,0,7119,1942,4229,2870,3532,1154,2290,899,0,0,7030,5655,1381,2030,3410,1245
Not at all,0.25,0.2,0.3,0.36,0.25,0.2,0.26,0.36,0.27,0.22,0.19,0.22,0.23,0.36,0.46,0.33,0.34,0.21,0.2,0.31,0.39,0.26,0.14,0.3,0.15,0.1,0.17,0.3,0.4,0.38,0.28,0.3,0.2,0.26,0.31,0.3,0.39,0.32,0.36,0.22,0.21,0.3,0.23,0.25,0.25,0.39,0.28,0.23,0.39,0.25,0.2,0.09,0.16,0.22,0.32,0.27,0.25,0.25,0.22,0.22,0.41,0.28,0.44,0.22,0.38,- ,0.18,0.22,0.52,- ,- ,- ,1,0.17,0.29,0.18,0.32,0.15,0.23,0.19,- ,- ,0.63,0.24,0.33,0.18,0.3,0.26
