"In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
1 GAUCHE,1097,521,575,139,230,241,487,139,145,141,185,208,165,114,2,160,162,354,272,309,155,483,329,98,68,95,144,193,45,102,352,98,499,168,205,101,118,363,61,352,315,253,380.0,192.0,272,133,304,618,400,200,411,53,12,719,378,263,433,401,760,91,203,415,61,597,25,229,388,229,250,251,491,131,224,405,643,572,501,1097,0,0,214,537,343,859,228,467,367,243
    LEFT,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.05,0.04,0.04,0.02,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.06,0.05,0.04,0.03,0.05,0.03,0.05,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.06,0.04,0.03,0.06,0.05,0.03,0.02,0.05,0.04,0.04,0.03,0.04,0.06,0.04,0.03,0.05,0.04,0.04,0.04,0.04,0.07,0.04,0.03,0.04,0.07,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.15,- ,- ,0.06,0.04,0.03,0.04,0.05,0.04,0.03,0.05
2,1009,479,531,128,268,232,381,128,192,162,145,165,139,77,1,118,119,291,240,359,145,313,407,113,78,143,79,199,65,79,253,113,431,157,276,55,69,343,57,357,230,219,417.0,129.0,245,79,273,632,275,165,433,110,2,636,373,236,414,360,807,64,123,344,34,615,16,216,398,223,173,234,448,158,169,435,526,558,426,1009,0,0,185,506,316,830,177,475,313,213
2,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.05,0.03,0.03,0.04,0.03,0.03,0.01,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.05,0.05,0.04,0.05,0.02,0.03,0.04,0.04,0.03,0.05,0.03,0.05,0.05,0.03,0.03,0.04,0.03,0.04,0.02,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.01,0.03,0.04,0.03,0.03,0.05,0.04,0.03,0.03,0.03,0.02,0.04,0.03,0.07,0.04,0.03,0.02,0.06,0.04,0.03,0.02,0.04,0.04,0.03,0.04,0.13,- ,- ,0.05,0.04,0.03,0.03,0.04,0.04,0.03,0.04
3,2565,1323,1242,307,602,659,997,307,377,439,446,376,425,196,9,299,307,790,703,764,386,871,996,256,185,360,310,480,86,149,739,256,1243,341,577,185,190,822,131,816,768,549,948.0,481.0,587,176,584,1760,578,375,1172,343,20,1708,856,663,1088,813,2014,217,274,816,129,1583,36,460,1002,660,442,560,1158,458,388,1223,1233,1553,964,2565,0,0,473,1299,790,2153,402,1211,906,413
3,0.09,0.1,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.1,0.09,0.09,0.1,0.08,0.11,0.08,0.08,0.1,0.09,0.09,0.08,0.07,0.12,0.1,0.08,0.12,0.09,0.08,0.06,0.08,0.1,0.1,0.09,0.1,0.1,0.1,0.08,0.1,0.08,0.09,0.09,0.1,0.1,0.09,0.08,0.08,0.09,0.1,0.08,0.09,0.09,0.14,0.09,0.09,0.09,0.08,0.09,0.11,0.1,0.08,0.07,0.08,0.09,0.1,0.06,0.14,0.1,0.09,0.06,0.14,0.1,0.09,0.06,0.11,0.08,0.1,0.09,0.34,- ,- ,0.14,0.1,0.07,0.09,0.1,0.11,0.08,0.08
4,2840,1436,1404,348,676,797,1019,348,426,459,588,439,391,190,10,247,257,873,816,894,371,1055,1104,291,256,462,387,527,102,150,665,291,1491,317,657,180,177,880,134,819,990,590,892.0,546.0,813,129,598,2062,560,420,1448,332,21,1898,942,699,1359,778,2288,247,269,866,81,1853,40,490,1099,778,472,585,1309,573,373,1377,1380,1841,953,2840,0,0,514,1508,815,2534,297,1366,1084,368
4,0.1,0.11,0.1,0.1,0.1,0.11,0.09,0.1,0.1,0.1,0.12,0.11,0.09,0.07,0.12,0.07,0.07,0.11,0.11,0.1,0.08,0.09,0.13,0.12,0.12,0.15,0.12,0.09,0.07,0.08,0.09,0.12,0.11,0.1,0.11,0.1,0.07,0.1,0.08,0.1,0.11,0.1,0.09,0.11,0.1,0.06,0.09,0.11,0.08,0.11,0.11,0.13,0.1,0.1,0.1,0.08,0.11,0.11,0.11,0.09,0.07,0.08,0.06,0.12,0.07,0.15,0.11,0.1,0.07,0.15,0.11,0.12,0.05,0.12,0.09,0.12,0.09,0.38,- ,- ,0.15,0.11,0.07,0.11,0.07,0.12,0.1,0.08
