"In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)","In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
LEFT,2106,1000,1106,267,337,303,330,373,303,191,299,796,735,211,146,238,223,392,110,181,604,211,929,325,481,156,187,706,118,710,544,472,796.0,321.0,517,212,577,1250,674,365,844,163,14,1354,751,498,847,761,1567,155,327,759,95,1212,41,445,786,452,423,485,939,289,393,840,1168,1129,927,2106,0,0,399,1043,659,1689,405,942,680,455
LEFT,0.08,0.07,0.08,0.07,0.08,0.07,0.07,0.09,0.07,0.07,0.06,0.07,0.08,0.09,0.07,0.08,0.07,0.07,0.07,0.1,0.08,0.09,0.07,0.1,0.08,0.08,0.08,0.08,0.07,0.08,0.06,0.08,0.08,0.06,0.07,0.1,0.09,0.07,0.1,0.09,0.06,0.06,0.06,0.07,0.08,0.06,0.07,0.1,0.08,0.06,0.08,0.07,0.07,0.08,0.07,0.13,0.08,0.06,0.06,0.12,0.08,0.06,0.05,0.07,0.08,0.07,0.08,0.28,0,0,0.12,0.08,0.06,0.07,0.1,0.08,0.06,0.09
(3-4),5405,2759,2645,655,802,898,1033,815,816,386,757,1926,2100,547,440,822,697,1007,188,298,1405,547,2734,659,1234,365,368,1702,265,1635,1758,1139,1840.0,1026.0,1399,305,1183,3823,1138,794,2620,675,41,3606,1799,1362,2447,1592,4303,463,542,1682,210,3436,77,951,2101,1439,914,1145,2467,1031,761,2601,2613,3394,1917,5405,0,0,987,2806,1605,4687,699,2577,1990,782
(3-4),0.19,0.21,0.18,0.18,0.2,0.2,0.22,0.2,0.2,0.15,0.16,0.16,0.25,0.22,0.2,0.27,0.21,0.17,0.12,0.17,0.18,0.22,0.19,0.2,0.21,0.19,0.15,0.2,0.16,0.19,0.2,0.2,0.19,0.2,0.18,0.14,0.17,0.21,0.16,0.2,0.2,0.27,0.18,0.19,0.19,0.17,0.2,0.22,0.21,0.17,0.13,0.17,0.15,0.22,0.13,0.29,0.21,0.19,0.13,0.3,0.2,0.21,0.11,0.23,0.18,0.22,0.17,0.72,0,0,0.29,0.21,0.14,0.2,0.16,0.23,0.17,0.16
(5-6)  CENTRE,9828,4762,5066,1143,1470,1705,1738,1443,1412,917,1649,4361,2959,729,703,1099,1232,2306,526,521,2712,729,5254,1108,1970,663,763,2791,605,3094,3268,1939,3337.0,1833.0,2720,627,2176,6877,2409,1338,4918,813,78,6623,3206,3161,4407,2258,7313,1047,1273,3151,441,6067,169,924,3626,2768,2510,1128,4608,1802,2290,4380,4945,5997,3544,0,9828,0,1020,4909,3872,8569,1222,3950,4262,1487
(5-6)  CENTRE,0.35,0.35,0.35,0.31,0.36,0.37,0.36,0.35,0.34,0.35,0.35,0.37,0.35,0.3,0.32,0.36,0.36,0.38,0.35,0.29,0.35,0.3,0.37,0.33,0.33,0.35,0.32,0.33,0.36,0.36,0.37,0.35,0.35,0.36,0.35,0.29,0.32,0.37,0.34,0.33,0.38,0.32,0.35,0.36,0.34,0.38,0.35,0.31,0.36,0.39,0.31,0.31,0.31,0.38,0.28,0.28,0.36,0.36,0.35,0.29,0.38,0.37,0.32,0.38,0.34,0.38,0.32,0,1,0,0.3,0.37,0.34,0.36,0.29,0.36,0.37,0.31
(7-8),3474,1895,1579,320,505,574,684,474,574,343,454,1507,1250,196,379,505,486,668,134,132,974,196,2007,388,566,204,279,907,142,1204,1191,670,1245.0,625.0,934,172,789,2453,619,484,1769,477,46,2646,828,1134,1539,802,2602,325,488,1394,174,1841,66,508,1288,971,707,589,1684,651,549,1570,1750,2225,1166,0,0,3474,512,1828,1123,3046,404,1320,1349,757
(7-8),0.12,0.14,0.11,0.09,0.12,0.12,0.14,0.11,0.14,0.13,0.1,0.13,0.15,0.08,0.17,0.16,0.14,0.11,0.09,0.08,0.13,0.08,0.14,0.12,0.1,0.11,0.12,0.11,0.09,0.14,0.13,0.12,0.13,0.12,0.12,0.08,0.12,0.13,0.09,0.12,0.14,0.19,0.21,0.14,0.09,0.14,0.12,0.11,0.13,0.12,0.12,0.14,0.12,0.11,0.11,0.15,0.13,0.13,0.1,0.15,0.14,0.13,0.08,0.14,0.12,0.14,0.1,0,0,0.72,0.15,0.14,0.1,0.13,0.1,0.12,0.12,0.15
RIGHT,1324,699,626,134,192,198,193,234,224,149,280,620,330,46,134,116,185,262,64,95,423,46,737,147,194,105,127,357,69,426,457,285,440.0,235.0,365,117,350,831,316,213,604,129,17,973,351,350,597,377,879,125,287,647,68,587,22,234,423,301,366,225,574,175,350,500,759,768,521,0,0,1324,190,634,496,1099,217,511,426,371
RIGHT,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.06,0.06,0.06,0.06,0.05,0.04,0.02,0.06,0.04,0.06,0.04,0.04,0.05,0.06,0.02,0.05,0.04,0.03,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.08,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.07,0.06,0.05,0.04,0.04,0.07,0.04,0.04,0.05,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0,0,0.28,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.08
Refusal,2397,1021,1376,294,266,413,394,322,388,321,638,1070,451,176,233,116,270,505,197,215,687,176,1142,242,502,154,276,791,140,692,692,487,800.0,461.0,649,231,801,1184,647,338,1029,144,10,1513,884,646,1041,689,1501,262,470,985,165,1145,103,134,724,673,866,141,846,419,992,597,1534,749,1417,0,0,0,106,915,1342,1733,608,652,1098,429
Refusal,0.09,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.09,0.12,0.14,0.09,0.05,0.07,0.11,0.04,0.08,0.09,0.13,0.12,0.09,0.07,0.08,0.07,0.08,0.08,0.12,0.09,0.08,0.08,0.08,0.09,0.09,0.09,0.08,0.11,0.12,0.06,0.09,0.09,0.08,0.06,0.04,0.08,0.1,0.08,0.08,0.1,0.07,0.1,0.11,0.1,0.12,0.07,0.17,0.04,0.07,0.09,0.12,0.04,0.07,0.08,0.14,0.05,0.1,0.05,0.13,0,0,0,0.03,0.07,0.12,0.07,0.14,0.06,0.1,0.09
DK,3496,1387,2109,827,535,508,422,457,424,323,617,1508,693,531,149,160,286,865,309,328,868,531,1373,464,1001,236,371,1273,334,891,947,638,1033.0,642.0,1183,461,887,1986,1247,478,1238,128,16,1976,1520,1057,1625,810,2299,327,744,1567,247,1562,121,147,1033,970,1346,161,1034,517,1785,958,1936,1379,1659,0,0,0,158,1133,2161,2718,679,1153,1570,567
DK,0.12,0.1,0.15,0.23,0.13,0.11,0.09,0.11,0.1,0.12,0.13,0.13,0.08,0.22,0.07,0.05,0.08,0.14,0.2,0.19,0.11,0.22,0.1,0.14,0.17,0.13,0.16,0.15,0.2,0.1,0.11,0.11,0.11,0.12,0.15,0.22,0.13,0.11,0.18,0.12,0.09,0.05,0.08,0.11,0.16,0.13,0.13,0.11,0.11,0.12,0.18,0.15,0.18,0.1,0.2,0.04,0.11,0.13,0.19,0.04,0.08,0.11,0.25,0.08,0.13,0.09,0.15,0,0,0,0.05,0.08,0.19,0.12,0.16,0.1,0.14,0.12
