How old are you?,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
15-24,3640,1875,1766,3640,0,0,0,3640,0,0,0,0,0,0,0,0,0,0,0,3640,112,967,328,2167,51,103,260,652,110,294,3,2167,207,668,2539,33,3,2418,157,638,237,403,595,880,1762,230,828,2341,661,422,1774,400,18,1719,1922,925,1621,1086,3556,57,25,1633,35,1936,37,377,1570,844,850,366,1271,690,1313,1456,1755,1955,1342,922,1143,454,344,1505,1770,3278,343,1632,1535,389
15-24,0.13,0.14,0.12,1,- ,- ,- ,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.42,0.02,0.08,0.04,0.89,0.02,0.03,0.08,0.11,0.07,0.16,- ,0.89,0.02,0.2,0.43,0.02,- ,0.28,0.1,0.08,0.03,0.07,0.06,0.17,0.23,0.11,0.12,0.13,0.09,0.11,0.14,0.16,0.08,0.09,0.2,0.11,0.13,0.15,0.17,0.02,0.01,0.16,0.02,0.12,0.06,0.11,0.16,0.11,0.12,0.1,0.1,0.14,0.18,0.13,0.12,0.12,0.12,0.12,0.11,0.09,0.1,0.11,0.16,0.14,0.08,0.15,0.13,0.08
25-34,4107,2070,2038,0,4107,0,0,0,4107,0,0,0,0,0,0,0,0,0,0,4107,144,1798,1878,227,339,688,841,1281,238,454,39,227,1524,1075,1373,99,6,1263,214,1066,1533,638,1141,1087,1242,316,1135,2561,933,692,1951,322,47,2133,1975,1021,1814,1271,3876,178,52,2240,11,1814,43,452,1715,1046,894,464,1823,721,1099,1774,2108,2317,1617,1139,1470,698,472,1927,1683,3539,544,1693,1711,610
25-34,0.15,0.15,0.14,- ,0.63,- ,- ,- ,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.47,0.03,0.15,0.22,0.1,0.15,0.23,0.25,0.21,0.15,0.26,0.01,0.1,0.11,0.32,0.23,0.05,- ,0.15,0.13,0.12,0.17,0.11,0.12,0.21,0.16,0.15,0.17,0.14,0.13,0.17,0.15,0.13,0.21,0.12,0.21,0.12,0.15,0.17,0.19,0.07,0.01,0.22,0.01,0.11,0.07,0.14,0.17,0.14,0.13,0.12,0.15,0.15,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.13,0.15,0.15,0.13
35-44,4599,2264,2335,0,2363,2237,0,0,0,4599,0,0,0,0,0,0,0,0,3621,979,311,2159,2013,32,543,878,906,1500,270,384,86,32,2881,717,666,288,28,623,358,681,2918,470,801,1065,2264,399,1246,2871,1036,648,2223,506,38,3028,1571,1368,2010,1218,4212,278,98,2050,50,2456,44,629,1745,1297,928,633,2145,803,1018,1880,2463,2602,1825,1202,1705,772,498,2349,1726,3956,618,1920,1891,693
35-44,0.16,0.17,0.16,- ,0.37,0.32,- ,- ,- ,1,- ,- ,- ,- ,- ,- ,- ,- ,0.48,0.11,0.07,0.19,0.24,0.01,0.25,0.29,0.27,0.25,0.18,0.22,0.01,0.01,0.2,0.22,0.11,0.15,0.01,0.07,0.21,0.08,0.33,0.09,0.09,0.21,0.29,0.19,0.19,0.15,0.15,0.16,0.17,0.2,0.17,0.16,0.17,0.17,0.16,0.17,0.21,0.1,0.02,0.2,0.03,0.16,0.07,0.19,0.17,0.17,0.13,0.16,0.18,0.16,0.14,0.16,0.17,0.17,0.16,0.16,0.17,0.16,0.15,0.18,0.15,0.17,0.15,0.17,0.17,0.14
45-54,4794,2446,2348,0,0,4794,0,0,0,0,4794,0,0,0,0,0,0,880,3915,0,497,2493,1744,5,691,832,873,1527,254,353,260,5,3154,442,606,496,81,760,423,1021,2575,691,1254,1078,1772,433,1305,2969,1207,608,2322,523,43,3432,1363,1422,2181,1192,3927,564,282,1577,65,3086,67,679,1775,1322,1018,787,2273,840,894,2079,2555,2759,1935,1364,1738,877,723,2449,1610,3999,748,1958,1932,844
45-54,0.17,0.18,0.16,- ,- ,0.68,- ,- ,- ,- ,1,- ,- ,- ,- ,- ,- ,0.11,0.52,- ,0.11,0.21,0.2,- ,0.32,0.27,0.26,0.25,0.17,0.2,0.03,- ,0.22,0.13,0.1,0.27,0.04,0.09,0.25,0.12,0.29,0.12,0.13,0.21,0.23,0.2,0.19,0.16,0.17,0.15,0.18,0.21,0.2,0.18,0.15,0.17,0.17,0.16,0.19,0.21,0.07,0.16,0.05,0.2,0.11,0.2,0.18,0.17,0.14,0.2,0.19,0.17,0.13,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.21,0.18,0.14,0.17,0.18,0.18,0.17,0.17
