Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN),Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,13407,5697,7709,2574,1379,1223,8231,2574,958,772,872,1836,3854,2541,81,3443,3524,4914,1262,3707,3621,4635,2406,2435,0,0,0,0,1528,1771,7672,2435,5870,1063,3250,896,2136,5495,787,4797,2136,3594,5240,1752,2821,1261,3024,8672,3955,1957,5731,908,79,8912,4495,4024,6059,3304,7654,1513,3561,4134,1247,7572,455,1371,4263,3573,4200,1740,5085,2445,4137,5126,7045,7146,5451,3545,4488,2064,1453,5691,6187,10606,2639,4994,5399,2539
Farmer,347,162,185,5,7,8,326,5,6,3,7,34,120,173,2,221,224,103,10,11,251,49,9,9,0,0,0,0,29,8,301,9,197,10,21,2,117,120,21,164,43,118,182,27,20,52,107,172,186,50,78,5,0,301,46,218,126,4,36,25,229,57,110,125,55,11,50,93,193,23,85,58,181,71,220,96,205,46,94,81,17,89,240,241,85,75,145,92
Farmer,0.03,0.03,0.02,- ,0.01,0.01,0.04,- ,0.01,- ,0.01,0.02,0.03,0.07,0.03,0.07,0.06,0.02,0.01,- ,0.07,0.01,- ,- ,- ,- ,- ,- ,0.02,- ,0.04,- ,0.03,0.01,0.01,- ,0.05,0.02,0.03,0.03,0.02,0.03,0.03,0.02,0.01,0.04,0.04,0.02,0.05,0.03,0.01,- ,- ,0.03,0.01,0.05,0.02,- ,- ,0.02,0.06,0.01,0.09,0.02,0.12,0.01,0.01,0.02,0.05,0.01,0.02,0.02,0.04,0.01,0.03,0.01,0.04,0.01,0.02,0.04,0.01,0.02,0.04,0.02,0.03,0.02,0.03,0.03
Fisherman,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,0,1,0,0
Fisherman,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Professional (lawyer, medical practitioner, accountant, architect, etc.)",117,76,41,1,7,5,105,1,0,7,5,18,50,37,0,43,43,62,11,1,5,22,89,1,0,0,0,0,5,8,104,1,84,8,7,2,16,25,0,76,16,23,82,7,5,7,6,102,12,8,64,25,3,100,17,23,57,37,88,14,12,19,9,89,0,24,52,23,18,36,46,24,11,52,61,74,40,43,44,20,30,56,32,104,13,72,21,23
"Professional (lawyer, medical practitioner, accountant, architect, etc.)",0.01,0.01,- ,- ,0.01,- ,0.01,- ,- ,0.01,0.01,0.01,0.01,0.01,- ,0.01,0.01,0.01,0.01,- ,- ,- ,0.04,- ,- ,- ,- ,- ,- ,- ,0.01,- ,0.02,0.01,- ,- ,0.01,- ,- ,0.02,0.01,0.01,0.02,- ,- ,0.01,- ,0.01,- ,- ,0.01,0.03,0.04,0.01,- ,0.01,0.01,0.01,0.01,0.01,- ,- ,0.01,0.01,- ,0.02,0.01,0.01,0.01,0.02,0.01,0.01,- ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,- ,0.01,- ,0.01,- ,0.01
"Owner of a shop, craftsmen, other self-employed person",356,155,201,3,20,31,303,3,10,25,16,60,137,106,3,143,147,160,34,16,114,182,45,2,0,0,0,0,33,43,278,2,208,16,36,14,81,125,6,160,64,108,169,42,37,52,70,232,79,68,170,29,0,278,78,96,186,74,177,30,119,85,52,212,7,57,105,101,93,56,139,72,90,94,224,178,163,65,109,105,41,159,149,269,87,129,142,79
"Owner of a shop, craftsmen, other self-employed person",0.03,0.03,0.03,- ,0.01,0.02,0.04,- ,0.01,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,- ,0.03,0.04,0.02,- ,- ,- ,- ,- ,0.02,0.02,0.04,- ,0.04,0.01,0.01,0.02,0.04,0.02,0.01,0.03,0.03,0.03,0.03,0.02,0.01,0.04,0.02,0.03,0.02,0.03,0.03,0.03,- ,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.04,0.03,0.02,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.05,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03
"Business proprietors, owner (full or partner) of a company",168,116,52,9,20,6,133,9,10,11,6,30,76,27,3,51,54,79,12,22,50,58,49,10,0,0,0,0,16,20,123,10,103,9,17,15,24,52,4,82,30,47,87,7,27,10,23,129,27,16,100,20,3,124,44,63,57,48,116,19,30,53,10,104,1,32,58,33,45,42,62,29,35,74,90,112,54,24,70,45,40,70,57,146,22,63,59,44
"Business proprietors, owner (full or partner) of a company",0.01,0.02,0.01,- ,0.02,- ,0.02,- ,0.01,0.02,0.01,0.02,0.02,0.01,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,- ,- ,- ,- ,- ,0.01,0.01,0.02,- ,0.02,0.01,- ,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,- ,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,- ,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02
"Employed professional (employed doctor, lawyer, accountant, architect)",207,107,100,2,29,9,167,2,20,9,9,43,76,48,1,61,62,111,10,24,6,32,152,17,0,0,0,0,17,11,162,17,133,8,23,10,32,54,11,100,40,48,103,34,22,6,16,185,23,36,100,36,9,167,39,31,94,82,150,30,26,65,7,135,1,32,89,48,39,46,105,28,28,87,111,127,72,71,83,34,51,105,51,185,19,106,46,53
"Employed professional (employed doctor, lawyer, accountant, architect)",0.01,0.02,0.01,- ,0.02,0.01,0.02,- ,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,- ,0.01,0.06,0.01,- ,- ,- ,- ,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,- ,0.01,0.02,0.01,0.02,0.02,0.04,0.12,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.02,- ,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.04,0.02,0.01,0.02,0.01,0.02,0.01,0.02
"General management, director or top management (managing directors, director general, other director)",346,251,95,1,6,9,330,1,5,5,5,54,159,117,1,152,154,177,9,7,33,78,231,3,0,0,0,0,8,8,327,3,222,16,27,27,53,99,8,198,40,105,203,20,18,7,5,333,9,12,160,142,14,293,52,75,199,70,272,44,29,38,10,295,3,75,120,98,54,113,139,53,41,210,130,265,81,104,129,92,84,180,81,335,6,193,95,57
"General management, director or top management (managing directors, director general, other director)",0.03,0.04,0.01,- ,- ,0.01,0.04,- ,- ,0.01,- ,0.03,0.04,0.05,0.02,0.04,0.04,0.04,0.01,- ,0.01,0.02,0.1,- ,- ,- ,- ,- ,- ,0.01,0.04,- ,0.04,0.02,0.01,0.03,0.03,0.02,0.01,0.04,0.02,0.03,0.04,0.01,0.01,- ,- ,0.04,- ,0.01,0.03,0.16,0.18,0.03,0.01,0.02,0.03,0.02,0.04,0.03,0.01,0.01,0.01,0.04,0.01,0.06,0.03,0.03,0.01,0.07,0.03,0.02,0.01,0.04,0.02,0.04,0.02,0.03,0.03,0.04,0.06,0.03,0.01,0.03,- ,0.04,0.02,0.02
"Middle management, other management (department head, junior manager, teacher, technician) ",1316,641,675,39,80,102,1095,39,47,59,76,174,581,340,7,461,468,657,91,100,123,463,684,38,0,0,0,0,71,126,1082,38,728,85,137,125,239,463,38,608,205,474,627,123,93,31,166,1086,77,174,822,173,25,1018,298,331,640,346,881,197,208,232,65,1012,6,228,449,328,311,326,614,204,173,582,700,851,453,477,487,201,250,729,334,1191,118,591,441,271
"Middle management, other management (department head, junior manager, teacher, technician) ",0.1,0.11,0.09,0.02,0.06,0.08,0.13,0.02,0.05,0.08,0.09,0.09,0.15,0.13,0.09,0.13,0.13,0.13,0.07,0.03,0.04,0.1,0.28,0.01,- ,- ,- ,- ,0.05,0.07,0.14,0.01,0.12,0.08,0.04,0.14,0.11,0.08,0.05,0.13,0.09,0.13,0.12,0.07,0.03,0.02,0.06,0.13,0.02,0.09,0.14,0.19,0.32,0.12,0.07,0.08,0.11,0.11,0.12,0.13,0.06,0.06,0.05,0.13,0.01,0.17,0.11,0.09,0.07,0.19,0.12,0.08,0.04,0.11,0.1,0.12,0.08,0.14,0.11,0.1,0.17,0.13,0.05,0.11,0.04,0.12,0.08,0.11
"Employed position, working mainly at a desk",1349,303,1046,81,155,163,950,81,104,106,108,216,511,223,6,342,347,627,163,211,156,747,340,97,0,0,0,0,153,171,928,97,670,72,237,127,240,540,64,507,236,454,571,153,170,73,254,995,255,227,724,76,4,906,442,349,611,385,812,226,279,366,106,865,12,151,421,390,387,188,633,260,267,607,655,850,450,389,502,229,175,696,474,1112,224,512,568,225
"Employed position, working mainly at a desk",0.1,0.05,0.14,0.03,0.11,0.13,0.11,0.03,0.11,0.14,0.12,0.12,0.13,0.09,0.07,0.1,0.1,0.13,0.13,0.06,0.04,0.16,0.14,0.04,- ,- ,- ,- ,0.1,0.1,0.12,0.04,0.11,0.07,0.07,0.14,0.11,0.1,0.08,0.11,0.11,0.13,0.11,0.09,0.06,0.06,0.08,0.11,0.06,0.12,0.13,0.08,0.05,0.1,0.1,0.09,0.1,0.12,0.11,0.15,0.08,0.09,0.08,0.12,0.02,0.11,0.1,0.11,0.09,0.11,0.12,0.11,0.07,0.12,0.09,0.12,0.08,0.11,0.11,0.11,0.12,0.12,0.08,0.11,0.09,0.1,0.11,0.09
"Employed position, not at a desk but travelling (salesmen, driver, etc.)",560,259,300,55,63,55,386,55,44,49,25,89,184,113,4,146,149,242,68,101,152,256,89,49,0,0,0,0,66,86,358,49,280,45,119,47,68,191,43,224,101,136,259,62,102,45,148,361,181,100,238,15,2,325,235,158,234,167,318,80,129,185,50,317,8,64,187,149,159,88,239,92,140,215,290,326,207,178,169,100,71,266,222,429,126,223,215,109
"Employed position, not at a desk but travelling (salesmen, driver, etc.)",0.04,0.05,0.04,0.02,0.05,0.04,0.05,0.02,0.05,0.06,0.03,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.05,0.03,0.04,0.06,0.04,0.02,- ,- ,- ,- ,0.04,0.05,0.05,0.02,0.05,0.04,0.04,0.05,0.03,0.04,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.02,0.02,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.02,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.03,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04
"Employed position, not at a desk, but in a service job (hospital, restaurant, police, fireman, etc.)",1523,419,1104,178,213,166,966,178,142,132,104,250,473,243,11,331,342,653,180,348,391,646,300,166,0,0,0,0,201,231,926,166,664,121,325,151,251,579,148,550,234,466,625,175,257,182,350,960,433,254,720,54,4,926,597,422,666,435,895,210,352,513,110,889,11,140,489,425,469,181,577,320,445,667,737,926,532,427,567,212,152,639,728,1223,294,531,659,298
"Employed position, not at a desk, but in a service job (hospital, restaurant, police, fireman, etc.)",0.11,0.07,0.14,0.07,0.15,0.14,0.12,0.07,0.15,0.17,0.12,0.14,0.12,0.1,0.13,0.1,0.1,0.13,0.14,0.09,0.11,0.14,0.13,0.07,- ,- ,- ,- ,0.13,0.13,0.12,0.07,0.11,0.11,0.1,0.17,0.12,0.11,0.19,0.11,0.11,0.13,0.12,0.1,0.09,0.14,0.12,0.11,0.11,0.13,0.12,0.06,0.04,0.1,0.13,0.1,0.11,0.13,0.12,0.14,0.1,0.12,0.09,0.12,0.02,0.1,0.12,0.12,0.11,0.1,0.11,0.13,0.11,0.13,0.11,0.13,0.1,0.12,0.13,0.1,0.1,0.11,0.12,0.12,0.11,0.11,0.12,0.12
Supervisor,296,214,82,12,17,19,247,12,3,19,14,68,108,72,0,93,93,162,18,23,94,123,57,18,0,0,0,0,9,20,249,18,183,27,26,25,36,76,10,152,57,68,171,21,37,14,68,213,52,47,168,16,2,241,54,90,141,65,146,30,110,77,31,179,8,29,98,105,64,48,117,87,43,127,147,169,122,75,146,31,34,144,116,246,41,104,111,72
Supervisor,0.02,0.04,0.01,- ,0.01,0.02,0.03,- ,- ,0.02,0.02,0.04,0.03,0.03,- ,0.03,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.01,- ,- ,- ,- ,0.01,0.01,0.03,0.01,0.03,0.03,0.01,0.03,0.02,0.01,0.01,0.03,0.03,0.02,0.03,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.04,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
Skilled manual worker,2503,1412,1091,140,274,301,1787,140,205,130,240,467,821,500,20,685,705,1149,274,375,965,1179,210,88,0,0,0,0,225,460,1730,88,1295,206,378,191,412,820,161,1043,458,695,1163,282,363,285,678,1485,1230,397,747,25,0,1692,811,906,1082,514,975,317,1042,922,268,1201,112,205,697,709,893,260,971,394,879,864,1439,1234,1156,574,868,400,219,1040,1231,1836,632,747,1147,535
