"Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)","Did you do any paid work in the past? What was your last occupation? (DO NOT SHOW SCREEN) (IF 'NOT CURRENTLY WORK', CODE 1 TO 4 IN D15a)"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,13407,5697,7709,2574,958,772,872,1836,3854,2541,3621,4635,2406,2435,0,0,0,0,1528,1771,7672,2435,5870,1063,3250,896,2136,5495,787,4797,2136,3594,5240,1752,2821,1261,3024,8672,3955,1957,5731,908,79,8912,4495,4024,6059,3304,7654,1513,3561,4134,1247,7572,455,1371,4263,3573,4200,1740,5085,2445,4137,5126,7045,7146,5451,3545,4488,2064,1453,5691,6187,10606,2639,4994,5399,2539
Self-employed,991,510,481,19,25,46,34,141,383,343,420,311,192,23,0,0,0,0,83,79,806,23,593,43,82,34,237,321,31,482,153,297,520,83,91,122,207,637,305,142,413,79,6,804,187,402,426,163,419,89,391,214,182,532,64,123,267,251,350,158,333,183,318,291,597,461,462,180,318,251,128,375,479,762,207,340,367,239
Self-employed,0.07,0.09,0.06,0.01,0.03,0.06,0.04,0.08,0.1,0.14,0.12,0.07,0.08,0.01,0,0,0,0,0.05,0.04,0.1,0.01,0.1,0.04,0.02,0.04,0.11,0.06,0.04,0.1,0.07,0.08,0.1,0.05,0.03,0.1,0.07,0.07,0.08,0.07,0.07,0.09,0.08,0.09,0.04,0.1,0.07,0.05,0.06,0.06,0.11,0.05,0.15,0.07,0.14,0.09,0.06,0.07,0.08,0.09,0.06,0.07,0.08,0.06,0.09,0.07,0.08,0.05,0.07,0.12,0.09,0.07,0.08,0.07,0.08,0.07,0.07,0.09
Employed,9774,4130,5644,715,712,661,740,1601,3305,2039,2795,4006,2130,636,0,0,0,0,988,1488,6662,636,4819,708,1615,833,1736,3555,629,3858,1669,2988,4292,1082,1412,952,2145,6479,3196,1467,4066,560,60,6635,3139,2954,4405,2404,5082,1315,2884,2974,922,5588,290,995,2967,2724,3087,1339,3896,1748,2791,3845,5173,5441,3902,2720,3451,1518,1105,4353,4272,7661,2020,3474,4044,1976
Employed,0.73,0.72,0.73,0.28,0.74,0.86,0.85,0.87,0.86,0.8,0.77,0.86,0.89,0.26,0,0,0,0,0.65,0.84,0.87,0.26,0.82,0.67,0.5,0.93,0.81,0.65,0.8,0.8,0.78,0.83,0.82,0.62,0.5,0.75,0.71,0.75,0.81,0.75,0.71,0.62,0.76,0.74,0.7,0.73,0.73,0.73,0.66,0.87,0.81,0.72,0.74,0.74,0.64,0.73,0.7,0.76,0.74,0.77,0.77,0.72,0.67,0.75,0.73,0.76,0.72,0.77,0.77,0.74,0.76,0.76,0.69,0.72,0.76,0.69,0.75,0.78
Not working,2641,1057,1584,1839,221,65,97,95,167,158,407,319,84,1775,0,0,0,0,456,204,205,1775,458,313,1553,30,163,1619,127,457,314,309,428,587,1318,188,672,1557,453,349,1251,268,12,1473,1168,669,1229,737,2153,110,285,946,143,1452,101,252,1028,598,763,243,856,514,1028,989,1275,1244,1087,646,720,296,220,963,1435,2183,412,1179,988,324
Not working,0.2,0.19,0.21,0.71,0.23,0.08,0.11,0.05,0.04,0.06,0.11,0.07,0.03,0.73,0,0,0,0,0.3,0.12,0.03,0.73,0.08,0.29,0.48,0.03,0.08,0.29,0.16,0.1,0.15,0.09,0.08,0.33,0.47,0.15,0.22,0.18,0.11,0.18,0.22,0.29,0.16,0.17,0.26,0.17,0.2,0.22,0.28,0.07,0.08,0.23,0.11,0.19,0.22,0.18,0.24,0.17,0.18,0.14,0.17,0.21,0.25,0.19,0.18,0.17,0.2,0.18,0.16,0.14,0.15,0.17,0.23,0.21,0.16,0.24,0.18,0.13
Refusal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refusal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
