Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition,Household composition
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
1,5630,2450,3180,403,638,470,691,886,1314,1228,1400,2265,1525,249,242,429,512,853,129,348,2867,249,167,339,2186,1016,1894,5019,77,483,22,5630,0,0,0,585,1360,3562,1837,873,2289,303,47,3067,2563,1380,2658,1587,3158,564,1619,2317,605,2482,226,587,1656,1522,1864,685,2240,1017,1687,2116,3092,3113,2260,1611,1939,956,592,2421,2578,4243,1321,1937,2333,1160
1,0.2,0.18,0.22,0.11,0.16,0.1,0.14,0.22,0.32,0.47,0.3,0.19,0.18,0.1,0.11,0.14,0.15,0.14,0.08,0.2,0.37,0.1,0.01,0.1,0.37,0.54,0.8,0.59,0.05,0.06,0,1,0,0,0,0.28,0.2,0.2,0.26,0.22,0.18,0.12,0.21,0.17,0.27,0.17,0.21,0.22,0.16,0.21,0.39,0.23,0.43,0.16,0.38,0.18,0.17,0.2,0.26,0.18,0.18,0.21,0.24,0.18,0.21,0.2,0.2,0.21,0.2,0.2,0.18,0.18,0.23,0.18,0.31,0.17,0.2,0.24
2,9491,4726,4765,595,1141,801,1254,2010,2436,1254,2084,4099,2798,307,703,865,929,1754,473,477,3983,307,6279,1496,881,487,280,870,778,7398,376,0,9491,0,0,588,2038,6688,2388,1459,4402,840,69,6781,2710,2847,4264,2365,6104,1147,1863,3156,554,5568,214,1150,3228,2679,2434,1446,4239,1640,2166,3985,4918,5422,3715,2636,3337,1685,1217,4630,3618,8004,1390,3629,3835,1812
2,0.34,0.35,0.33,0.16,0.28,0.18,0.26,0.49,0.59,0.48,0.44,0.35,0.33,0.13,0.32,0.28,0.27,0.29,0.31,0.27,0.52,0.13,0.45,0.45,0.15,0.26,0.12,0.1,0.46,0.86,0.04,0,1,0,0,0.28,0.3,0.36,0.34,0.36,0.34,0.33,0.31,0.36,0.29,0.35,0.34,0.32,0.3,0.42,0.45,0.31,0.4,0.35,0.36,0.34,0.32,0.36,0.34,0.37,0.35,0.33,0.3,0.35,0.33,0.35,0.33,0.35,0.34,0.35,0.36,0.35,0.32,0.34,0.33,0.33,0.34,0.37
3,5144,2508,2636,880,1087,1065,1078,716,238,79,520,2157,1772,614,462,769,873,1287,282,353,503,614,2874,650,1183,237,99,1061,458,383,3142,0,0,5144,0,348,1315,3305,1056,705,2665,449,48,3418,1725,1451,2290,1397,4360,439,315,2027,100,2951,66,638,2005,1313,1188,747,2282,830,1284,2192,2643,2899,2045,1347,1833,860,669,2514,1935,4437,658,2198,2029,800
3,0.18,0.19,0.18,0.24,0.26,0.23,0.23,0.17,0.06,0.03,0.11,0.18,0.21,0.25,0.21,0.25,0.26,0.22,0.19,0.2,0.07,0.25,0.2,0.2,0.2,0.13,0.04,0.12,0.27,0.04,0.36,0,0,1,0,0.16,0.2,0.18,0.15,0.18,0.2,0.18,0.22,0.18,0.19,0.17,0.18,0.19,0.21,0.16,0.08,0.2,0.07,0.19,0.11,0.19,0.2,0.17,0.17,0.19,0.19,0.17,0.18,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.2,0.19,0.17,0.19,0.16,0.2,0.18,0.17
4+,7767,3840,3927,1762,1242,2264,1772,505,154,69,691,3266,2422,1265,777,994,1065,2111,644,593,319,1265,4856,847,1698,141,99,1578,361,387,5316,0,0,0,7767,604,2049,4848,1769,974,3666,938,58,5426,2341,2529,3290,1939,6841,554,334,2684,141,4849,92,969,3092,2060,1646,997,3391,1397,1982,3151,4052,4207,3133,1916,2720,1298,894,3703,3126,6857,863,3342,3176,1076
