"Could you tell me how many people aged 15 years or more live in your household, yourself included?",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
1,6245,2597,3648,449,1210,1128,3457,449,831,698,810,894,1326,1237,63,1560,1623,2001,1181,1440,1448,2577,1756,265,298,515,590,1043,182,442,2910,265,199,365,2498,1234,1919,5066,585,490,74,5630,345,188,82,675,1577,3862,2034,1026,2499,332,48,3321,2924,1501,2999,1741,3697,616,1642,2610,610,2797,228,664,1881,1662,2038,755,2457,1120,1913,2364,3426,3441,2523,1757,2168,1033,648,2661,2896,4723,1450,2116,2606,1304
1,0.22,0.19,0.25,0.12,0.19,0.16,0.32,0.12,0.2,0.15,0.17,0.22,0.32,0.47,0.75,0.44,0.45,0.25,0.16,0.16,0.31,0.22,0.21,0.11,0.14,0.17,0.17,0.18,0.12,0.25,0.38,0.11,0.01,0.11,0.42,0.65,0.81,0.59,0.35,0.06,0.01,1,0.04,0.04,0.01,0.32,0.24,0.21,0.29,0.26,0.19,0.13,0.22,0.18,0.31,0.18,0.24,0.24,0.18,0.23,0.4,0.26,0.44,0.18,0.38,0.2,0.19,0.22,0.29,0.2,0.2,0.23,0.27,0.21,0.23,0.22,0.23,0.23,0.22,0.22,0.19,0.2,0.26,0.2,0.34,0.19,0.23,0.27
2,13477,6691,6787,742,3899,3058,5779,742,2354,2736,1866,2081,2442,1256,16,1808,1824,4290,3610,3753,2296,5881,4687,349,1162,1676,1676,3021,825,738,4031,349,9649,2206,824,430,287,896,645,7477,4378,0,9146,1842,2490,835,3061,9325,3187,1937,6469,1310,120,9685,3792,4083,6029,3345,9805,1375,1913,4810,585,7830,253,1620,4837,3773,3247,1993,6149,2309,3026,5710,6962,7782,5194,3636,4896,2402,1737,6660,5041,11630,1726,5289,5532,2371
2,0.48,0.5,0.47,0.2,0.6,0.44,0.53,0.2,0.57,0.6,0.39,0.5,0.59,0.48,0.19,0.51,0.5,0.53,0.48,0.43,0.49,0.5,0.55,0.14,0.53,0.55,0.5,0.5,0.54,0.42,0.53,0.14,0.68,0.66,0.14,0.23,0.12,0.11,0.38,0.86,0.49,- ,0.96,0.36,0.32,0.39,0.45,0.51,0.45,0.48,0.5,0.52,0.54,0.52,0.41,0.5,0.48,0.46,0.48,0.51,0.46,0.47,0.42,0.49,0.42,0.48,0.49,0.5,0.46,0.51,0.51,0.47,0.42,0.5,0.47,0.5,0.46,0.49,0.5,0.5,0.52,0.5,0.45,0.49,0.41,0.48,0.49,0.49
3,4564,2313,2251,1124,757,1627,1057,1124,494,730,1160,730,249,78,4,117,121,1139,1585,1719,539,1847,1218,889,416,541,679,977,267,302,493,889,2400,448,1331,162,108,1302,299,403,2445,0,0,3114,1450,323,1161,2888,1019,568,2264,437,35,3089,1475,1335,1984,1245,3789,406,335,1577,120,2808,60,560,1828,1140,1036,615,1965,800,1184,1821,2407,2443,1881,1149,1574,729,519,2210,1801,3948,570,2053,1771,636
3,0.16,0.17,0.15,0.31,0.12,0.23,0.1,0.31,0.12,0.16,0.24,0.18,0.06,0.03,0.05,0.03,0.03,0.14,0.21,0.2,0.11,0.16,0.14,0.37,0.19,0.18,0.2,0.16,0.17,0.17,0.06,0.37,0.17,0.14,0.22,0.09,0.05,0.15,0.18,0.05,0.28,- ,- ,0.6,0.19,0.15,0.17,0.16,0.14,0.14,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.19,0.15,0.08,0.15,0.08,0.18,0.1,0.17,0.18,0.15,0.14,0.16,0.16,0.16,0.17,0.16,0.17,0.15,0.17,0.15,0.16,0.15,0.15,0.17,0.16,0.17,0.13,0.18,0.15,0.13
4+,3744,1923,1821,1325,604,1219,596,1325,429,435,958,413,124,60,0,80,81,690,1159,1814,411,1483,857,933,308,325,434,964,254,289,239,933,1928,312,1296,56,58,1264,146,281,1959,0,0,0,3744,291,963,2329,809,480,1790,452,19,2596,1148,1288,1491,957,3173,308,242,1187,85,2415,57,499,1436,999,810,513,1581,654,996,1550,1910,1976,1554,968,1190,634,468,1737,1520,3240,486,1647,1465,536
4+,0.14,0.14,0.13,0.37,0.09,0.17,0.05,0.37,0.11,0.09,0.2,0.1,0.03,0.02,0.01,0.02,0.02,0.08,0.15,0.21,0.09,0.12,0.1,0.38,0.14,0.1,0.13,0.16,0.17,0.16,0.03,0.38,0.14,0.09,0.22,0.03,0.02,0.15,0.09,0.03,0.22,- ,- ,- ,0.48,0.14,0.14,0.12,0.12,0.12,0.14,0.18,0.08,0.14,0.12,0.16,0.12,0.13,0.15,0.11,0.06,0.12,0.06,0.15,0.1,0.15,0.14,0.13,0.11,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.14,0.13,0.13,0.14,0.12,0.15,0.13,0.11
Moyenne/Average,2.2,2.3,2.2,3,2.1,2.5,1.9,3,2.2,2.2,2.5,2.2,1.8,1.6,1.3,1.7,1.6,2.1,2.4,2.5,2,2.2,2.2,3.1,2.4,2.2,2.3,2.4,2.4,2.3,1.8,3.1,2.5,2.3,2.3,1.5,1.3,1.9,2,2.1,2.8,1,2,2.6,3.3,2.2,2.3,2.2,2.1,2.2,2.3,2.4,2.1,2.3,2.1,2.3,2.2,2.2,2.4,2.2,1.8,2.2,1.8,2.3,2,2.3,2.3,2.2,2.1,2.3,2.3,2.2,2.2,2.3,2.2,2.2,2.3,2.2,2.2,2.2,2.3,2.3,2.2,2.3,2.1,2.3,2.2,2.1
