Could you tell me how many children less than 10 years old live in your household?,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
0,22551,11078,11473,3098,3419,5337,10696,3098,2436,2197,4123,3996,4087,2613,83,3541,3624,7889,5112,5925,4302,9396,6228,2120,1618,2123,2531,4369,943,1310,7536,2120,10476,2478,5334,1657,2319,8217,1093,8527,4427,5630,9269,3536,4116,1651,5287,14998,5751,3264,10406,1966,172,15028,7523,6538,10092,5895,15467,2372,3990,7803,1330,12878,539,2708,7837,6105,5901,3174,9726,3976,5675,9192,11851,12612,8968,6176,7786,3893,2721,10677,9047,18724,3606,8908,9062,3985
0,0.81,0.82,0.79,0.85,0.53,0.76,0.98,0.85,0.59,0.48,0.86,0.97,0.99,0.99,1,0.99,0.99,0.97,0.68,0.68,0.92,0.8,0.73,0.87,0.74,0.69,0.75,0.73,0.62,0.74,0.98,0.87,0.74,0.74,0.9,0.88,0.98,0.96,0.65,0.99,0.5,1,0.98,0.69,0.53,0.78,0.78,0.81,0.82,0.81,0.8,0.78,0.77,0.8,0.81,0.8,0.81,0.81,0.76,0.88,0.97,0.77,0.95,0.81,0.9,0.81,0.79,0.81,0.83,0.82,0.8,0.81,0.8,0.8,0.81,0.81,0.8,0.82,0.79,0.81,0.81,0.8,0.8,0.79,0.85,0.8,0.8,0.82
1,3407,1493,1914,416,1701,1166,124,416,961,1414,492,72,39,12,0,18,19,139,1583,1666,233,1470,1407,239,324,569,567,1022,320,267,97,239,2167,548,445,174,41,260,400,74,2640,0,222,1520,1665,295,876,2141,791,462,1654,343,26,2252,1155,1018,1455,928,3104,214,83,1522,49,1807,29,396,1310,897,804,424,1510,563,909,1438,1767,1857,1414,873,1188,545,407,1588,1396,2979,404,1364,1454,550
1,0.12,0.11,0.13,0.12,0.26,0.17,0.01,0.12,0.23,0.31,0.1,0.02,0.01,0.01,- ,0.01,0.01,0.02,0.21,0.19,0.05,0.12,0.17,0.1,0.15,0.19,0.17,0.17,0.21,0.15,0.01,0.1,0.15,0.16,0.08,0.09,0.02,0.03,0.24,0.01,0.3,- ,0.02,0.29,0.21,0.14,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.13,0.15,0.08,0.02,0.15,0.03,0.12,0.05,0.12,0.13,0.12,0.11,0.11,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.1,0.12,0.13,0.12
2,1756,802,953,102,1149,447,58,102,601,855,140,43,12,4,0,4,4,73,719,960,125,787,755,58,211,338,243,520,205,155,25,58,1334,251,124,36,10,31,138,44,1541,0,0,88,1668,143,490,1095,417,218,851,186,23,1207,548,530,826,400,1618,97,37,711,13,1012,21,198,702,498,358,230,798,284,443,680,934,993,652,382,739,300,210,860,682,1567,178,706,738,257
2,0.06,0.06,0.07,0.03,0.18,0.06,0.01,0.03,0.15,0.18,0.03,0.01,- ,- ,- ,- ,- ,0.01,0.1,0.11,0.03,0.07,0.09,0.03,0.1,0.11,0.07,0.09,0.13,0.09,0.01,0.03,0.1,0.08,0.02,0.02,- ,0.01,0.08,- ,0.17,- ,- ,0.02,0.22,0.07,0.07,0.06,0.06,0.06,0.06,0.07,0.1,0.07,0.06,0.07,0.06,0.05,0.08,0.03,0.01,0.07,0.01,0.06,0.03,0.06,0.07,0.06,0.05,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.08,0.06,0.06,0.07,0.06,0.07,0.04,0.07,0.06,0.05
3,265,118,147,15,170,71,9,15,86,119,36,6,2,0,0,0,0,18,107,140,24,116,112,10,29,23,36,76,51,30,11,10,172,52,28,12,3,9,33,1,222,0,0,0,265,30,89,143,67,57,100,32,1,178,87,106,99,61,234,20,10,115,8,138,4,34,112,66,53,35,100,49,81,106,134,148,101,73,91,48,24,121,113,228,34,107,95,51
3,0.01,0.01,0.01,- ,0.03,0.01,- ,- ,0.02,0.03,0.01,- ,- ,- ,- ,- ,- ,- ,0.01,0.02,- ,0.01,0.01,- ,0.01,0.01,0.01,0.01,0.03,0.02,- ,- ,0.01,0.02,- ,0.01,- ,- ,0.02,- ,0.03,- ,- ,- ,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,- ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
