Which of the following goods do you have? (MULTIPLE ANSWERS POSSIBLE),Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Television,26771,12834,13937,3316,6056,6765,10634,3316,3815,4385,4621,3989,4052,2592,80,3521,3601,7884,7237,8050,4611,11432,8043,2138,2061,2861,3226,5790,1502,1673,7519,2138,13762,3175,5404,1810,2331,7948,1596,8403,8534,5258,9193.0,4880.0,7440,2025,6528,17584,6862,3839,12459,2345,208,18360,8411,7939,12007,6796,19410,2601,4049,9519,1360,15321,571,3143,9563,7209,6856,3674,11583,4668,6846,10848,14159,14900,10736,7120,9414,4697,3185,12627,10837,22505,4035,10522,10948,4636
Television,0.96,0.95,0.96,0.91,0.94,0.96,0.98,0.91,0.93,0.95,0.96,0.97,0.98,0.99,0.95,0.99,0.99,0.97,0.96,0.92,0.98,0.97,0.94,0.88,0.94,0.94,0.95,0.96,0.98,0.94,0.98,0.88,0.97,0.95,0.91,0.96,0.98,0.93,0.95,0.97,0.96,0.93,0.97,0.95,0.96,0.95,0.97,0.96,0.97,0.96,0.96,0.93,0.94,0.98,0.9,0.97,0.96,0.93,0.95,0.96,0.98,0.93,0.97,0.97,0.95,0.94,0.96,0.95,0.96,0.95,0.95,0.96,0.96,0.95,0.96,0.95,0.96,0.95,0.96,0.98,0.94,0.95,0.96,0.96,0.95,0.95,0.96,0.96
DVD player,13724,7005,6718,1851,3240,3891,4741,1851,1950,2555,2627,2117,1808,817,13,1210,1224,3993,4204,4302,1541,5868,4899,1281,1288,1889,1851,2919,582,805,3109,1281,7313,1688,2922,926,744,3784,809,4056,4944,2193,4462.0,2703.0,4366,737,2812,9884,2698,1822,7030,1619,144,9898,3826,3673,6455,3587,11627,1066,913,4024,327,9312,60,1967,5243,3689,2825,2282,6246,2400,2795,5935,7127,8348,5009,3967,5047,2606,2006,6895,4791,12303,1380,5678,5398,2473
DVD player,0.49,0.52,0.46,0.51,0.5,0.55,0.44,0.51,0.47,0.56,0.55,0.51,0.44,0.31,0.16,0.34,0.34,0.49,0.56,0.49,0.33,0.5,0.58,0.53,0.59,0.62,0.55,0.49,0.38,0.45,0.41,0.53,0.52,0.51,0.49,0.49,0.31,0.44,0.48,0.47,0.56,0.39,0.47,0.53,0.56,0.35,0.42,0.54,0.38,0.45,0.54,0.64,0.65,0.53,0.41,0.45,0.52,0.49,0.57,0.39,0.22,0.4,0.23,0.59,0.1,0.59,0.53,0.49,0.4,0.59,0.51,0.49,0.39,0.52,0.48,0.53,0.45,0.53,0.51,0.54,0.6,0.52,0.43,0.52,0.33,0.51,0.47,0.51
Music CD player,11757,5942,5815,1553,2565,3422,4216,1553,1549,2022,2416,1812,1602,801,17,1170,1187,3474,3597,3499,1268,4900,4362,1106,1126,1677,1542,2334,514,630,2828,1106,6327,1338,2487,820,667,3326,649,3470,4196,1977,3840.0,2223.0,3717,572,2359,8565,2117,1455,6124,1568,121,8553,3203,3203,5514,3032,9923,932,806,3106,313,8285,53,1786,4591,3079,2301,2130,5601,1993,2033,5165,6025,7353,4116,3614,4390,2210,1852,6220,3661,10585,1130,5001,4581,2040
Music CD player,0.42,0.44,0.4,0.43,0.4,0.49,0.39,0.43,0.38,0.44,0.5,0.44,0.39,0.3,0.2,0.33,0.33,0.43,0.48,0.4,0.27,0.42,0.51,0.45,0.52,0.55,0.46,0.39,0.34,0.36,0.37,0.45,0.45,0.4,0.42,0.44,0.28,0.39,0.39,0.4,0.47,0.35,0.4,0.43,0.48,0.27,0.35,0.47,0.3,0.36,0.47,0.62,0.55,0.46,0.34,0.39,0.44,0.42,0.48,0.34,0.19,0.3,0.22,0.52,0.09,0.53,0.46,0.41,0.32,0.55,0.46,0.41,0.29,0.45,0.41,0.47,0.37,0.48,0.45,0.46,0.55,0.47,0.33,0.45,0.27,0.45,0.4,0.42
Desk computer,10407,5490,4916,1537,2203,3166,3501,1537,1367,1814,2188,1682,1340,479,6,758,764,3124,3291,3228,936,4360,3827,1156,1086,1436,1340,2171,461,541,2217,1156,6048,1222,2087,526,409,2490,533,3188,4082,1140,3384.0,2148.0,3736,513,2272,7417,1793,1258,5569,1338,109,7812,2594,3128,4650,2620,9017,1018,358,2882,199,7273,53,1517,4142,2639,2109,1847,4761,1772,2027,4531,5355,6210,3905,2965,3954,1899,1650,5205,3525,9273,1086,4464,4042,1760
Desk computer,0.37,0.41,0.34,0.42,0.34,0.45,0.32,0.42,0.33,0.39,0.46,0.41,0.32,0.18,0.07,0.21,0.21,0.38,0.44,0.37,0.2,0.37,0.45,0.47,0.5,0.47,0.4,0.36,0.3,0.31,0.29,0.47,0.43,0.37,0.35,0.28,0.17,0.29,0.32,0.37,0.46,0.2,0.36,0.42,0.48,0.24,0.34,0.4,0.25,0.31,0.43,0.53,0.49,0.42,0.28,0.38,0.37,0.36,0.44,0.38,0.09,0.28,0.14,0.46,0.09,0.45,0.41,0.35,0.3,0.48,0.39,0.36,0.28,0.4,0.36,0.4,0.35,0.39,0.4,0.4,0.49,0.39,0.31,0.39,0.26,0.4,0.36,0.36
