"During the last twelve months, would you say you had difficulties to pay your bills at the end of the month…?",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Most of the time,2124,945,1179,230,518,630,746,230,316,399,433,341,268,138,3,222,225,584,688,627,590,996,364,101,100,46,177,541,165,478,517,101,783,339,488,267,240,778,216,501,621,585,588.0,348.0,604,2124,0,0,1127,466,414,19,1,1047,1077,605,936,576,1222,290,501,923,154,928,119,253,700,511,660,246,657,397,824,472,1513,689,1343,517,627,289,208,716,1192,917,1175,541,850,643
Most of the time,0.07,0.07,0.08,0.06,0.08,0.09,0.07,0.06,0.08,0.09,0.09,0.08,0.06,0.05,0.04,0.06,0.06,0.07,0.09,0.07,0.13,0.08,0.04,0.04,0.05,0.02,0.05,0.09,0.11,0.27,0.07,0.04,0.05,0.1,0.08,0.14,0.1,0.09,0.13,0.06,0.07,0.11,0.06,0.07,0.08,1,- ,- ,0.16,0.12,0.03,0.01,0.01,0.06,0.12,0.08,0.07,0.08,0.06,0.11,0.12,0.09,0.11,0.06,0.2,0.08,0.07,0.07,0.09,0.06,0.05,0.08,0.12,0.04,0.1,0.04,0.12,0.07,0.06,0.06,0.06,0.05,0.11,0.04,0.28,0.05,0.08,0.13
From time to time,6762,3117,3644,828,1784,1901,2248,828,1135,1246,1305,971,856,422,5,579,584,1896,2073,2208,1231,3393,1479,424,543,409,1002,1784,522,620,1458,424,3227,921,1502,564,494,2020,541,1785,2362,1360,2038.0,1315.0,2049,0,6762,0,1962,1324,2979,259,8,4138,2624,1748,3164,1850,4735,786,1022,2990,284,3218,269,631,2682,1894,1554,702,2902,1276,1882,2270,4100,2953,3516,1759,2176,1139,614,3074,3048,4959,1708,2225,3048,1288
From time to time,0.24,0.23,0.25,0.23,0.28,0.27,0.21,0.23,0.28,0.27,0.27,0.24,0.21,0.16,0.06,0.16,0.16,0.23,0.28,0.25,0.26,0.29,0.18,0.18,0.25,0.13,0.3,0.3,0.34,0.35,0.19,0.18,0.23,0.28,0.25,0.3,0.21,0.24,0.32,0.2,0.27,0.24,0.22,0.26,0.26,- ,1,- ,0.28,0.33,0.23,0.1,0.03,0.22,0.28,0.21,0.25,0.25,0.23,0.29,0.25,0.29,0.2,0.2,0.45,0.19,0.27,0.25,0.22,0.18,0.24,0.26,0.26,0.2,0.28,0.19,0.31,0.23,0.22,0.24,0.18,0.23,0.27,0.21,0.4,0.2,0.27,0.27
Almost never\ never,18404,9095,9309,2341,4034,4367,7662,2341,2561,2871,2969,2725,2945,1992,74,2667,2740,5501,4620,5543,2764,7105,6571,1710,1513,2538,2129,3551,795,634,5534,1710,9900,2012,3727,1017,1575,5436,883,6213,5699,3562,6688.0,3305.0,4848,0,0,18404,3835,2172,9302,2193,209,13128,5276,5683,8076,4624,13969,1570,2506,6023,909,11282,189,2390,6365,4985,4664,2845,8315,3085,4159,8503,8711,11708,5987,5072,6877,3284,2470,9159,6698,17080,1236,8088,7201,2802
Almost never\ never,0.66,0.67,0.64,0.64,0.62,0.62,0.7,0.64,0.62,0.62,0.62,0.66,0.71,0.76,0.88,0.75,0.75,0.68,0.61,0.64,0.59,0.6,0.77,0.7,0.69,0.83,0.63,0.59,0.52,0.36,0.72,0.7,0.7,0.6,0.63,0.54,0.66,0.64,0.53,0.72,0.64,0.63,0.7,0.64,0.63,- ,- ,1,0.54,0.54,0.71,0.87,0.94,0.7,0.56,0.69,0.65,0.64,0.68,0.58,0.61,0.59,0.65,0.71,0.32,0.71,0.64,0.66,0.65,0.74,0.69,0.63,0.58,0.74,0.59,0.75,0.54,0.68,0.7,0.68,0.73,0.69,0.59,0.73,0.29,0.73,0.63,0.58
Refusal (SPONTANEOUS),741,366,375,241,133,133,233,241,95,83,88,82,72,80,2,97,100,139,155,348,110,294,104,201,28,64,71,128,46,38,164,201,267,60,232,34,63,293,35,153,175,122,178.0,175.0,266,0,0,0,126,48,328,59,4,379,362,172,328,238,537,59,102,248,51,421,21,69,234,184,254,83,278,125,255,200,381,292,306,162,148,86,79,320,320,585,114,250,275,115
Refusal (SPONTANEOUS),0.03,0.03,0.03,0.07,0.02,0.02,0.02,0.07,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.04,0.02,0.03,0.01,0.08,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.08,0.02,0.02,0.04,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,- ,- ,- ,0.02,0.01,0.03,0.02,0.02,0.02,0.04,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.04,0.02,0.02,0.03,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02
