Could you tell me if…?,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Every day or almost every day,9429,5080,4350,1134,3456,3469,1370,1134,2161,2472,2291,1189,151,31,0,49,49,1672,3881,3827,260,3536,4816,669,1539,2548,2439,1952,66,111,105,669,4933,1603,2139,529,120,2280,509,2407,4129,1306,2620,2177,3327,370,2008,6876,1261,1102,5142,1546,140,6522,2908,2439,3969,3020,9429,0,0,3625,44,5734,27,1612,4038,2340,1439,1689,4720,1528,1492,4416,4675,5917,3295,2841,3444,1854,1481,5162,2750,8709,682,4481,3465,1382
Every day or almost every day,0.34,0.38,0.3,0.31,0.53,0.49,0.13,0.31,0.53,0.54,0.48,0.29,0.04,0.01,0.01,0.01,0.01,0.21,0.51,0.44,0.06,0.3,0.56,0.27,0.7,0.83,0.72,0.32,0.04,0.06,0.01,0.27,0.35,0.48,0.36,0.28,0.05,0.27,0.3,0.28,0.47,0.23,0.28,0.42,0.43,0.17,0.3,0.37,0.18,0.27,0.4,0.61,0.63,0.35,0.31,0.3,0.32,0.42,0.46,- ,- ,0.36,0.03,0.36,0.04,0.48,0.4,0.31,0.2,0.44,0.39,0.31,0.21,0.39,0.32,0.38,0.3,0.38,0.35,0.39,0.44,0.39,0.24,0.37,0.16,0.4,0.31,0.29
Two or three times a week,1193,624,570,178,379,412,224,178,256,257,279,182,37,6,0,13,13,253,451,475,63,614,388,91,154,187,246,454,8,20,32,91,642,179,248,67,29,278,66,335,486,169,359,292,373,68,377,721,225,154,683,89,6,802,391,332,543,319,942,252,0,578,6,600,10,149,474,366,205,170,577,232,215,532,594,697,455,344,377,243,159,625,408,1052,126,478,487,216
Two or three times a week,0.04,0.05,0.04,0.05,0.06,0.06,0.02,0.05,0.06,0.06,0.06,0.04,0.01,- ,- ,- ,- ,0.03,0.06,0.05,0.01,0.05,0.05,0.04,0.07,0.06,0.07,0.08,0.01,0.01,0.01,0.04,0.05,0.05,0.04,0.04,0.01,0.03,0.04,0.04,0.05,0.03,0.04,0.06,0.05,0.03,0.05,0.04,0.03,0.04,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.09,- ,0.06,- ,0.04,0.02,0.04,0.05,0.05,0.03,0.04,0.05,0.05,0.03,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.03,0.04,0.04,0.04
About once a week,353,207,146,32,126,127,68,32,77,84,93,61,7,0,0,2,2,83,138,131,13,197,112,19,45,45,65,148,4,13,15,19,199,46,78,20,6,87,17,85,160,59,94,84,117,18,129,194,71,70,177,27,3,219,134,116,147,90,249,104,0,178,6,160,10,36,148,114,56,49,190,59,55,152,191,195,148,90,129,74,60,186,106,303,48,137,171,42
About once a week,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,- ,- ,- ,- ,- ,0.01,0.02,0.02,- ,0.02,0.01,0.01,0.02,0.01,0.02,0.02,- ,0.01,- ,0.01,0.01,0.01,0.01,0.01,- ,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.04,- ,0.02,- ,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01
Two or three times a month,117,51,67,16,30,52,20,16,12,37,33,12,5,3,0,3,3,18,58,38,15,66,24,8,16,22,25,41,0,1,4,8,69,14,24,8,2,24,10,31,52,21,32,17,46,12,34,71,31,23,56,5,0,84,34,58,41,18,80,37,0,56,2,55,4,5,46,39,27,4,64,18,31,64,47,81,31,23,54,19,5,61,51,105,12,57,46,14
Two or three times a month,- ,- ,- ,- ,- ,0.01,- ,- ,- ,0.01,0.01,- ,- ,- ,- ,- ,- ,- ,0.01,- ,- ,- ,- ,- ,0.01,0.01,0.01,0.01,- ,- ,- ,- ,- ,0.01,- ,- ,- ,- ,0.01,- ,- ,0.01,- ,- ,0.01,0.01,- ,0.01,0.01,0.01,- ,- ,- ,0.01,- ,0.01,- ,- ,- ,0.01,- ,- ,- ,- ,0.01,- ,- ,0.01,- ,- ,- ,0.01,- ,0.01,0.01,0.01,- ,- ,0.01,- ,- ,- ,0.01,- ,- ,0.01,- ,- 
