"Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)","Could you tell me if…? You use the Internet on your mobile device (laptop, smartphone, tablet, etc.)"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Every day or almost every day,16447,8284,8163,3280,3429,3557,3076,1831,996,277,1147,6546,6266,2287,1608,2543,2551,3855,687,1129,1787,2287,7758,2519,4646,930,374,4950,1000,4162,6115,2344,4589.0,3661.0,5853,928,3794,11310,3157,2151,8333,2003,160,10548,5899,4347,7348,4736,16447,0,0,6267,98,10048,34,2427,6688,4207,3125,2648,7254,2901,3644,7169,8317,9714,6088,4784,5870,2740,2298,8138,5956,14620,1751,7306,6409,2458
Every day or almost every day,0.59,0.61,0.56,0.9,0.83,0.77,0.64,0.44,0.24,0.11,0.24,0.56,0.74,0.94,0.74,0.83,0.76,0.64,0.45,0.64,0.23,0.94,0.55,0.76,0.78,0.5,0.16,0.58,0.6,0.48,0.69,0.42,0.48,0.71,0.76,0.44,0.56,0.61,0.45,0.54,0.64,0.79,0.72,0.57,0.63,0.53,0.59,0.65,0.8,0,0,0.62,0.07,0.64,0.06,0.73,0.67,0.56,0.44,0.68,0.6,0.59,0.51,0.63,0.57,0.62,0.55,0.64,0.6,0.57,0.68,0.61,0.53,0.62,0.41,0.66,0.56,0.51
Two or three times a week,2027,1002,1025,115,253,379,453,412,330,86,240,1070,614,54,188,206,295,573,129,97,486,54,1251,213,280,134,111,430,95,710,754,341,770.0,434.0,482,125,604,1224,430,301,1051,156,22,1375,653,556,941,530,1190,837,0,853,38,1121,15,225,792,570,440,283,1085,304,356,910,1018,1152,811,565,776,300,272,1120,627,1719,288,803,845,361
Two or three times a week,0.07,0.07,0.07,0.03,0.06,0.08,0.1,0.1,0.08,0.03,0.05,0.09,0.07,0.02,0.09,0.07,0.09,0.1,0.09,0.05,0.06,0.02,0.09,0.06,0.05,0.07,0.04,0.05,0.06,0.08,0.08,0.06,0.08,0.08,0.06,0.06,0.09,0.07,0.06,0.07,0.08,0.06,0.1,0.07,0.07,0.07,0.08,0.07,0.06,0.31,0,0.08,0.03,0.07,0.03,0.07,0.08,0.07,0.06,0.07,0.09,0.06,0.05,0.08,0.07,0.07,0.07,0.07,0.08,0.06,0.08,0.09,0.06,0.07,0.07,0.07,0.07,0.08
About once a week,601,293,309,28,77,90,155,122,93,37,75,328,171,7,53,54,90,163,43,30,161,7,361,80,71,49,31,108,44,208,233,89,242.0,115.0,156,41,191,349,116,87,317,43,13,417,184,169,248,184,311,290,0,230,3,356,12,69,232,167,133,92,293,98,118,276,297,359,228,155,244,87,84,313,200,493,103,226,256,107
About once a week,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.02,0.01,0.02,0.03,0.02,0,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0,0.02,0.03,0.01,0.03,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.06,0.02,0.02,0.02,0.02,0.03,0.01,0.11,0,0.02,0,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Two or three times a month,254,134,120,12,29,29,65,60,41,18,47,132,66,3,23,16,41,53,21,27,70,3,136,47,29,23,20,58,13,106,76,64,94.0,33.0,62,30,72,150,78,44,96,26,4,176,78,89,113,52,117,137,0,89,15,148,2,30,103,67,53,39,119,44,51,130,117,147,101,71,72,61,49,110,95,203,50,88,100,60
