- Use of the Internet,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Everyday,20464,10270,10194,3556,6075,5940,4893,3556,3876,4212,3927,2655,1728,511,9,826,835,4722,6557,8349,1524,8603,7646,2413,1920,2949,3131,4810,892,1373,2976,2413,10076,2952,5248,1307,628,5957,1226,5590,7437,3158,6104.0,4360.0,6841,1222,4735,13969,4009,2792,10348,2331,204,13268,7196,5556,9226,5664,20464,0,0,7705,207,12475,77,2881,8057,5349,4177,3222,9167,3533,4542,8900,10371,12107,7568,5869,7313,3482,2791,10199,7402,18109,2247,8783,8101,3261
Everyday,0.73,0.76,0.7,0.98,0.94,0.85,0.45,0.98,0.95,0.92,0.82,0.65,0.42,0.2,0.11,0.23,0.23,0.58,0.87,0.96,0.32,0.73,0.9,0.99,0.88,0.96,0.93,0.8,0.58,0.78,0.39,0.99,0.71,0.89,0.88,0.7,0.27,0.7,0.73,0.65,0.84,0.56,0.64,0.85,0.88,0.57,0.7,0.76,0.57,0.7,0.8,0.92,0.92,0.71,0.77,0.68,0.74,0.78,1,- ,- ,0.76,0.15,0.79,0.13,0.86,0.81,0.71,0.59,0.83,0.75,0.72,0.64,0.78,0.71,0.77,0.68,0.78,0.74,0.73,0.83,0.77,0.66,0.77,0.53,0.79,0.71,0.67
Often/ Sometimes,2704,1322,1382,57,293,727,1627,57,178,278,564,659,673,295,3,418,420,1330,677,277,614,1501,515,15,175,83,201,732,192,199,1106,15,1715,205,274,232,243,618,131,1056,864,564,1147.0,439.0,554,290,786,1570,841,431,1209,106,8,1874,830,847,1243,614,0,2704,0,1046,90,1502,66,222,912,796,774,313,1319,488,584,1099,1474,1448,1171,618,1047,450,303,1358,1035,2142,529,920,1181,545
Often/ Sometimes,0.1,0.1,0.1,0.01,0.05,0.1,0.15,0.01,0.04,0.06,0.12,0.16,0.16,0.11,0.03,0.12,0.12,0.17,0.09,0.03,0.13,0.13,0.06,0.01,0.08,0.03,0.06,0.12,0.13,0.11,0.14,0.01,0.12,0.06,0.05,0.12,0.1,0.07,0.08,0.12,0.1,0.1,0.12,0.08,0.07,0.14,0.12,0.08,0.12,0.11,0.09,0.04,0.04,0.1,0.09,0.1,0.1,0.08,- ,1,- ,0.1,0.06,0.09,0.11,0.07,0.09,0.1,0.11,0.08,0.11,0.1,0.08,0.1,0.1,0.09,0.1,0.08,0.11,0.09,0.09,0.1,0.09,0.09,0.13,0.08,0.1,0.11
Never,4131,1647,2485,25,92,340,3674,25,52,98,282,715,1459,1500,57,1893,1950,1812,277,92,2101,1500,314,6,83,20,44,425,356,180,3019,6,2025,150,371,303,1264,1648,289,1662,514,1619,1863.0,315.0,334,501,1022,2506,1819,626,1323,83,9,3021,1110,1514,1747,860,0,0,4131,1239,919,1636,338,216,920,1209,1786,307,1442,685,1698,1294,2388,1837,1998,869,1273,776,254,1480,2353,2848,1191,1235,1790,857
Never,0.15,0.12,0.17,0.01,0.01,0.05,0.34,0.01,0.01,0.02,0.06,0.17,0.35,0.57,0.68,0.53,0.53,0.22,0.04,0.01,0.45,0.13,0.04,- ,0.04,0.01,0.01,0.07,0.23,0.1,0.39,- ,0.14,0.04,0.06,0.16,0.53,0.19,0.17,0.19,0.06,0.29,0.2,0.06,0.04,0.24,0.15,0.14,0.26,0.15,0.1,0.03,0.04,0.16,0.12,0.18,0.14,0.12,- ,- ,1,0.12,0.66,0.1,0.56,0.06,0.09,0.16,0.25,0.08,0.12,0.14,0.24,0.11,0.16,0.12,0.18,0.12,0.13,0.16,0.07,0.11,0.21,0.12,0.28,0.11,0.16,0.18
No Internet access(SPONTANEOUS),732,285,447,2,10,25,695,2,2,11,22,89,281,325,15,429,444,256,24,9,456,184,42,1,7,4,3,39,88,19,571,1,360,25,55,40,237,304,28,344,42,289,376.0,29.0,37,111,219,359,382,161,141,10,0,528,203,292,287,150,0,0,0,195,183,237,117,23,93,221,394,33,225,178,296,151,472,250,415,154,195,92,23,232,468,442,267,167,303,185
No Internet access(SPONTANEOUS),0.02,0.02,0.03,- ,- ,- ,0.06,- ,- ,- ,- ,0.02,0.07,0.12,0.18,0.12,0.12,0.03,- ,- ,0.1,0.01,- ,- ,- ,- ,- ,0.01,0.06,0.01,0.08,- ,0.03,0.01,0.01,0.02,0.1,0.04,0.02,0.04,- ,0.05,0.04,0.01,0.01,0.05,0.03,0.02,0.05,0.04,0.01,0.01,- ,0.03,0.02,0.04,0.02,0.02,- ,- ,- ,0.02,0.13,0.02,0.2,0.01,0.01,0.03,0.05,0.01,0.02,0.04,0.04,0.01,0.03,0.02,0.04,0.02,0.02,0.02,0.01,0.02,0.04,0.02,0.06,0.02,0.03,0.04
