Do you see yourself and your household belonging to…?,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
The working class of society,7050,3342,3708,661,1463,1713,3213,661,933,1036,1207,1162,1192,859,35,1152,1186,2243,1809,1811,2178,3452,945,279,302,185,434,2174,533,759,2385,279,3238,783,1486,621,873,2397,583,2095,1926,1837,2388,1056,1769,1127,1962,3835,7050,0,0,0,0,4233,2817,2509,2951,1575,4009,841,1819,2743,563,3440,304,512,1966,2034,2538,610,2336,1352,2751,2051,4342,3167,3436,1812,2409,935,541,2540,3933,5130,1851,2117,3188,1479
The working class of society,0.25,0.25,0.25,0.18,0.23,0.24,0.29,0.18,0.23,0.22,0.25,0.28,0.29,0.33,0.42,0.32,0.33,0.27,0.24,0.21,0.46,0.29,0.11,0.11,0.14,0.06,0.13,0.36,0.35,0.43,0.31,0.11,0.23,0.24,0.25,0.33,0.37,0.28,0.35,0.24,0.22,0.33,0.25,0.2,0.23,0.53,0.29,0.21,1,- ,- ,- ,- ,0.23,0.3,0.31,0.23,0.22,0.2,0.31,0.44,0.27,0.4,0.22,0.51,0.15,0.2,0.27,0.36,0.16,0.19,0.28,0.39,0.18,0.3,0.2,0.31,0.24,0.24,0.2,0.16,0.19,0.35,0.22,0.44,0.19,0.28,0.31
The lower middle class of society,4010,1878,2133,422,988,960,1640,422,692,648,608,620,621,400,11,530,541,1199,1044,1227,816,1930,939,228,248,248,562,996,248,313,1167,228,1888,501,871,306,409,1267,320,1261,1127,873,1459,705,974,466,1324,2172,0,4010,0,0,0,2452,1558,1198,1848,964,2792,431,626,1506,248,2168,88,404,1331,1232,1042,484,1708,796,1023,1423,2400,1964,1925,1160,1338,697,390,1860,1744,3060,896,1387,1686,842
The lower middle class of society,0.14,0.14,0.15,0.12,0.15,0.14,0.15,0.12,0.17,0.14,0.13,0.15,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.14,0.17,0.16,0.11,0.09,0.11,0.08,0.17,0.17,0.16,0.18,0.15,0.09,0.13,0.15,0.15,0.16,0.17,0.15,0.19,0.15,0.13,0.15,0.15,0.14,0.13,0.22,0.2,0.12,- ,1,- ,- ,- ,0.13,0.17,0.15,0.15,0.13,0.14,0.16,0.15,0.15,0.18,0.14,0.15,0.12,0.13,0.16,0.15,0.12,0.14,0.16,0.14,0.12,0.16,0.13,0.17,0.16,0.14,0.15,0.11,0.14,0.16,0.13,0.21,0.13,0.15,0.17
The middle class of society,13022,6196,6826,1774,3131,3365,4752,1774,1951,2223,2322,1845,1844,1063,27,1474,1501,3697,3596,4228,1428,5472,4586,1315,1132,1732,2003,2424,601,573,3242,1315,7022,1581,2671,793,837,3703,598,4161,4443,2289,4402,2665,3666,414,2979,9302,0,0,13022,0,0,9164,3857,3532,5919,3570,10348,1209,1323,4581,431,7869,141,1611,5195,3472,2744,1920,6377,2144,2581,6139,6198,8045,4592,3464,4918,2373,1694,6879,4396,11822,1149,5604,5304,1938
The middle class of society,0.46,0.46,0.47,0.49,0.48,0.48,0.44,0.49,0.47,0.48,0.48,0.45,0.44,0.4,0.32,0.41,0.41,0.45,0.48,0.49,0.3,0.47,0.54,0.54,0.52,0.57,0.59,0.4,0.39,0.32,0.42,0.54,0.49,0.47,0.45,0.42,0.35,0.43,0.36,0.48,0.5,0.41,0.46,0.52,0.47,0.19,0.44,0.51,- ,- ,1,- ,- ,0.49,0.41,0.43,0.47,0.49,0.51,0.45,0.32,0.45,0.31,0.49,0.24,0.48,0.52,0.46,0.38,0.5,0.52,0.44,0.36,0.54,0.42,0.51,0.41,0.46,0.5,0.49,0.5,0.52,0.39,0.5,0.27,0.51,0.47,0.4
The upper middle class of society,2530,1416,1113,400,580,770,778,400,322,506,523,316,295,167,3,229,232,631,850,817,75,481,1630,312,422,742,281,177,69,37,490,312,1502,303,498,76,90,600,63,763,1042,303,840,449,938,19,259,2193,0,0,0,2530,0,2023,507,583,1167,777,2331,106,83,679,43,1790,18,681,1030,526,293,732,1190,375,232,1360,1096,1816,659,838,813,606,633,1371,520,2414,110,1436,739,345
The upper middle class of society,0.09,0.1,0.08,0.11,0.09,0.11,0.07,0.11,0.08,0.11,0.11,0.07,0.07,0.06,0.03,0.06,0.06,0.08,0.11,0.09,0.02,0.04,0.19,0.13,0.19,0.24,0.08,0.03,0.05,0.02,0.06,0.13,0.11,0.09,0.08,0.04,0.04,0.07,0.04,0.09,0.12,0.05,0.09,0.09,0.12,0.01,0.04,0.12,- ,- ,- ,1,- ,0.11,0.05,0.07,0.09,0.11,0.11,0.04,0.02,0.07,0.03,0.11,0.03,0.2,0.1,0.07,0.04,0.19,0.1,0.08,0.03,0.12,0.07,0.12,0.06,0.11,0.08,0.13,0.19,0.1,0.05,0.1,0.03,0.13,0.06,0.07
The higher class of society,222,139,82,18,66,63,75,18,47,38,43,28,35,12,0,17,17,76,53,76,4,22,176,18,35,88,12,9,10,0,50,18,116,25,51,15,14,70,9,66,75,47,69,48,58,1,8,209,0,0,0,0,222,199,22,38,78,105,204,8,9,112,1,107,1,63,91,37,30,59,99,28,35,140,71,168,40,54,78,63,54,117,50,214,7,126,57,36
The higher class of society,0.01,0.01,- ,- ,0.01,0.01,0.01,- ,0.01,0.01,0.01,0.01,0.01,0.01,- ,0.01,- ,0.01,0.01,0.01,- ,- ,0.02,0.01,0.01,0.03,- ,- ,0.01,- ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,- ,0.01,0.01,0.01,0.01,0.01,0.01,- ,- ,0.01,- ,- ,- ,- ,1,0.01,- ,- ,0.01,0.01,0.01,- ,- ,0.01,- ,0.01,- ,0.02,0.01,0.01,- ,0.01,0.01,- ,0.01,0.01,0.01,0.01,- ,0.01,0.01,0.01,0.02,0.01,- ,0.01,- ,0.01,0.01,0.01
Other (SPONTANEOUS),48,15,33,20,7,9,12,20,3,5,8,5,4,4,0,4,4,9,11,24,5,6,16,20,2,3,0,2,3,8,10,20,16,2,22,3,4,26,2,3,15,25,6,4,12,11,4,31,0,0,0,0,0,7,40,14,11,23,33,8,5,17,3,25,3,7,27,6,8,3,19,12,13,23,19,36,10,14,25,3,3,30,15,33,13,23,14,10
Other (SPONTANEOUS),- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- ,- ,- ,- ,- ,0.01,- ,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
None (SPONTANEOUS),252,120,132,80,38,42,92,80,27,31,22,39,31,21,0,28,28,67,45,112,22,112,53,62,13,13,20,37,20,22,64,62,90,42,68,27,22,98,20,73,59,54,68,48,81,28,44,168,0,0,0,0,0,139,113,92,112,48,175,27,38,130,11,103,8,26,73,37,116,21,110,40,82,84,125,104,112,48,72,40,23,108,118,193,56,106,96,35
None (SPONTANEOUS),0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,- ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,- ,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,- ,- ,- ,- ,- ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,- ,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
