Which of the following best corresponds to your own current situation?,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Unmarried,5948,3213,2736,2539,1761,883,765,2539,1373,666,606,369,268,127,8,176,183,679,1008,4078,460,2056,1476,1851,259,452,738,1250,101,645,653,1851,0,0,5948,0,0,5334,614,0,0,2186,881.0,1183.0,1698,488,1502,3727,1486,871,2671,498,51,2852,3096,1416,2644,1883,5248,274,371,2481,125,3241,100,703,2351,1463,1431,752,2234,1134,1828,2371,3127,3257,2332,1715,1970,760,659,2605,2642,4944,975,2481,2380,956
Unmarried,0.21,0.24,0.19,0.7,0.27,0.13,0.07,0.7,0.33,0.14,0.13,0.09,0.06,0.05,0.09,0.05,0.05,0.08,0.13,0.47,0.1,0.17,0.17,0.76,0.12,0.15,0.22,0.21,0.07,0.36,0.09,0.76,- ,- ,1,- ,- ,0.63,0.37,- ,- ,0.39,0.09,0.23,0.22,0.23,0.22,0.2,0.21,0.22,0.21,0.2,0.23,0.15,0.33,0.17,0.21,0.26,0.26,0.1,0.09,0.24,0.09,0.2,0.17,0.21,0.24,0.19,0.2,0.19,0.18,0.23,0.26,0.21,0.21,0.21,0.21,0.23,0.2,0.16,0.2,0.2,0.23,0.21,0.23,0.22,0.21,0.2
(Re)Married/Single with a partner,17508,8909,8599,874,4432,5362,6840,874,2599,3599,3596,2939,2620,1281,17,1846,1862,5634,5766,4246,2852,7858,6054,417,1721,2372,2350,4132,1223,906,4386,417,14176,3332,0,0,0,0,0,8651,8857,506,7775.0,3525.0,5703,1122,4147,11912,4021,2389,8604,1805,141,12859,4650,5596,7701,4189,13028,1919,2175,6156,669,10374,310,2193,6396,4862,4057,2606,8188,2965,3749,7515,9000,10095,6805,4647,6362,3278,2278,8775,6394,15254,2118,7105,7144,2915
(Re)Married/Single with a partner,0.62,0.66,0.59,0.24,0.69,0.76,0.63,0.24,0.63,0.78,0.75,0.71,0.63,0.49,0.2,0.52,0.51,0.69,0.77,0.49,0.61,0.67,0.71,0.17,0.79,0.78,0.7,0.69,0.8,0.51,0.57,0.17,1,1,- ,- ,- ,- ,- ,1,1,0.09,0.82,0.69,0.73,0.53,0.61,0.65,0.57,0.6,0.66,0.71,0.64,0.69,0.5,0.68,0.62,0.57,0.64,0.71,0.53,0.6,0.48,0.65,0.52,0.66,0.64,0.64,0.57,0.67,0.67,0.61,0.53,0.66,0.61,0.65,0.61,0.62,0.65,0.68,0.68,0.66,0.57,0.65,0.5,0.64,0.63,0.6
Divorced or separated,1882,700,1182,33,220,663,966,33,99,288,496,509,346,112,3,169,172,896,646,167,292,977,562,31,159,173,212,441,60,171,634,31,0,0,0,1882,0,1197,685,0,0,1016,487.0,237.0,141,267,564,1017,621,306,793,76,15,1014,868,403,946,532,1307,232,303,829,72,954,28,221,579,524,558,250,759,320,553,686,1115,1000,842,521,663,309,207,844,828,1397,473,669,707,466
Divorced or separated,0.07,0.05,0.08,0.01,0.03,0.09,0.09,0.01,0.02,0.06,0.1,0.12,0.08,0.04,0.04,0.05,0.05,0.11,0.09,0.02,0.06,0.08,0.07,0.01,0.07,0.06,0.06,0.07,0.04,0.1,0.08,0.01,- ,- ,- ,1,- ,0.14,0.41,- ,- ,0.18,0.05,0.05,0.02,0.13,0.08,0.06,0.09,0.08,0.06,0.03,0.07,0.05,0.09,0.05,0.08,0.07,0.06,0.09,0.07,0.08,0.05,0.06,0.05,0.07,0.06,0.07,0.08,0.06,0.06,0.07,0.08,0.06,0.08,0.06,0.08,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.11,0.06,0.06,0.1
Widowed,2372,519,1854,3,16,99,2254,3,6,28,81,279,880,1096,56,1361,1416,857,88,11,1056,812,373,6,35,48,50,104,128,34,1968,6,0,0,0,0,2372,1997,376,0,0,1894,280.0,99.0,99,240,494,1575,873,409,837,90,14,1797,575,750,1047,571,628,243,1264,579,525,1119,149,178,514,650,1030,224,825,410,914,760,1326,1143,1057,555,763,407,181,879,1289,1700,624,708,1021,483
Widowed,0.08,0.04,0.13,0,0,0.01,0.21,0,0,0.01,0.02,0.07,0.21,0.42,0.67,0.38,0.39,0.11,0.01,0,0.22,0.07,0.04,0,0.02,0.02,0.01,0.02,0.08,0.02,0.26,0,- ,- ,- ,- ,1,0.23,0.22,- ,- ,0.34,0.03,0.02,0.01,0.11,0.07,0.09,0.12,0.1,0.06,0.04,0.06,0.1,0.06,0.09,0.08,0.08,0.03,0.09,0.31,0.06,0.38,0.07,0.25,0.05,0.05,0.09,0.14,0.06,0.07,0.08,0.13,0.07,0.09,0.07,0.09,0.07,0.08,0.08,0.05,0.07,0.11,0.07,0.15,0.06,0.09,0.1
