"On the whole, are you very satisfied, fairly satisfied, not very satisfied or not at all satisfied with the life you lead?",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Very satisfied,6466,3278,3187,1112,1563,1550,2240,1112,1025,1013,1076,826,870,544,18,739,756,1714,1611,2384,735,2182,2640,830,577,1127,691,1152,308,224,1557,830,3632,765,1372,284,319,1658,316,2169,2228,894,2323.0,1188.0,2060,118,579,5592,1158,560,3168,1244,113,4702,1764,2019,2819,1618,5539,385,474,1851,224,4371,19,1082,2378,1509,1497,1270,2669,1001,1525,3377,2749,4534,1721,1871,2453,1237,1142,2956,2347,6466,0,3128,2328,900
Very satisfied,0.23,0.24,0.22,0.31,0.24,0.22,0.21,0.31,0.25,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.27,0.16,0.18,0.31,0.34,0.26,0.37,0.21,0.19,0.2,0.13,0.2,0.34,0.26,0.23,0.23,0.15,0.14,0.19,0.19,0.25,0.25,0.16,0.24,0.23,0.26,0.06,0.09,0.3,0.17,0.14,0.24,0.49,0.51,0.25,0.19,0.25,0.22,0.22,0.27,0.14,0.12,0.18,0.16,0.28,0.03,0.32,0.24,0.2,0.21,0.33,0.22,0.21,0.21,0.3,0.19,0.29,0.16,0.25,0.25,0.26,0.34,0.22,0.21,0.27,- ,0.28,0.2,0.19
Fairly satisfied,17075,8127,8948,2167,4007,4374,6527,2167,2515,2944,2923,2481,2469,1578,49,2124,2173,4870,4754,5278,2697,7531,5097,1438,1359,1758,2377,3894,859,831,4559,1438,8748,2108,3573,1112,1382,5092,975,5277,5580,3349,5681.0,3248.0,4797,798,4380,11489,3972,2500,8654,1170,101,11377,5699,4954,7703,4408,12571,1757,2373,6379,818,9639,239,1812,6333,4796,4134,2069,7884,2993,4130,7124,8801,9743,6553,4505,6116,2908,1797,8562,6631,17075,0,6971,7172,2606
Fairly satisfied,0.61,0.6,0.62,0.59,0.62,0.62,0.6,0.59,0.61,0.64,0.61,0.6,0.6,0.6,0.59,0.6,0.6,0.6,0.63,0.6,0.58,0.64,0.6,0.59,0.62,0.58,0.7,0.65,0.56,0.47,0.59,0.59,0.62,0.63,0.6,0.59,0.58,0.6,0.58,0.61,0.63,0.59,0.6,0.63,0.62,0.38,0.65,0.62,0.56,0.62,0.67,0.46,0.46,0.61,0.61,0.6,0.62,0.6,0.61,0.65,0.57,0.63,0.58,0.61,0.4,0.54,0.63,0.63,0.58,0.53,0.65,0.61,0.58,0.62,0.6,0.62,0.59,0.6,0.62,0.6,0.53,0.64,0.59,0.73,- ,0.63,0.63,0.54
Not very satisfied,3568,1683,1885,299,753,868,1648,299,486,528,607,614,630,404,14,568,581,1172,928,887,1004,1673,611,140,211,133,279,773,270,531,1232,140,1486,352,816,368,506,1396,294,973,865,1063,1199.0,580.0,727,868,1508,1099,1491,779,1028,91,3,2102,1466,989,1583,993,1946,433,971,1548,273,1505,242,357,1037,1037,1138,415,1311,732,1110,781,2490,1144,2264,934,1059,528,343,1421,1790,0,3568,837,1564,989
Not very satisfied,0.13,0.13,0.13,0.08,0.12,0.12,0.15,0.08,0.12,0.11,0.13,0.15,0.15,0.15,0.17,0.16,0.16,0.15,0.12,0.1,0.21,0.14,0.07,0.06,0.1,0.04,0.08,0.13,0.18,0.3,0.16,0.06,0.1,0.11,0.14,0.19,0.21,0.16,0.18,0.11,0.1,0.19,0.13,0.11,0.09,0.41,0.22,0.06,0.21,0.2,0.08,0.04,0.01,0.11,0.16,0.12,0.13,0.14,0.1,0.16,0.24,0.15,0.19,0.09,0.41,0.11,0.1,0.14,0.16,0.11,0.11,0.15,0.16,0.07,0.17,0.07,0.2,0.13,0.11,0.11,0.1,0.11,0.16,- ,0.84,0.08,0.14,0.2
Not at all satisfied,664,314,350,43,112,178,332,43,58,90,141,159,111,63,0,87,88,265,182,130,196,309,117,11,24,24,23,126,68,176,212,11,205,76,159,105,118,319,63,158,123,258,191.0,78.0,137,308,200,137,360,117,121,19,4,365,299,172,284,205,301,96,220,289,50,259,66,80,177,170,238,91,190,113,271,126,507,167,477,170,162,93,72,208,380,0,664,130,216,286
Not at all satisfied,0.02,0.02,0.02,0.01,0.02,0.03,0.03,0.01,0.01,0.02,0.03,0.04,0.03,0.02,0.01,0.02,0.02,0.03,0.03,0.02,0.04,0.03,0.01,- ,0.01,0.01,0.01,0.02,0.04,0.1,0.03,- ,0.01,0.02,0.03,0.06,0.05,0.04,0.04,0.02,0.01,0.05,0.02,0.02,0.02,0.14,0.03,0.01,0.05,0.03,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.03,0.01,0.04,0.05,0.03,0.04,0.02,0.11,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.04,0.01,0.03,0.01,0.04,0.02,0.02,0.02,0.02,0.02,0.03,- ,0.16,0.01,0.02,0.06
