"When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...?",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Frequently,5276,3079,2196,554,1150,1464,2107,554,686,876,1053,872,866,369,14,553,567,1753,1535,1421,548,1787,2379,477,544,967,640,783,179,265,1420,477,2899,658,1015,333,296,1396,246,1731,1825,934,1931,975,1436,335,1042,3781,873,701,2544,977,78,3787,1488,1366,2350,1556,4377,434,418,1544,137,3543,52,2671,1591,807,207,3801,1395,79,0,2550,2571,3447,1751,2184,1566,1110,3051,1936,285,4531,708,2649,1492,1094
Frequently,0.19,0.23,0.15,0.15,0.18,0.21,0.2,0.15,0.17,0.19,0.22,0.21,0.21,0.14,0.17,0.15,0.16,0.22,0.2,0.16,0.12,0.15,0.28,0.19,0.25,0.32,0.19,0.13,0.12,0.15,0.19,0.19,0.21,0.2,0.17,0.18,0.12,0.16,0.15,0.2,0.21,0.17,0.21,0.19,0.19,0.16,0.15,0.21,0.12,0.18,0.2,0.39,0.35,0.2,0.16,0.17,0.19,0.21,0.21,0.16,0.1,0.15,0.1,0.22,0.09,0.8,0.16,0.11,0.03,0.98,0.12,0.02,- ,0.22,0.17,0.22,0.16,0.29,0.16,0.23,0.91,0.15,0.03,0.19,0.17,0.24,0.13,0.23
Occasionally,14397,7181,7217,1618,3446,3890,5443,1618,2158,2567,2611,2182,2128,1133,24,1591,1615,4287,4195,4300,2066,6297,4648,1139,1239,1699,2063,3159,668,728,3703,1139,7792,1689,2844,905,1015,4020,744,4633,4848,2737,4944,2685,4031,833,3488,9744,3084,2043,7380,1260,100,9909,4488,4266,6390,3739,10734,1559,1779,5387,588,8183,239,665,6232,4739,2762,74,10724,3599,0,6532,7177,8716,5308,3922,5491,2579,312,11068,2987,12358,1912,6066,5927,2232
Occasionally,0.51,0.53,0.5,0.44,0.53,0.55,0.5,0.44,0.53,0.56,0.55,0.53,0.51,0.43,0.29,0.45,0.44,0.53,0.56,0.49,0.44,0.54,0.55,0.47,0.57,0.55,0.61,0.53,0.44,0.41,0.48,0.47,0.55,0.51,0.48,0.48,0.43,0.47,0.44,0.54,0.55,0.49,0.52,0.52,0.52,0.39,0.52,0.53,0.44,0.51,0.57,0.5,0.45,0.53,0.48,0.52,0.51,0.51,0.53,0.58,0.43,0.53,0.42,0.52,0.4,0.2,0.63,0.63,0.39,0.02,0.88,0.74,- ,0.57,0.49,0.56,0.48,0.52,0.56,0.54,0.09,0.83,0.26,0.53,0.45,0.55,0.52,0.46
Never,8255,3220,5035,1447,1840,1666,3303,1447,1245,1137,1124,1058,1140,1105,43,1398,1441,2068,1784,2962,2056,3670,1473,799,398,389,667,2041,677,766,2517,799,3453,976,2056,641,1041,3062,676,2269,2160,1928,2595,1467,2265,948,2211,4822,3068,1257,3055,289,44,4943,3312,2546,3733,1955,5295,703,1905,3201,666,4087,302,8,2132,2009,4106,0,33,1193,7030,2346,4934,3459,4070,1394,2754,1101,9,261,7973,6574,1595,2369,3909,1513
Never,0.3,0.24,0.35,0.4,0.28,0.24,0.3,0.4,0.3,0.25,0.23,0.26,0.28,0.42,0.52,0.39,0.39,0.25,0.24,0.34,0.44,0.31,0.17,0.33,0.18,0.13,0.2,0.34,0.44,0.43,0.33,0.33,0.24,0.29,0.34,0.34,0.44,0.36,0.4,0.26,0.24,0.34,0.27,0.29,0.29,0.45,0.33,0.26,0.44,0.31,0.23,0.11,0.2,0.27,0.35,0.31,0.3,0.27,0.26,0.26,0.46,0.31,0.47,0.26,0.5,- ,0.21,0.26,0.57,- ,- ,0.24,0.99,0.21,0.34,0.22,0.36,0.19,0.28,0.23,- ,0.02,0.71,0.28,0.38,0.21,0.34,0.31
DK,103,44,59,21,34,11,37,21,19,20,6,6,7,24,2,23,25,12,22,43,23,35,17,19,2,2,9,21,5,13,32,19,33,10,35,2,20,49,8,19,24,31,21,16,35,8,21,57,25,9,43,3,0,52,51,31,31,38,58,8,30,52,9,37,5,0,27,20,56,0,0,13,90,17,23,21,23,11,17,9,0,4,13,78,18,22,46,8
DK,- ,- ,- ,0.01,0.01,- ,- ,0.01,- ,- ,- ,- ,- ,0.01,0.02,0.01,0.01,- ,- ,0.01,- ,- ,- ,0.01,- ,- ,- ,- ,- ,0.01,- ,0.01,- ,- ,0.01,- ,0.01,0.01,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- ,- ,0.01,- ,- ,0.01,0.01,0.01,- ,0.01,- ,- ,- ,0.01,- ,- ,- ,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- 
