"When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters","When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? Local political matters"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Frequently,4559,2535,2024,403,537,767,928,774,791,360,549,1732,1883,309,537,730,558,674,201,236,1314,309,2645,493,764,318,296,1159,219,1539,1599,802,1674,858,1225,309,889,3291,774,569,2345,735,41,3360,1199,1347,2027,1182,3662,409,428,1289,153,3050,67,2240,1286,787,246,3134,1358,67,0,2241,2187,3022,1483,1720,1479,977,2273,1825,457,3956,575,2287,1396,836
Frequently,0.16,0.19,0.14,0.11,0.13,0.17,0.2,0.19,0.19,0.14,0.12,0.15,0.22,0.13,0.25,0.24,0.17,0.11,0.13,0.13,0.17,0.13,0.19,0.15,0.13,0.17,0.12,0.13,0.13,0.18,0.18,0.14,0.18,0.17,0.16,0.15,0.13,0.18,0.11,0.14,0.18,0.29,0.19,0.18,0.13,0.17,0.16,0.16,0.18,0.15,0.1,0.13,0.11,0.19,0.11,0.67,0.13,0.11,0.03,0.81,0.11,0.01,0,0.2,0.15,0.19,0.14,0.23,0.15,0.2,0.67,0.14,0.04,0.17,0.14,0.21,0.12,0.17
Occasionally,14192,7146,7046,1465,2087,2476,2605,2216,2164,1180,2103,6081,4685,1082,1158,1738,1985,3095,626,701,3806,1082,7760,1626,2736,858,1059,3918,735,4612,4774,2724,4965,2614,3889,839,3540,9474,2984,2120,7168,1290,122,9896,4296,4100,6410,3679,10488,1522,1834,5266,581,8069,277,1058,5899,4479,2756,742,10506,2944,0,6451,7061,8534,5272,3993,5273,2539,959,10320,2883,12082,1982,5976,5719,2296
Occasionally,0.51,0.53,0.49,0.4,0.51,0.54,0.54,0.54,0.52,0.45,0.45,0.52,0.55,0.44,0.53,0.57,0.59,0.52,0.41,0.4,0.5,0.44,0.55,0.49,0.46,0.46,0.45,0.46,0.44,0.53,0.54,0.48,0.52,0.51,0.5,0.39,0.53,0.52,0.42,0.53,0.55,0.51,0.55,0.53,0.46,0.5,0.51,0.5,0.51,0.56,0.44,0.52,0.41,0.51,0.46,0.32,0.59,0.59,0.39,0.19,0.87,0.6,0,0.56,0.48,0.55,0.47,0.53,0.54,0.53,0.29,0.78,0.26,0.51,0.47,0.54,0.5,0.48
Never,9156,3787,5370,1752,1465,1335,1253,1117,1174,1061,2017,3932,1922,1027,486,585,823,2206,697,824,2508,1027,3732,1202,2412,696,1001,3396,712,2481,2452,2065,2824,1652,2616,970,2312,5565,3257,1311,3461,494,58,5366,3790,2731,4032,2371,6244,764,1838,3568,658,4680,250,45,2766,2279,4067,0,286,1838,7033,2735,5419,4049,4371,1787,3044,1266,139,1101,7910,7403,1659,2813,4201,1705
Never,0.33,0.28,0.37,0.48,0.36,0.29,0.26,0.27,0.29,0.4,0.43,0.33,0.23,0.42,0.22,0.19,0.24,0.37,0.46,0.47,0.33,0.42,0.26,0.36,0.4,0.37,0.42,0.4,0.43,0.29,0.28,0.37,0.3,0.32,0.34,0.46,0.34,0.3,0.46,0.33,0.27,0.2,0.26,0.29,0.4,0.33,0.32,0.33,0.31,0.28,0.45,0.35,0.47,0.3,0.42,0.01,0.28,0.3,0.57,0,0.02,0.38,0.99,0.24,0.37,0.26,0.39,0.24,0.31,0.27,0.04,0.08,0.7,0.32,0.39,0.25,0.37,0.35
DK,124,56,67,20,19,22,9,12,12,29,26,42,28,17,3,4,13,29,5,9,44,17,40,11,36,9,17,55,9,19,32,39,29,20,36,7,21,74,35,10,47,10,0,69,55,30,34,56,69,9,31,61,8,50,4,0,31,29,64,0,2,35,87,18,38,37,27,10,33,17,1,23,8,99,17,29,59,11
