Please tell me to what extent you agree or disagree with each of the following statements.,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Totally agree,2946,1466,1480,391,604,790,1161,391,401,408,585,426,430,305,11,399,410,896,760,880,357,1023,1195,307,250,455,304,520,122,156,832,307,1573,286,671,161,228,901,159,901,959,570,1026.0,545.0,806,128,381,2359,457,294,1556,524,30,1895,1051,969,1245,732,2381,228,302,824,143,1944,34,779,945,623,599,916,1292,306,432,2946,0,2860,83,960,1135,513,820,1486,637,2705,236,1867,807,248
Totally agree,0.1,0.11,0.1,0.11,0.09,0.11,0.11,0.11,0.1,0.09,0.12,0.1,0.1,0.12,0.13,0.11,0.11,0.11,0.1,0.1,0.08,0.09,0.14,0.13,0.11,0.15,0.09,0.09,0.08,0.09,0.11,0.13,0.11,0.09,0.11,0.09,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.11,0.11,0.06,0.06,0.13,0.06,0.07,0.12,0.21,0.14,0.1,0.11,0.12,0.1,0.1,0.11,0.09,0.07,0.08,0.1,0.12,0.06,0.23,0.1,0.08,0.08,0.24,0.11,0.06,0.06,0.26,- ,0.18,0.01,0.13,0.12,0.11,0.24,0.11,0.06,0.12,0.05,0.17,0.07,0.05
Tend to agree,8499,4094,4405,1065,2150,2191,3093,1065,1374,1472,1495,1254,1162,677,21,916,936,2419,2410,2733,1069,3475,3008,779,655,1159,1264,1711,420,426,2084,779,4615,1041,1700,525,532,2315,442,2783,2873,1547,2959.0,1647.0,2345,344,1889,6143,1594,1129,4583,836,109,5704,2794,2448,3694,2352,6519,870,993,3251,314,4833,102,948,3355,2546,1650,1099,4525,1365,1509,8499,0,7927,534,2481,3245,1557,1009,4836,2637,7796,671,4596,3225,616
Tend to agree,0.3,0.3,0.3,0.29,0.33,0.31,0.28,0.29,0.33,0.32,0.31,0.31,0.28,0.26,0.25,0.26,0.26,0.3,0.32,0.31,0.23,0.29,0.35,0.32,0.3,0.38,0.37,0.28,0.28,0.24,0.27,0.32,0.33,0.31,0.29,0.28,0.22,0.27,0.26,0.32,0.33,0.28,0.31,0.32,0.3,0.16,0.28,0.33,0.23,0.28,0.35,0.33,0.49,0.3,0.3,0.3,0.29,0.32,0.32,0.32,0.24,0.32,0.23,0.31,0.17,0.28,0.34,0.34,0.23,0.28,0.37,0.28,0.21,0.74,- ,0.51,0.05,0.33,0.33,0.32,0.3,0.37,0.24,0.33,0.16,0.41,0.28,0.13
Tend to disagree,8286,4145,4140,972,1949,2191,3174,972,1192,1444,1504,1298,1211,665,19,939,958,2485,2358,2485,1331,3636,2555,619,717,931,1041,2017,428,399,2135,619,4349,955,1720,523,656,2457,442,2555,2749,1655,2773.0,1515.0,2342,594,2061,5473,2186,1335,3697,732,47,5757,2529,2421,3714,2140,6074,816,1218,3005,352,4799,129,865,3138,2391,1892,1018,3754,1613,1900,0,8286,3269,4951,2237,3082,1342,818,4149,3298,7005,1218,2713,3911,1537
Tend to disagree,0.3,0.31,0.29,0.27,0.3,0.31,0.29,0.27,0.29,0.31,0.32,0.32,0.29,0.25,0.23,0.26,0.26,0.31,0.31,0.29,0.28,0.31,0.3,0.25,0.33,0.3,0.31,0.34,0.28,0.22,0.28,0.25,0.31,0.29,0.29,0.28,0.28,0.29,0.26,0.3,0.31,0.29,0.29,0.29,0.3,0.28,0.3,0.3,0.31,0.33,0.29,0.29,0.21,0.31,0.27,0.29,0.3,0.29,0.3,0.3,0.3,0.3,0.25,0.3,0.21,0.26,0.31,0.31,0.27,0.26,0.31,0.33,0.27,- ,0.56,0.21,0.44,0.3,0.31,0.28,0.24,0.31,0.29,0.3,0.29,0.24,0.34,0.32
Totally disagree,6419,3113,3306,784,1388,1597,2650,784,915,1019,1051,920,1062,668,17,926,943,1888,1689,1899,1473,2940,1434,439,496,418,630,1410,386,651,1990,439,2857,839,1407,592,670,2188,481,1887,1810,1437,2144.0,1128.0,1710,919,2039,3238,2156,1065,2501,363,24,4265,2154,1830,2998,1588,4297,658,1169,2394,379,3371,275,667,2022,1565,2165,740,2084,1267,2329,0,6419,1049,5339,1545,1862,1167,639,2243,3517,4545,1780,1305,2578,2261
Totally disagree,0.23,0.23,0.23,0.21,0.22,0.23,0.24,0.21,0.22,0.22,0.22,0.22,0.26,0.25,0.2,0.26,0.26,0.23,0.23,0.22,0.31,0.25,0.17,0.18,0.23,0.14,0.19,0.23,0.25,0.37,0.26,0.18,0.2,0.25,0.24,0.31,0.28,0.26,0.29,0.22,0.2,0.26,0.23,0.22,0.22,0.43,0.3,0.18,0.31,0.27,0.19,0.14,0.11,0.23,0.23,0.22,0.24,0.22,0.21,0.24,0.28,0.23,0.27,0.21,0.46,0.2,0.2,0.21,0.3,0.19,0.17,0.26,0.33,- ,0.44,0.07,0.48,0.2,0.19,0.24,0.19,0.17,0.31,0.19,0.42,0.12,0.23,0.46
