Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY),Please tell me to what extent you agree or disagree with each of the following statements. My voice counts in (OUR COUNTRY)
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Totally agree,4941,2450,2491,653,670,728,927,707,769,487,634,1734,1995,494,389,799,561,864,193,228,1413,494,2651,519,1039,306,369,1416,298,1586,1583,979,1765.0,841.0,1357,178,644,4005,791,518,2578,843,71,3272,1669,1677,2041,1223,3970,390,515,1491,215,3194,41,1111,1695,1172,964,1324,2247,660,709,4181,666,4941,0,1575,1915,946,1142,2535,1260,4596,340,2773,1582,552
Totally agree,0.18,0.18,0.17,0.18,0.17,0.16,0.19,0.17,0.19,0.18,0.14,0.15,0.23,0.2,0.18,0.26,0.17,0.14,0.13,0.13,0.18,0.2,0.19,0.16,0.18,0.16,0.16,0.17,0.18,0.18,0.18,0.17,0.19,0.16,0.17,0.08,0.1,0.22,0.11,0.13,0.2,0.33,0.32,0.18,0.18,0.2,0.16,0.17,0.19,0.14,0.13,0.15,0.15,0.2,0.07,0.33,0.17,0.15,0.13,0.34,0.19,0.13,0.1,0.36,0.05,0.32,0,0.21,0.19,0.2,0.34,0.19,0.11,0.19,0.08,0.25,0.14,0.11
Tend to agree,10701,5165,5536,1302,1647,1874,1832,1572,1511,963,1383,4575,3633,923,780,1376,1470,2256,477,560,2859,923,5647,1279,2218,695,774,3141,546,3448,3478,2134,3658.0,2059.0,2850,511,2309,7703,2376,1446,5467,972,97,7155,3547,2999,4735,2963,8137,1058,1322,3869,446,6263,124,1122,4099,3142,2338,1275,5316,1950,2161,6606,3652,10701,0,2948,4082,2047,1118,5741,3816,9680,971,4867,4437,1284
Tend to agree,0.38,0.38,0.38,0.36,0.4,0.41,0.38,0.38,0.36,0.37,0.29,0.39,0.43,0.38,0.36,0.45,0.44,0.38,0.31,0.32,0.37,0.38,0.4,0.38,0.37,0.37,0.33,0.37,0.33,0.4,0.39,0.38,0.38,0.4,0.37,0.24,0.34,0.42,0.34,0.36,0.42,0.39,0.44,0.38,0.38,0.37,0.38,0.41,0.4,0.39,0.32,0.38,0.32,0.4,0.21,0.34,0.41,0.42,0.33,0.33,0.44,0.4,0.3,0.58,0.25,0.68,0,0.39,0.42,0.43,0.33,0.43,0.34,0.41,0.23,0.44,0.39,0.27
Tend to disagree,6352,3112,3240,707,910,1059,1143,1069,944,520,1177,2896,1724,428,595,529,818,1598,415,333,1635,428,3337,716,1260,420,555,1864,372,1953,2100,1222,2134.0,1167.0,1829,548,1842,3846,1796,1089,2777,433,18,4484,1868,1879,2856,1606,4450,694,1042,2412,305,3487,147,607,2368,1815,1562,730,2791,1226,1606,519,5657,0,6352,1679,2298,965,653,3029,2648,5078,1210,2048,2879,1312
Tend to disagree,0.23,0.23,0.23,0.19,0.22,0.23,0.24,0.26,0.23,0.2,0.25,0.24,0.2,0.18,0.27,0.17,0.24,0.27,0.27,0.19,0.21,0.18,0.23,0.22,0.21,0.22,0.23,0.22,0.22,0.22,0.24,0.22,0.22,0.23,0.24,0.26,0.27,0.21,0.26,0.27,0.21,0.17,0.08,0.24,0.2,0.23,0.23,0.22,0.22,0.26,0.25,0.24,0.22,0.22,0.24,0.18,0.24,0.24,0.22,0.19,0.23,0.25,0.23,0.05,0.38,0,0.57,0.22,0.23,0.2,0.19,0.23,0.24,0.22,0.29,0.18,0.25,0.27
Totally disagree,4800,2325,2475,635,707,766,792,662,764,474,1198,2155,974,352,386,295,446,1034,320,551,1417,352,2076,676,1071,423,502,1639,357,1353,1399,1038,1581.0,879.0,1303,796,1674,2141,1641,836,1815,226,22,3131,1670,1300,2305,1192,3118,477,955,1898,303,2361,238,453,1443,1186,1718,501,1514,860,1926,98,4633,0,4800,1165,1246,722,410,1637,2736,3196,1531,1016,1956,1563
