"When you hold a strong opinion, do you ever find yourself persuading your friends, relatives or fellow workers to share your views? Does this happen...?",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Often,2224,1182,1042,378,597,622,627,378,370,452,397,261,268,98,9,157,165,537,688,834,229,821,858,277,288,306,242,401,129,177,404,277,996,346,581,145,116,690,152,579,764,382,662.0,435.0,746,237,481,1444,498,255,997,338,43,1462,762,597,962,659,1872,129,202,820,41,1335,28,1548,675,0,0,748,800,305,371,936,1194,1272,871,717,592,523,647,912,652,1872,341,1066,644,458
Often,0.08,0.09,0.07,0.1,0.09,0.09,0.06,0.1,0.09,0.1,0.08,0.06,0.06,0.04,0.1,0.04,0.05,0.07,0.09,0.1,0.05,0.07,0.1,0.11,0.13,0.1,0.07,0.07,0.08,0.1,0.05,0.11,0.07,0.1,0.1,0.08,0.05,0.08,0.09,0.07,0.09,0.07,0.07,0.08,0.1,0.11,0.07,0.08,0.07,0.06,0.07,0.13,0.19,0.08,0.08,0.07,0.08,0.09,0.09,0.05,0.05,0.08,0.03,0.08,0.05,0.46,0.07,- ,- ,0.19,0.06,0.06,0.05,0.08,0.08,0.08,0.08,0.09,0.06,0.11,0.19,0.07,0.06,0.08,0.08,0.1,0.06,0.1
From time to time,10236,5268,4967,1508,2662,2766,3299,1508,1723,1820,1886,1472,1255,572,10,835,845,2799,2993,3598,1126,4142,3753,1030,940,1482,1459,2146,441,582,2157,1030,5242,1377,2332,617,525,2915,558,3128,3491,1725,3330.0,2041.0,3139,680,2674,6656,1859,1386,5327,1230,104,6945,3291,2620,4719,2891,8409,900,841,3705,263,6148,120,1795,8441,0,0,1795,5327,1694,1420,4647,5106,6185,3714,3218,3672,1757,1549,5895,2762,9001,1187,4660,3952,1519
From time to time,0.37,0.39,0.34,0.42,0.41,0.39,0.3,0.42,0.42,0.39,0.39,0.36,0.3,0.22,0.12,0.24,0.23,0.34,0.4,0.41,0.24,0.35,0.44,0.42,0.43,0.48,0.43,0.36,0.29,0.33,0.28,0.42,0.37,0.41,0.39,0.33,0.22,0.34,0.33,0.36,0.39,0.31,0.35,0.4,0.4,0.32,0.39,0.36,0.26,0.35,0.41,0.49,0.47,0.37,0.35,0.32,0.38,0.4,0.41,0.33,0.2,0.37,0.19,0.39,0.2,0.54,0.84,- ,- ,0.46,0.44,0.35,0.2,0.41,0.35,0.4,0.33,0.43,0.37,0.37,0.46,0.44,0.25,0.38,0.28,0.42,0.35,0.31
Rarely,7989,3841,4148,852,1752,2057,3329,852,1058,1346,1404,1299,1265,765,19,1041,1059,2514,2220,2196,1317,3591,2328,582,576,784,1039,1802,439,409,2359,582,4381,842,1505,512,669,2261,426,2651,2572,1567,2906.0,1385.0,2131,517,1963,5324,2032,1260,3732,641,40,5485,2504,2405,3566,2010,5642,869,1252,2986,367,4468,169,0,865,7124,0,865,3887,1601,1636,3419,4109,4595,3130,2098,2894,1361,753,4179,3025,6644,1274,3111,3419,1325
Rarely,0.28,0.28,0.29,0.23,0.27,0.29,0.31,0.23,0.26,0.29,0.29,0.31,0.31,0.29,0.23,0.29,0.29,0.31,0.29,0.25,0.28,0.31,0.27,0.24,0.27,0.26,0.31,0.3,0.29,0.23,0.31,0.24,0.31,0.25,0.25,0.27,0.28,0.27,0.26,0.31,0.29,0.28,0.31,0.27,0.27,0.24,0.29,0.29,0.29,0.31,0.29,0.25,0.18,0.29,0.27,0.3,0.28,0.27,0.28,0.32,0.3,0.29,0.26,0.28,0.28,- ,0.09,0.94,- ,0.22,0.32,0.33,0.23,0.3,0.28,0.29,0.28,0.28,0.3,0.28,0.22,0.32,0.27,0.28,0.3,0.28,0.3,0.27
Never,7279,3103,4176,848,1406,1533,3492,848,917,951,1072,1061,1289,1143,44,1454,1498,2203,1577,2002,1966,3107,1521,503,373,455,623,1589,516,595,2626,503,3446,715,1475,597,1009,2562,519,2193,1968,1865,2492.0,1241.0,1681,668,1604,4809,2593,1066,2854,316,32,4657,2622,2484,3127,1658,4377,775,1761,2552,692,3760,275,0,0,451,6829,451,2039,1231,3559,2377,4157,3496,3308,1430,2587,1134,404,2177,4659,5798,1382,2175,3254,1507
Never,0.26,0.23,0.29,0.23,0.22,0.22,0.32,0.23,0.22,0.21,0.23,0.26,0.31,0.43,0.52,0.41,0.41,0.27,0.21,0.23,0.42,0.26,0.18,0.21,0.17,0.15,0.18,0.26,0.34,0.34,0.34,0.21,0.24,0.22,0.25,0.32,0.43,0.3,0.31,0.25,0.22,0.33,0.26,0.24,0.22,0.32,0.24,0.26,0.37,0.27,0.22,0.13,0.15,0.25,0.28,0.3,0.25,0.23,0.21,0.29,0.43,0.25,0.49,0.24,0.46,- ,- ,0.06,0.96,0.12,0.17,0.25,0.5,0.21,0.28,0.22,0.3,0.19,0.26,0.24,0.12,0.16,0.41,0.25,0.33,0.19,0.28,0.31
