"In general, does the EU conjure up for you a very positive, fairly positive, neutral, fairly negative or very negative image?",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Very positive,1329,757,572,262,339,362,366,262,203,277,221,143,144,80,1,105,105,313,390,521,108,403,601,202,150,265,134,226,46,67,239,202,672,162,365,56,62,433,50,419,415,171,431.0,272.0,456,47,205,1032,214,149,600,268,27,875,454,357,555,415,1156,87,75,498,31,795,6,353,447,280,250,374,576,116,263,921,337,974,310,423,472,229,353,626,346,1240,88,1329,0,0
Very positive,0.05,0.06,0.04,0.07,0.05,0.05,0.03,0.07,0.05,0.06,0.05,0.03,0.04,0.03,0.01,0.03,0.03,0.04,0.05,0.06,0.02,0.03,0.07,0.08,0.07,0.09,0.04,0.04,0.03,0.04,0.03,0.08,0.05,0.05,0.06,0.03,0.03,0.05,0.03,0.05,0.05,0.03,0.05,0.05,0.06,0.02,0.03,0.06,0.03,0.04,0.05,0.11,0.12,0.05,0.05,0.04,0.05,0.06,0.06,0.03,0.02,0.05,0.02,0.05,0.01,0.1,0.05,0.03,0.03,0.1,0.05,0.02,0.04,0.08,0.02,0.06,0.03,0.06,0.05,0.05,0.1,0.05,0.03,0.05,0.02,0.12,- ,- 
Fairly positive,9776,4905,4872,1370,2382,2487,3536,1370,1489,1644,1736,1394,1336,807,23,1085,1108,2743,2703,3222,1259,3718,3584,1076,826,1314,1318,1878,457,468,2440,1076,5141,1130,2116,613,647,2861,515,3018,3253,1766,3198.0,1926.0,2886,495,2021,7056,1904,1238,5004,1167,99,6688,3088,2727,4299,2746,7627,833,1160,3608,322,5749,98,1454,3942,2559,1822,1713,4840,1455,1768,5541,3680,6666,2754,3096,3478,1603,1537,5265,2952,8859,880,9776,0,0
Fairly positive,0.35,0.36,0.34,0.38,0.37,0.35,0.33,0.38,0.36,0.36,0.36,0.34,0.32,0.31,0.27,0.3,0.3,0.34,0.36,0.37,0.27,0.32,0.42,0.44,0.38,0.43,0.39,0.31,0.3,0.26,0.32,0.44,0.36,0.34,0.36,0.32,0.27,0.34,0.31,0.35,0.37,0.31,0.34,0.37,0.37,0.24,0.3,0.38,0.27,0.31,0.38,0.46,0.45,0.36,0.33,0.33,0.34,0.38,0.37,0.31,0.28,0.35,0.23,0.36,0.16,0.43,0.4,0.34,0.26,0.44,0.4,0.3,0.25,0.48,0.25,0.43,0.25,0.41,0.35,0.33,0.46,0.4,0.26,0.38,0.21,0.88,- ,- 
Neutral,11374,5198,6176,1535,2683,2850,4306,1535,1711,1891,1932,1615,1659,1032,27,1435,1462,3199,3069,3645,1995,5188,3004,895,783,989,1397,2806,688,750,3066,895,5750,1393,2380,707,1021,3440,667,3480,3664,2333,3835.0,2029.0,3176,850,3048,7201,3188,1686,5304,739,57,7471,3903,3408,5177,2782,8101,1181,1790,4256,617,6212,290,897,3927,3341,3209,1003,4805,2156,3410,4032,6489,6019,4836,2670,4262,1775,811,5253,5246,9499,1779,0,11374,0
Neutral,0.41,0.38,0.43,0.42,0.42,0.41,0.4,0.42,0.42,0.41,0.4,0.39,0.4,0.39,0.32,0.4,0.4,0.39,0.41,0.42,0.42,0.44,0.36,0.37,0.36,0.32,0.41,0.47,0.45,0.42,0.4,0.37,0.41,0.42,0.4,0.38,0.43,0.4,0.4,0.4,0.41,0.41,0.4,0.4,0.41,0.4,0.45,0.39,0.45,0.42,0.41,0.29,0.26,0.4,0.42,0.42,0.41,0.38,0.4,0.44,0.43,0.42,0.44,0.39,0.49,0.27,0.39,0.44,0.45,0.26,0.39,0.44,0.48,0.35,0.44,0.38,0.43,0.35,0.43,0.37,0.24,0.39,0.47,0.4,0.42,- ,1,- 
Fairly negative,3694,1790,1904,292,704,975,1723,292,471,540,668,655,659,408,20,532,552,1287,996,859,754,1752,959,168,304,356,409,725,180,316,1235,168,1850,429,719,351,331,1108,293,1196,1083,822,1377.0,662.0,833,428,984,2189,1049,636,1579,258,25,2484,1210,1172,1615,904,2534,420,608,1178,202,2202,112,426,1214,1042,1012,552,1460,813,869,747,2792,1539,2044,968,1234,806,467,1607,1605,2743,912,0,0,3694
Fairly negative,0.13,0.13,0.13,0.08,0.11,0.14,0.16,0.08,0.12,0.12,0.14,0.16,0.16,0.16,0.24,0.15,0.15,0.16,0.13,0.1,0.16,0.15,0.11,0.07,0.14,0.12,0.12,0.12,0.12,0.18,0.16,0.07,0.13,0.13,0.12,0.19,0.14,0.13,0.17,0.14,0.12,0.15,0.14,0.13,0.11,0.2,0.15,0.12,0.15,0.16,0.12,0.1,0.11,0.13,0.13,0.14,0.13,0.12,0.12,0.15,0.15,0.12,0.15,0.14,0.19,0.13,0.12,0.14,0.14,0.14,0.12,0.17,0.12,0.07,0.19,0.1,0.18,0.13,0.13,0.17,0.14,0.12,0.14,0.12,0.21,- ,- ,0.76
