"In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?","In your opinion, in five years' time, do you think that your life conditions will be better, worse, or the same than today?"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Better,9312,4708,4604,2302,2276,1937,1407,767,445,179,779,3685,3167,1536,814,1179,1354,2218,469,932,812,1536,3798,1530,3088,540,238,3154,712,2166,3162,1320,2466.0,2138.0,3387,659,2298,6174,2163,1372,4418,887,107,5514,3798,2479,4031,2797,8287,475,494,4085,126,5006,95,1287,3828,2288,1910,1285,3942,1655,2431,4214,4514,5628,3295,2591,3329,1605,1080,4447,3751,8289,997,4485,3494,1191
Better,0.33,0.35,0.32,0.63,0.55,0.42,0.29,0.19,0.11,0.07,0.17,0.31,0.37,0.63,0.37,0.39,0.4,0.37,0.31,0.52,0.11,0.63,0.27,0.46,0.52,0.29,0.1,0.37,0.43,0.25,0.36,0.23,0.26,0.41,0.44,0.31,0.34,0.33,0.31,0.34,0.34,0.35,0.49,0.29,0.41,0.3,0.32,0.39,0.41,0.18,0.12,0.4,0.09,0.31,0.16,0.39,0.38,0.3,0.27,0.33,0.33,0.34,0.34,0.37,0.31,0.36,0.29,0.35,0.34,0.33,0.32,0.34,0.33,0.35,0.24,0.4,0.31,0.25
Worse,4490,2130,2360,301,408,543,725,921,939,653,1064,2015,1102,174,296,351,447,875,250,295,1800,174,2285,490,664,414,620,1426,272,1555,1220,1194,1698.0,650.0,947,726,1485,2195,1369,853,1845,265,12,3043,1447,1292,2007,1189,2678,574,1025,1457,361,2485,187,546,1458,1310,1176,662,1821,856,1151,1307,2988,1810,2540,1352,1446,714,596,1996,1885,3003,1444,1147,1876,1373
Worse,0.16,0.16,0.16,0.08,0.1,0.12,0.15,0.22,0.23,0.25,0.23,0.17,0.13,0.07,0.14,0.11,0.13,0.15,0.16,0.17,0.23,0.07,0.16,0.15,0.11,0.22,0.26,0.17,0.16,0.18,0.14,0.21,0.18,0.13,0.12,0.34,0.22,0.12,0.19,0.21,0.14,0.11,0.05,0.16,0.15,0.16,0.16,0.16,0.13,0.21,0.25,0.14,0.26,0.16,0.31,0.16,0.15,0.17,0.16,0.17,0.15,0.18,0.16,0.11,0.2,0.12,0.23,0.18,0.15,0.15,0.18,0.15,0.17,0.13,0.34,0.1,0.17,0.28
The same/ no change,12001,5597,6403,838,1175,1781,2273,2108,2406,1420,2271,5162,3728,598,948,1348,1383,2415,644,391,4273,598,6946,1127,1806,793,1227,3277,549,4302,3771,2620,4586.0,1957.0,2837,559,2426,8793,2778,1561,5947,1267,94,8714,3286,3748,5396,2845,8193,1392,2109,3795,729,7259,218,1346,4085,3389,3181,1686,5511,2012,2792,5257,6024,7214,4355,3163,4430,2198,1488,5878,4586,10605,1306,4736,5169,1874
The same/ no change,0.43,0.41,0.44,0.23,0.29,0.39,0.48,0.51,0.58,0.54,0.48,0.44,0.44,0.25,0.43,0.44,0.41,0.4,0.42,0.22,0.56,0.25,0.49,0.34,0.3,0.42,0.52,0.38,0.33,0.5,0.42,0.47,0.48,0.38,0.36,0.26,0.36,0.48,0.39,0.39,0.46,0.5,0.42,0.47,0.35,0.46,0.43,0.39,0.4,0.51,0.51,0.37,0.52,0.46,0.37,0.4,0.41,0.45,0.45,0.44,0.45,0.41,0.39,0.46,0.41,0.46,0.39,0.42,0.45,0.46,0.44,0.44,0.41,0.45,0.31,0.43,0.45,0.39
DK,2228,1088,1140,200,249,338,389,322,352,379,580,926,521,127,126,178,195,497,165,153,787,127,1147,185,390,135,287,671,141,628,704,494,740.0,399.0,595,181,553,1242,740,224,811,110,8,1420,808,690,1069,458,1305,263,504,848,183,1099,98,164,612,588,865,243,879,361,745,666,1178,991,962,405,624,282,207,948,1036,1645,485,738,835,410
