How old were you when you stopped full-time education?,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
 15-,4694,2039,2655,112,286,667,3629,112,144,311,497,834,1486,1309,51,1734,1784,1943,641,326,4694,0,0,0,166,45,81,781,500,299,2822,0,2636,216,460,292,1056,1516,292,1842,1010,1400,2084,520,691,590,1231,2764,2178,816,1428,75,4,3308,1386,1725,2056,900,1524,614,2101,1214,787,2419,275,275,1196,1247,1977,394,1635,840,1825,1426,2804,2017,2375,1056,1649,735,317,1716,2635,3433,1200,1367,1995,1065
 15-,0.17,0.15,0.18,0.03,0.05,0.1,0.33,0.03,0.03,0.07,0.1,0.2,0.36,0.5,0.6,0.49,0.49,0.24,0.09,0.04,1,- ,- ,- ,0.08,0.02,0.02,0.13,0.33,0.17,0.37,- ,0.19,0.07,0.08,0.16,0.45,0.18,0.17,0.21,0.12,0.25,0.22,0.1,0.09,0.28,0.18,0.15,0.31,0.2,0.11,0.03,0.02,0.18,0.15,0.21,0.17,0.12,0.08,0.23,0.51,0.12,0.56,0.15,0.46,0.08,0.12,0.17,0.28,0.1,0.14,0.17,0.26,0.12,0.19,0.13,0.21,0.14,0.17,0.15,0.09,0.13,0.23,0.15,0.28,0.12,0.18,0.22
 16-19,11788,5687,6101,967,2905,3545,4371,967,1798,2159,2493,2036,1605,730,24,1017,1041,3805,3732,3210,0,11788,0,0,954,708,1755,3736,697,976,2963,0,6388,1470,2056,977,812,3074,772,3711,4147,2265,4099,2157,3266,996,3393,7105,3452,1930,5472,481,22,7745,4043,3608,5399,2767,8603,1501,1500,4545,378,6665,201,1105,4158,3476,3049,1278,5298,2082,3130,4498,6576,6309,5051,2723,4361,2127,1110,5657,4971,9713,1982,4121,5188,2235
 16-19,0.42,0.42,0.42,0.27,0.45,0.5,0.4,0.27,0.44,0.47,0.52,0.5,0.39,0.28,0.29,0.28,0.29,0.47,0.5,0.37,- ,1,- ,- ,0.44,0.23,0.52,0.62,0.46,0.55,0.39,- ,0.45,0.44,0.35,0.52,0.34,0.36,0.46,0.43,0.47,0.4,0.43,0.42,0.42,0.47,0.5,0.39,0.49,0.48,0.42,0.19,0.1,0.41,0.43,0.44,0.43,0.38,0.42,0.56,0.36,0.45,0.27,0.42,0.34,0.33,0.42,0.46,0.43,0.33,0.44,0.43,0.44,0.39,0.45,0.4,0.45,0.36,0.44,0.45,0.33,0.43,0.44,0.41,0.47,0.37,0.46,0.46
 20+,8518,4276,4241,328,2931,2705,2554,328,1878,2013,1744,1176,948,430,4,630,634,2214,3037,2632,0,0,8518,0,1029,2268,1473,1342,296,446,1664,0,4783,1271,1476,562,373,1934,477,2587,3467,1525,2798,1772,2422,364,1479,6571,945,939,4586,1630,176,6068,2450,2145,3707,2663,7646,515,314,3161,108,5205,44,1612,3358,2141,1406,1816,4103,1398,1201,4203,3989,5628,2698,2835,2959,1580,1600,4586,2306,7737,728,4185,3004,1236
 20+,0.3,0.32,0.29,0.09,0.45,0.39,0.24,0.09,0.46,0.44,0.37,0.29,0.23,0.16,0.05,0.18,0.17,0.27,0.4,0.3,- ,- ,1,- ,0.47,0.74,0.44,0.22,0.19,0.25,0.22,- ,0.34,0.38,0.25,0.3,0.16,0.23,0.29,0.3,0.39,0.27,0.3,0.35,0.31,0.17,0.22,0.36,0.13,0.23,0.35,0.65,0.79,0.32,0.26,0.26,0.3,0.37,0.37,0.19,0.08,0.31,0.08,0.33,0.07,0.48,0.34,0.28,0.2,0.47,0.34,0.29,0.17,0.37,0.27,0.36,0.24,0.38,0.3,0.33,0.48,0.35,0.21,0.33,0.17,0.38,0.26,0.25
Toujours étudiant(e),2435,1272,1163,2167,253,11,4,2167,227,32,5,3,1,0,0,1,1,5,19,2410,0,0,0,2435,0,0,0,0,0,0,0,2435,100,317,1851,31,6,1786,102,322,95,249,307,614,1265,101,424,1710,279,228,1315,312,18,1213,1222,562,1081,792,2413,15,6,971,23,1429,13,301,1078,550,507,324,901,482,728,1086,1057,1417,780,758,729,242,301,1068,1046,2268,151,1277,895,219
Still Studying,0.09,0.09,0.08,0.59,0.04,- ,- ,0.59,0.06,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.28,- ,- ,- ,1,- ,- ,- ,- ,- ,- ,- ,1,0.01,0.1,0.31,0.02,- ,0.21,0.06,0.04,0.01,0.05,0.03,0.12,0.16,0.05,0.06,0.09,0.04,0.06,0.1,0.12,0.08,0.07,0.13,0.07,0.09,0.11,0.12,0.01,- ,0.09,0.02,0.09,0.02,0.09,0.11,0.07,0.07,0.09,0.07,0.1,0.1,0.1,0.07,0.09,0.07,0.1,0.07,0.05,0.09,0.08,0.09,0.1,0.04,0.12,0.08,0.05
Pas fait d'études,152,57,95,2,16,14,121,2,6,17,8,17,35,69,2,79,81,42,19,10,0,0,0,0,3,0,7,25,16,10,92,0,59,9,17,9,54,70,11,43,26,71,45,10,26,19,56,76,80,33,30,1,0,111,41,72,52,29,39,10,86,55,36,43,19,11,36,46,60,12,48,16,76,65,63,70,62,41,46,14,12,46,93,100,50,28,100,9
No full-time education,0.01,0.01,0.01,- ,- ,- ,0.01,- ,- ,- ,- ,- ,0.01,0.03,0.03,0.02,0.02,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.01,0.01,0.01,- ,- ,- ,- ,- ,0.02,0.01,0.01,0.01,- ,0.01,0.01,- ,0.01,0.01,0.01,- ,0.01,0.01,- ,- ,- ,0.01,- ,0.01,- ,- ,- ,- ,0.02,0.01,0.02,- ,0.03,0.01,- ,0.01,0.01,- ,- ,- ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,- ,- ,- ,0.01,- ,0.01,- ,0.01,- 
Refus,71,27,44,2,15,16,39,2,13,6,11,12,13,14,0,15,15,24,16,16,0,0,0,0,3,4,6,26,8,5,19,0,24,13,11,2,13,17,8,20,17,21,28,13,9,12,18,24,14,22,26,0,0,29,42,19,31,18,36,13,7,45,4,10,13,1,15,16,39,0,16,21,34,18,35,16,35,13,10,8,0,19,46,42,18,21,28,8
Refusal,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- ,- ,- ,- ,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.02,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- ,- ,- 
NSP,372,165,207,62,65,74,172,62,40,60,38,40,54,78,3,91,93,87,70,122,0,0,0,0,29,32,59,94,11,35,112,0,184,37,77,9,58,131,13,127,95,98,130,57,86,43,161,155,102,43,165,32,1,217,155,76,176,120,202,35,118,194,65,79,34,39,141,100,93,51,151,44,126,149,181,186,152,84,74,93,31,177,162,248,103,107,164,76
DK,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.03,0.01,0.01,0.01,- ,- ,- ,- ,0.01,0.01,0.02,0.02,0.01,0.02,0.01,- ,0.01,0.01,0.01,- ,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.03,0.02,0.05,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02
