Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE),Are you a member of any of the following clubs where you participate in sport or recreational physical activity? (MULTIPLE ANSWERS POSSIBLE)
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
Health or fitness centre,2984,1427,1557,668,674,569,441,319,221,91,158,966,1326,496,302,550,486,565,89,122,375,496,1289,459,1000,119,76,1010,185,832,916,490,874.0,632.0,989,116,523,2304,411,353,1610,445,43,2007,978,689,1283,1013,2781,140,60,1067,22,1875,20,530,1273,762,419,587,1341,543,514,1478,1353,1971,931,930,1036,607,516,1560,900,2781,193,1446,1115,389,292,2686
Health or fitness centre,0.11,0.11,0.11,0.18,0.16,0.12,0.09,0.08,0.05,0.03,0.03,0.08,0.16,0.2,0.14,0.18,0.14,0.09,0.06,0.07,0.05,0.2,0.09,0.14,0.17,0.06,0.03,0.12,0.11,0.1,0.1,0.09,0.09,0.12,0.13,0.05,0.08,0.13,0.06,0.09,0.12,0.18,0.2,0.11,0.1,0.08,0.1,0.14,0.14,0.05,0.01,0.1,0.02,0.12,0.03,0.16,0.13,0.1,0.06,0.15,0.11,0.11,0.07,0.13,0.09,0.13,0.08,0.12,0.11,0.13,0.15,0.12,0.08,0.12,0.05,0.13,0.1,0.08,0.18,0.1
Sport club ,3243,2111,1133,746,548,551,563,353,321,161,220,996,1420,563,344,580,418,588,50,128,573,563,1643,414,862,156,100,977,142,909,1147,478,994.0,565.0,1207,124,504,2517,363,358,1735,640,36,2244,999,1025,1449,769,2949,158,122,887,57,2280,19,608,1387,797,451,689,1462,590,504,1670,1427,2217,927,993,1275,569,586,1672,972,3047,187,1466,1267,483,867,2376
Sport club ,0.12,0.16,0.08,0.2,0.13,0.12,0.12,0.09,0.08,0.06,0.05,0.08,0.17,0.23,0.16,0.19,0.12,0.1,0.03,0.07,0.07,0.23,0.12,0.12,0.14,0.08,0.04,0.11,0.08,0.11,0.13,0.08,0.1,0.11,0.16,0.06,0.07,0.14,0.05,0.09,0.13,0.25,0.16,0.12,0.11,0.12,0.12,0.11,0.14,0.06,0.03,0.09,0.04,0.14,0.03,0.18,0.14,0.11,0.06,0.18,0.12,0.12,0.07,0.15,0.1,0.14,0.08,0.13,0.13,0.12,0.17,0.13,0.09,0.13,0.04,0.13,0.11,0.1,0.54,0.09
0,896,486,409,194,112,105,126,115,159,84,90,285,326,180,64,144,70,116,28,33,259,180,412,131,228,58,58,323,22,336,207,181,340.0,133.0,241,40,162,674,120,78,498,153,11,577,319,225,435,236,751,78,57,305,25,554,11,116,402,219,158,140,446,140,170,480,377,584,280,263,344,169,133,472,291,836,58,463,304,115,211,685
0,0.03,0.04,0.03,0.05,0.03,0.02,0.03,0.03,0.04,0.03,0.02,0.02,0.04,0.07,0.03,0.05,0.02,0.02,0.02,0.02,0.03,0.07,0.03,0.04,0.04,0.03,0.02,0.04,0.01,0.04,0.02,0.03,0.04,0.03,0.03,0.02,0.02,0.04,0.02,0.02,0.04,0.06,0.05,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.01,0.03,0.02,0.03,0.02,0.03,0.04,0.03,0.02,0.04,0.04,0.03,0.02,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.01,0.04,0.03,0.02,0.13,0.03
Other (SPONTANEOUS),1928,925,1004,164,225,290,355,369,338,188,379,795,585,104,157,186,221,399,152,127,583,104,1060,215,297,158,186,534,107,636,639,445,587.0,375.0,521,176,693,1044,449,362,902,157,7,1369,560,557,956,412,1139,334,384,842,90,899,96,202,649,574,504,218,863,392,455,623,1204,885,973,448,703,358,186,928,799,1491,420,701,858,308,83,1842
Other (SPONTANEOUS),0.07,0.07,0.07,0.05,0.05,0.06,0.07,0.09,0.08,0.07,0.08,0.07,0.07,0.04,0.07,0.06,0.07,0.07,0.1,0.07,0.08,0.04,0.07,0.06,0.05,0.08,0.08,0.06,0.06,0.07,0.07,0.08,0.06,0.07,0.07,0.08,0.1,0.06,0.06,0.09,0.07,0.06,0.03,0.07,0.06,0.07,0.08,0.06,0.06,0.12,0.09,0.08,0.06,0.06,0.16,0.06,0.07,0.08,0.07,0.06,0.07,0.08,0.06,0.05,0.08,0.06,0.09,0.06,0.07,0.07,0.06,0.07,0.07,0.06,0.1,0.06,0.08,0.06,0.05,0.07
"No, not a member of any club (SPONTANEOUS)",19249,8771,10479,1993,2606,3122,3342,2956,3123,2108,3824,8796,5014,1202,1337,1670,2207,4359,1215,1361,5898,1202,9872,2188,3667,1390,1938,5775,1219,6028,6033,4034,6804.0,3495.0,4916,1666,4880,12140,5712,2883,8444,1204,134,12736,6514,5819,8488,4919,13192,1965,3464,7148,1188,10466,448,1986,6441,5274,5549,2342,8167,3286,5455,7419,10407,10263,8048,4960,6587,3196,2028,8785,8348,15678,3361,7191,7924,3573,339,18891
"No, not a member of any club (SPONTANEOUS)",0.69,0.65,0.72,0.55,0.63,0.68,0.7,0.72,0.75,0.8,0.81,0.75,0.59,0.49,0.61,0.55,0.65,0.73,0.8,0.77,0.77,0.49,0.7,0.66,0.62,0.74,0.82,0.68,0.73,0.7,0.68,0.72,0.72,0.68,0.63,0.78,0.72,0.66,0.81,0.72,0.65,0.48,0.6,0.68,0.7,0.71,0.68,0.67,0.64,0.73,0.84,0.7,0.85,0.66,0.75,0.59,0.65,0.7,0.78,0.6,0.67,0.67,0.77,0.65,0.71,0.66,0.72,0.66,0.67,0.67,0.6,0.66,0.74,0.67,0.79,0.65,0.7,0.74,0.21,0.72
DK,323,175,148,51,42,46,44,81,28,30,46,121,102,20,38,51,35,65,7,22,85,20,145,20,99,23,28,123,27,89,76,100,85.0,62.0,75,14,79,216,66,37,160,30,8,170,153,78,129,110,213,51,54,147,24,145,6,24,112,83,103,29,175,36,83,112,175,167,133,95,106,37,34,183,97,268,48,108,143,55,10,302
