To what extent do you agree or disagree with the following statements about sport and physical activity?,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Exercise sport,Exercise sport,Exercise sport,Exercise sport,Physical activity,Physical activity,Physical activity,Physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Walked at least 10 min in a week,Walked at least 10 min in a week,Walked at least 10 min in a week,Time spent sitting on a usual day,Time spent sitting on a usual day,Time spent sitting on a usual day,Time spent sitting on a usual day,Voluntary work,Voluntary work
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Male 15-24,Male 25-39,Male 40-54,Male 55+,Female 15-24,Female 25-39,Female 40-54,Female 55+,Almost daily,A few times a week,Occasionally,Never,Almost daily,A few times a week,Occasionally,Never,Almost daily,A few times a week,Occasionally,Never,1-3 days,4-7 days,Never,2h30 or less,2h31 to 5h30,5h31 to 8h30,8h31 or more,Yes,No
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1875,3260,3520,4869,1766,3209,3511,6021,1990,9126,3945,12897,3840,8375,5782,9913,4918,10868,4196,8049,6417,17251,4178,4579,11326,8105,3275,1602,26389
Totally agree,8750,4456,4294,1189,1978,2417,3166,1189,1261,1462,1671,1270,1231,665,11,948,959,2549,2475,2768,1032,3334,3414,859,745,1322,1118,1656,351,473,2226,859,4462,1141,1871,624,554,2488,562,2726,2877,1673,3004.0,1610.0,2463,462,1490,6594,1579,1122,4356,1251,132,5923,2827,2548,4003,2196,7256,651,764,2692,257,5733,69,1410,3188,2131,2021,1725,3910,1427,1688,4389,3868,5927,2540,2619,3207,1547,1492,4345,2899,7925,792,3973,3284,1374,694,1021,1204,1538,496,957,1213,1628,832,3713,1115,3076,1774,3195,1554,2201,2171,4049,936,1594,1844,6039,838,1388,3593,2510,1134,779,7968
Totally agree,0.31,0.33,0.3,0.33,0.31,0.34,0.29,0.33,0.31,0.32,0.35,0.31,0.3,0.25,0.13,0.27,0.26,0.32,0.33,0.32,0.22,0.28,0.4,0.35,0.34,0.43,0.33,0.28,0.23,0.27,0.29,0.35,0.31,0.34,0.31,0.33,0.23,0.29,0.33,0.31,0.32,0.3,0.32,0.31,0.32,0.22,0.22,0.36,0.22,0.28,0.34,0.49,0.6,0.32,0.3,0.31,0.32,0.3,0.35,0.24,0.18,0.26,0.18,0.36,0.11,0.42,0.32,0.28,0.28,0.45,0.32,0.29,0.24,0.38,0.26,0.38,0.23,0.35,0.33,0.32,0.44,0.33,0.26,0.34,0.19,0.36,0.29,0.28,0.37,0.31,0.34,0.32,0.28,0.3,0.34,0.27,0.42,0.41,0.28,0.24,0.46,0.38,0.27,0.22,0.44,0.37,0.22,0.2,0.29,0.35,0.2,0.3,0.32,0.31,0.35,0.49,0.3
Tend to agree,12042,5780,6263,1626,2960,2977,4479,1626,1920,2031,1986,1726,1690,1063,34,1437,1470,3357,3258,3957,1937,5224,3580,1081,917,1233,1528,2790,643,740,3109,1081,6031,1464,2717,756,939,3791,621,3702,3793,2478,3987.0,2204.0,3374,791,3072,7879,3044,1706,5875,924,67,7838,4204,3125,5676,3233,8879,1223,1709,4441,594,6815,193,1238,4470,3442,2892,1414,5431,2084,3112,4921,6358,6732,4834,3165,4447,2018,1293,5855,4822,10424,1545,4770,5146,1941,827,1513,1441,1998,799,1447,1536,2481,787,3906,1909,5419,1387,3598,2790,4222,1849,4721,2066,3407,2917,7222,1809,1942,5046,3500,1262,587,11439
Tend to agree,0.43,0.43,0.43,0.45,0.46,0.42,0.41,0.45,0.47,0.44,0.41,0.42,0.41,0.4,0.4,0.4,0.41,0.41,0.43,0.45,0.41,0.44,0.42,0.44,0.42,0.4,0.45,0.46,0.42,0.42,0.41,0.44,0.43,0.44,0.46,0.4,0.4,0.44,0.37,0.43,0.43,0.44,0.42,0.43,0.43,0.37,0.45,0.43,0.43,0.42,0.45,0.37,0.3,0.42,0.45,0.38,0.45,0.44,0.43,0.45,0.41,0.44,0.42,0.43,0.32,0.37,0.45,0.45,0.4,0.36,0.45,0.43,0.44,0.43,0.43,0.43,0.43,0.42,0.45,0.42,0.38,0.44,0.43,0.44,0.37,0.43,0.45,0.4,0.44,0.47,0.41,0.41,0.45,0.45,0.44,0.41,0.4,0.43,0.48,0.42,0.36,0.43,0.48,0.43,0.38,0.44,0.49,0.42,0.45,0.42,0.43,0.42,0.44,0.43,0.39,0.36,0.43
Tend to disagree,3741,1842,1898,497,903,955,1385,497,524,668,667,597,504,284,6,402,409,1087,1085,1160,701,1753,905,316,347,323,459,844,231,284,937,316,1953,395,810,268,285,1150,212,1106,1242,673,1247.0,721.0,1099,404,1126,2112,1110,633,1606,235,9,2583,1157,1353,1427,956,2586,428,601,1576,143,1910,112,423,1360,1053,905,438,1598,735,970,1251,2305,1702,1914,961,1215,715,351,1742,1631,2863,823,1269,1586,775,236,429,529,649,261,474,426,736,220,1044,589,1868,329,1038,895,1466,467,1385,692,1197,961,2132,625,673,1422,1164,372,178,3554
Tend to disagree,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.15,0.14,0.15,0.12,0.11,0.07,0.11,0.11,0.13,0.14,0.13,0.15,0.15,0.11,0.13,0.16,0.11,0.14,0.14,0.15,0.16,0.12,0.13,0.14,0.12,0.14,0.14,0.12,0.14,0.13,0.13,0.14,0.12,0.13,0.14,0.14,0.19,0.17,0.11,0.16,0.16,0.12,0.09,0.04,0.14,0.13,0.16,0.11,0.13,0.13,0.16,0.15,0.15,0.1,0.12,0.19,0.13,0.14,0.14,0.13,0.11,0.13,0.15,0.13,0.11,0.16,0.11,0.17,0.13,0.12,0.15,0.11,0.13,0.14,0.12,0.19,0.11,0.14,0.16,0.13,0.13,0.15,0.13,0.15,0.15,0.12,0.12,0.11,0.11,0.15,0.14,0.09,0.13,0.16,0.15,0.1,0.13,0.17,0.15,0.15,0.12,0.15,0.15,0.13,0.14,0.11,0.11,0.14
Totally disagree,1694,769,925,170,417,410,697,170,272,292,264,258,289,149,8,216,224,531,429,510,419,799,327,91,126,101,191,408,144,155,478,91,897,192,293,107,181,454,127,493,596,263,557.0,339.0,535,243,570,848,622,309,626,70,7,1210,484,721,569,403,1036,204,357,776,92,720,106,185,534,423,552,182,614,347,552,459,1144,634,987,437,490,301,146,658,881,1116,559,554,695,375,76,200,206,288,95,218,204,409,102,312,180,1098,208,349,301,824,265,453,271,705,377,993,317,322,691,457,176,47,1646
Totally disagree,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.07,0.06,0.09,0.06,0.06,0.07,0.06,0.06,0.09,0.07,0.04,0.04,0.06,0.03,0.06,0.07,0.1,0.09,0.06,0.04,0.06,0.06,0.05,0.06,0.08,0.05,0.08,0.06,0.07,0.05,0.06,0.07,0.07,0.11,0.08,0.05,0.09,0.08,0.05,0.03,0.03,0.06,0.05,0.09,0.05,0.06,0.05,0.08,0.09,0.08,0.07,0.05,0.18,0.05,0.05,0.06,0.08,0.05,0.05,0.07,0.08,0.04,0.08,0.04,0.09,0.06,0.05,0.06,0.04,0.05,0.08,0.05,0.13,0.05,0.06,0.08,0.04,0.06,0.06,0.06,0.05,0.07,0.06,0.07,0.05,0.03,0.05,0.09,0.05,0.04,0.05,0.08,0.05,0.04,0.06,0.09,0.06,0.06,0.08,0.07,0.06,0.06,0.05,0.03,0.06
