To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities,To what extent do you agree or disagree with the following statements about sport and physical activity? Your local authority does not do enough for its citizens in relation to physical activities
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
Totally agree,2927,1488,1438,425,438,501,537,473,386,167,501,1274,821,267,264,327,358,640,166,233,672,267,1429,393,633,218,235,894,191,823,999,522,944.0,592.0,869,279,748,1821,789,420,1336,214,22,1932,994,882,1129,912,2207,269,385,1145,104,1604,73,406,1005,712,803,439,1253,419,815,1157,1597,1468,1338,857,989,517,391,1325,1194,2411,489,1210,1090,550,177,2745
Totally agree,0.1,0.11,0.1,0.12,0.11,0.11,0.11,0.12,0.09,0.06,0.11,0.11,0.1,0.11,0.12,0.11,0.11,0.11,0.11,0.13,0.09,0.11,0.1,0.12,0.11,0.12,0.1,0.11,0.11,0.09,0.11,0.09,0.1,0.11,0.11,0.13,0.11,0.1,0.11,0.1,0.1,0.08,0.1,0.1,0.11,0.11,0.09,0.13,0.11,0.1,0.09,0.11,0.07,0.1,0.12,0.12,0.1,0.09,0.11,0.11,0.1,0.09,0.12,0.1,0.11,0.09,0.12,0.11,0.1,0.11,0.12,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.1
Tend to agree,8057,3960,4097,1069,1237,1438,1380,1174,1088,670,1284,3544,2320,717,682,777,1147,1793,443,508,1990,717,4047,1041,1753,491,628,2465,407,2557,2532,1499,2714.0,1569.0,2274,649,2323,4907,2074,1267,3821,588,45,5387,2670,2485,3358,2215,5776,880,1193,3297,340,4201,219,810,2966,2310,1971,926,3685,1339,2108,3316,4298,4249,3490,2122,2713,1482,832,3930,3257,6732,1255,3248,3383,1298,453,7588
Tend to agree,0.29,0.29,0.28,0.29,0.3,0.31,0.29,0.29,0.26,0.26,0.27,0.3,0.27,0.29,0.31,0.25,0.34,0.3,0.29,0.29,0.26,0.29,0.29,0.31,0.3,0.26,0.26,0.29,0.24,0.3,0.29,0.27,0.29,0.31,0.29,0.31,0.34,0.27,0.3,0.32,0.29,0.23,0.2,0.29,0.28,0.3,0.27,0.3,0.28,0.33,0.29,0.32,0.24,0.27,0.37,0.24,0.3,0.31,0.28,0.24,0.31,0.27,0.3,0.29,0.29,0.27,0.31,0.28,0.28,0.31,0.25,0.3,0.29,0.29,0.3,0.29,0.3,0.27,0.28,0.29
Tend to disagree,8187,4091,4095,1090,1266,1316,1452,1254,1179,630,1228,3512,2622,718,677,865,996,1853,424,496,2157,718,4149,979,1799,595,561,2475,479,2495,2633,1670,2737.0,1481.0,2298,585,1896,5577,2030,1160,3980,723,66,5495,2692,2248,3905,2024,6283,796,975,2841,319,4914,113,1012,3169,2225,1781,1162,3618,1602,1804,3308,4445,4739,3232,2324,3108,1365,995,4004,3161,6966,1172,3174,3435,1468,488,7692
Tend to disagree,0.29,0.3,0.28,0.3,0.31,0.29,0.3,0.3,0.29,0.24,0.26,0.3,0.31,0.3,0.31,0.28,0.29,0.31,0.28,0.28,0.28,0.3,0.29,0.29,0.3,0.32,0.24,0.29,0.29,0.29,0.3,0.3,0.29,0.29,0.3,0.27,0.28,0.3,0.29,0.29,0.31,0.29,0.3,0.3,0.29,0.28,0.31,0.28,0.31,0.29,0.24,0.28,0.23,0.31,0.19,0.3,0.32,0.29,0.25,0.3,0.3,0.33,0.25,0.29,0.3,0.3,0.29,0.31,0.32,0.28,0.29,0.3,0.28,0.3,0.28,0.29,0.3,0.3,0.31,0.29
Totally disagree,5564,2621,2943,691,801,959,1027,745,845,497,802,2194,2022,482,396,841,656,1108,266,312,1504,482,3100,586,1097,327,408,1488,344,1727,1959,1021,1907.0,962.0,1675,300,985,4130,1076,732,2675,836,69,3800,1764,1748,2584,1232,4415,458,622,1604,236,3673,52,888,1958,1375,1344,1069,2469,928,1099,2790,2500,3817,1590,1494,2118,1028,914,2738,1897,4962,581,2394,2201,876,436,5127
Totally disagree,0.2,0.2,0.2,0.19,0.19,0.21,0.22,0.18,0.2,0.19,0.17,0.18,0.24,0.2,0.18,0.28,0.19,0.18,0.17,0.18,0.19,0.2,0.22,0.18,0.18,0.17,0.17,0.17,0.21,0.2,0.22,0.18,0.2,0.19,0.22,0.14,0.15,0.22,0.15,0.18,0.21,0.33,0.31,0.2,0.19,0.21,0.21,0.17,0.21,0.17,0.15,0.16,0.17,0.23,0.09,0.27,0.19,0.18,0.19,0.28,0.2,0.19,0.15,0.24,0.17,0.25,0.14,0.2,0.21,0.21,0.27,0.21,0.17,0.21,0.14,0.21,0.19,0.18,0.27,0.2
DK,3296,1363,1933,366,366,385,398,472,642,667,880,1265,733,251,165,246,222,611,230,222,1350,251,1451,333,667,251,540,1206,253,1049,734,918,1189.0,539.0,651,312,809,1970,1081,431,1210,169,19,2078,1219,846,1527,905,1782,301,958,1298,401,1457,140,227,882,954,1233,280,1127,596,1293,873,1865,1370,1502,713,900,406,240,1272,1750,2470,736,1079,1266,655,48,3238
DK,0.12,0.1,0.14,0.1,0.09,0.08,0.08,0.11,0.16,0.25,0.19,0.11,0.08,0.1,0.08,0.08,0.07,0.1,0.15,0.12,0.18,0.1,0.1,0.1,0.11,0.13,0.23,0.14,0.15,0.12,0.08,0.16,0.12,0.1,0.08,0.15,0.12,0.11,0.15,0.11,0.09,0.07,0.09,0.11,0.13,0.1,0.12,0.12,0.09,0.11,0.23,0.13,0.29,0.09,0.23,0.07,0.09,0.13,0.17,0.07,0.09,0.12,0.18,0.08,0.13,0.09,0.14,0.1,0.09,0.09,0.07,0.09,0.15,0.1,0.17,0.1,0.11,0.14,0.03,0.12
