Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?,Do you engage in voluntary work that supports sporting activities?
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
Yes ,1602,1071,531,272,229,302,317,221,185,77,116,559,703,201,195,322,193,277,41,64,310,201,871,185,358,89,66,439,73,417,639,220,475,277,630,66,271,1218,230,175,820,314,15,1202,400,600,691,311,1407,131,57,486,20,1082,14,323,667,384,228,373,718,279,232,807,742,1096,460,461,682,324,309,812,472,1510,91,686,663,242,1602,0
Yes ,0.06,0.08,0.04,0.08,0.06,0.07,0.07,0.05,0.05,0.03,0.03,0.05,0.08,0.08,0.09,0.11,0.06,0.05,0.03,0.04,0.04,0.08,0.06,0.06,0.06,0.05,0.03,0.05,0.04,0.05,0.07,0.04,0.05,0.06,0.08,0.03,0.04,0.07,0.03,0.04,0.06,0.12,0.07,0.06,0.04,0.07,0.06,0.04,0.07,0.05,0.01,0.05,0.01,0.07,0.02,0.1,0.07,0.05,0.03,0.1,0.06,0.06,0.03,0.07,0.05,0.07,0.04,0.06,0.07,0.07,0.09,0.06,0.04,0.06,0.02,0.06,0.06,0.05,1,0
No ,26389,12438,13950,3361,3872,4289,4474,3888,3951,2553,4574,11218,7798,2227,1986,2722,3185,5722,1484,1705,7358,2227,13287,3143,5584,1792,2302,8078,1601,8225,8205,5408,9008,4848,7125,2058,6479,17160,6803,3832,12188,2212,206,17469,8920,7601,11810,6946,19018,2573,4074,9674,1380,14751,584,3019,9295,7182,6893,3502,11412,4601,6874,10622,13940,14530,10671,7040,9136,4473,3061,12434,10769,22002,4135,10411,10691,4599,0,26389
No ,0.94,0.92,0.96,0.92,0.94,0.93,0.93,0.95,0.95,0.97,0.97,0.95,0.92,0.92,0.91,0.89,0.94,0.95,0.97,0.96,0.96,0.92,0.94,0.94,0.94,0.95,0.97,0.95,0.96,0.95,0.93,0.96,0.95,0.94,0.92,0.97,0.96,0.93,0.97,0.96,0.94,0.88,0.93,0.94,0.96,0.93,0.94,0.95,0.93,0.95,0.99,0.95,0.99,0.93,0.98,0.9,0.93,0.95,0.97,0.9,0.94,0.94,0.97,0.93,0.95,0.93,0.96,0.94,0.93,0.93,0.91,0.94,0.96,0.94,0.98,0.94,0.94,0.95,0,1
DK,40,14,26,8,6,8,3,9,5,0,5,11,17,8,3,12,1,6,3,2,5,8,19,4,6,1,5,11,1,9,13,2,9,18,11,1,12,26,17,3,14,4,0,20,20,7,2,31,39,0,1,24,0,16,0,2,19,8,11,1,22,3,14,15,22,16,22,10,9,3,1,22,17,29,7,9,20,7,0,0
DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
