"What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","What type of voluntary work do you do? (MULTIPLE ANSWERS POSSIBLE) (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,1602,1071,531,272,229,302,317,221,185,77,116,559,703,201,195,322,193,277,41,64,310,201,871,185,358,89,66,439,73,417,639,220,475.0,277,630,66,271,1218,230,175,820,314,15,1202,400,600,691,311,1407,131,57,486,20,1082,14,323,667,384,228,373,718,279,232,807,742,1096,460,461,682,324,309,812,472,1510,91,686,663,242,1602,0
You are a member of a board or committee ,329,241,88,28,36,72,56,67,53,16,29,86,194,18,43,70,60,46,4,10,78,18,210,37,52,15,14,69,12,111,137,40,118.0,47,123,15,43,267,39,26,166,88,8,256,72,131,140,58,296,23,9,80,3,246,0,74,147,67,40,89,166,49,25,180,143,263,62,121,110,77,70,191,67,311,17,122,148,54,329,0
You are a member of a board or committee ,0.21,0.22,0.17,0.1,0.16,0.24,0.18,0.3,0.29,0.2,0.25,0.15,0.28,0.09,0.22,0.22,0.31,0.17,0.09,0.15,0.25,0.09,0.24,0.2,0.15,0.17,0.21,0.16,0.17,0.27,0.21,0.18,0.25,0.17,0.19,0.22,0.16,0.22,0.17,0.15,0.2,0.28,0.54,0.21,0.18,0.22,0.2,0.19,0.21,0.18,0.16,0.16,0.14,0.23,0,0.23,0.22,0.17,0.18,0.24,0.23,0.17,0.11,0.22,0.19,0.24,0.13,0.26,0.16,0.24,0.23,0.24,0.14,0.21,0.19,0.18,0.22,0.22,0.21,0
You do administrative tasks ,291,200,91,17,33,59,65,57,42,19,16,106,156,12,47,65,46,30,11,7,74,12,190,32,42,15,11,54,13,104,117,34,115.0,59,83,12,47,232,30,34,152,69,6,243,49,129,123,39,266,15,10,68,3,221,1,89,111,49,43,82,137,42,31,167,122,217,74,92,122,62,62,158,71,276,15,123,112,56,291,0
You do administrative tasks ,0.18,0.19,0.17,0.06,0.14,0.19,0.2,0.26,0.23,0.25,0.14,0.19,0.22,0.06,0.24,0.2,0.24,0.11,0.27,0.11,0.24,0.06,0.22,0.17,0.12,0.17,0.17,0.12,0.18,0.25,0.18,0.15,0.24,0.21,0.13,0.17,0.17,0.19,0.13,0.19,0.18,0.22,0.37,0.2,0.12,0.21,0.18,0.13,0.19,0.11,0.18,0.14,0.13,0.2,0.04,0.27,0.17,0.13,0.19,0.22,0.19,0.15,0.13,0.21,0.16,0.2,0.16,0.2,0.18,0.19,0.2,0.19,0.15,0.18,0.16,0.18,0.17,0.23,0.18,0
You are a coach or trainer ,439,317,123,75,72,111,98,40,35,9,20,153,215,47,61,139,47,82,1,8,54,47,236,60,104,25,8,120,17,92,204,55,117.0,81,186,7,73,356,64,53,226,82,3,328,111,145,199,96,405,24,10,119,6,311,2,67,216,106,51,94,214,74,57,197,222,284,137,146,190,84,75,234,128,431,8,200,150,87,439,0
You are a coach or trainer ,0.27,0.3,0.23,0.27,0.31,0.37,0.31,0.18,0.19,0.12,0.17,0.27,0.31,0.23,0.31,0.43,0.24,0.3,0.03,0.12,0.18,0.23,0.27,0.32,0.29,0.29,0.12,0.27,0.23,0.22,0.32,0.25,0.25,0.29,0.29,0.11,0.27,0.29,0.28,0.3,0.28,0.26,0.19,0.27,0.28,0.24,0.29,0.31,0.29,0.18,0.18,0.25,0.31,0.29,0.16,0.21,0.32,0.28,0.22,0.25,0.3,0.26,0.24,0.24,0.3,0.26,0.3,0.32,0.28,0.26,0.24,0.29,0.27,0.29,0.08,0.29,0.23,0.36,0.27,0
You are a referee or other official ,185,133,52,48,31,39,20,26,13,7,8,38,88,49,16,36,26,32,0,4,21,49,75,29,58,9,1,62,6,35,69,21,47.0,30,87,7,29,138,18,14,91,43,0,132,53,53,86,46,178,7,0,86,0,99,0,41,84,24,35,46,76,42,20,83,90,116,57,86,52,39,32,97,56,173,12,77,67,33,185,0
You are a referee or other official ,0.12,0.12,0.1,0.18,0.14,0.13,0.06,0.12,0.07,0.09,0.07,0.07,0.12,0.25,0.08,0.11,0.14,0.12,0,0.07,0.07,0.25,0.09,0.15,0.16,0.1,0.02,0.14,0.09,0.08,0.11,0.1,0.1,0.11,0.14,0.11,0.11,0.11,0.08,0.08,0.11,0.14,0.01,0.11,0.13,0.09,0.12,0.15,0.13,0.05,0,0.18,0,0.09,0,0.13,0.13,0.06,0.16,0.12,0.11,0.15,0.09,0.1,0.12,0.11,0.12,0.19,0.08,0.12,0.1,0.12,0.12,0.11,0.13,0.11,0.1,0.14,0.12,0
You organise or help to run a sporting event ,521,344,178,99,81,101,110,60,48,23,21,185,226,83,74,106,65,77,8,21,88,83,274,81,103,32,14,124,24,138,217,60,151.0,90,221,33,81,382,59,61,272,111,5,380,141,173,254,94,482,33,6,187,1,333,1,123,207,110,80,110,241,95,75,254,259,329,188,142,212,122,77,289,155,481,40,226,218,77,521,0
You organise or help to run a sporting event ,0.33,0.32,0.33,0.36,0.35,0.33,0.35,0.27,0.26,0.3,0.18,0.33,0.32,0.41,0.38,0.33,0.34,0.28,0.19,0.32,0.28,0.41,0.31,0.44,0.29,0.36,0.21,0.28,0.33,0.33,0.34,0.27,0.32,0.33,0.35,0.5,0.3,0.31,0.26,0.35,0.33,0.35,0.31,0.32,0.35,0.29,0.37,0.3,0.34,0.25,0.11,0.38,0.03,0.31,0.06,0.38,0.31,0.29,0.35,0.3,0.34,0.34,0.33,0.31,0.35,0.3,0.41,0.31,0.31,0.38,0.25,0.36,0.33,0.32,0.44,0.33,0.33,0.32,0.33,0
"You support day to day club activities (for example, bar, food, merchandising) ",317,210,106,48,41,67,53,56,34,18,27,116,141,28,27,56,43,61,20,13,69,28,180,39,62,24,9,71,24,87,132,43,93.0,52,128,13,77,223,48,44,153,63,3,235,81,115,142,59,269,34,8,91,3,219,4,54,137,83,43,63,132,71,51,161,151,224,86,88,136,55,44,148,124,299,18,125,155,36,317,0
"You support day to day club activities (for example, bar, food, merchandising) ",0.2,0.2,0.2,0.18,0.18,0.22,0.17,0.25,0.18,0.23,0.23,0.21,0.2,0.14,0.14,0.17,0.22,0.22,0.5,0.21,0.22,0.14,0.21,0.21,0.17,0.27,0.14,0.16,0.33,0.21,0.21,0.2,0.2,0.19,0.2,0.2,0.28,0.18,0.21,0.25,0.19,0.2,0.16,0.2,0.2,0.19,0.21,0.19,0.19,0.26,0.14,0.19,0.17,0.2,0.25,0.17,0.2,0.22,0.19,0.17,0.18,0.25,0.22,0.2,0.2,0.2,0.19,0.19,0.2,0.17,0.14,0.18,0.26,0.2,0.19,0.18,0.23,0.15,0.2,0
You provide transport ,162,103,59,9,18,45,47,21,13,8,8,50,95,6,15,39,31,31,5,5,30,6,103,22,21,9,7,21,16,27,98,13,31.0,35,83,3,29,130,22,21,82,31,5,133,29,44,89,29,143,12,7,56,3,102,1,38,64,47,13,40,69,36,18,99,61,123,37,32,64,55,24,84,53,147,15,64,70,29,162,0
You provide transport ,0.1,0.1,0.11,0.03,0.08,0.15,0.15,0.09,0.07,0.1,0.07,0.09,0.14,0.03,0.08,0.12,0.16,0.11,0.13,0.08,0.1,0.03,0.12,0.12,0.06,0.1,0.1,0.05,0.21,0.06,0.15,0.06,0.07,0.12,0.13,0.04,0.11,0.11,0.1,0.12,0.1,0.1,0.35,0.11,0.07,0.07,0.13,0.09,0.1,0.09,0.12,0.12,0.15,0.09,0.04,0.12,0.1,0.12,0.06,0.11,0.1,0.13,0.08,0.12,0.08,0.11,0.08,0.07,0.09,0.17,0.08,0.1,0.11,0.1,0.16,0.09,0.11,0.12,0.1,0
You maintain sports facilities ,141,117,25,24,22,27,17,29,17,6,15,63,46,16,12,22,13,33,3,10,32,16,78,18,30,5,2,34,3,55,42,21,58.0,16,47,11,29,95,29,12,68,24,0,95,46,78,49,14,123,13,5,48,7,85,2,25,62,30,24,27,67,27,20,72,68,97,44,38,58,36,22,87,32,130,11,56,64,22,141,0
You maintain sports facilities ,0.09,0.11,0.05,0.09,0.09,0.09,0.05,0.13,0.09,0.08,0.13,0.11,0.07,0.08,0.06,0.07,0.07,0.12,0.07,0.16,0.1,0.08,0.09,0.1,0.08,0.05,0.03,0.08,0.05,0.13,0.07,0.09,0.12,0.06,0.07,0.16,0.11,0.08,0.12,0.07,0.08,0.08,0.01,0.08,0.12,0.13,0.07,0.05,0.09,0.1,0.09,0.1,0.33,0.08,0.16,0.08,0.09,0.08,0.11,0.07,0.09,0.1,0.09,0.09,0.09,0.09,0.1,0.08,0.09,0.11,0.07,0.11,0.07,0.09,0.12,0.08,0.1,0.09,0.09,0
You maintain sports equipment ,154,113,41,28,34,27,43,11,7,2,6,56,69,22,25,18,21,41,2,11,14,22,77,23,37,8,2,40,7,33,67,19,36.0,16,83,17,27,99,27,22,72,27,0,99,54,72,51,31,144,8,1,62,0,91,1,47,52,32,23,44,54,35,20,65,83,97,51,55,61,24,36,73,42,135,19,64,65,25,154,0
You maintain sports equipment ,0.1,0.11,0.08,0.1,0.15,0.09,0.14,0.05,0.04,0.03,0.05,0.1,0.1,0.11,0.13,0.06,0.11,0.15,0.06,0.17,0.04,0.11,0.09,0.13,0.1,0.09,0.03,0.09,0.1,0.08,0.11,0.09,0.08,0.06,0.13,0.26,0.1,0.08,0.12,0.13,0.09,0.08,0,0.08,0.14,0.12,0.07,0.1,0.1,0.06,0.01,0.13,0,0.08,0.07,0.14,0.08,0.08,0.1,0.12,0.08,0.13,0.09,0.08,0.11,0.09,0.11,0.12,0.09,0.08,0.12,0.09,0.09,0.09,0.21,0.09,0.1,0.1,0.1,0
