How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
Regularly,1990,1051,939,333,231,250,338,318,332,186,286,704,726,234,153,220,137,380,79,177,609,234,901,211,541,159,163,750,114,620,491,439,722,339,491,84,332,1528,569,238,899,191,9,1375,615,651,882,457,1567,154,253,717,61,1195,17,312,681,468,529,343,792,300,555,856,1013,1199,704,548,751,304,310,875,802,1803,185,840,765,346,236,1744
Regularly,0.07,0.08,0.07,0.09,0.06,0.06,0.07,0.08,0.08,0.07,0.06,0.06,0.09,0.1,0.07,0.07,0.04,0.06,0.05,0.1,0.08,0.1,0.06,0.06,0.09,0.08,0.07,0.09,0.07,0.07,0.06,0.08,0.08,0.07,0.06,0.04,0.05,0.08,0.08,0.06,0.07,0.08,0.04,0.07,0.07,0.08,0.07,0.06,0.08,0.06,0.06,0.07,0.05,0.08,0.03,0.09,0.07,0.06,0.08,0.09,0.07,0.06,0.08,0.07,0.07,0.08,0.06,0.07,0.08,0.07,0.09,0.06,0.07,0.08,0.04,0.07,0.07,0.07,0.15,0.07
With some regularity,9126,4882,4243,1941,1727,1640,1472,1063,871,411,662,3197,3658,1530,842,1409,1332,1719,278,461,1556,1530,4199,1266,2661,507,368,3046,490,2553,2912,1508,2724,1855,3038,409,1637,6831,1343,1104,4886,1312,121,6021,3105,2563,4076,2486,8156,551,376,3021,156,5885,64,1367,3703,2490,1567,1630,4262,1545,1690,4415,4146,5915,2830,2731,3363,1549,1434,4732,2912,8421,658,4300,3478,1230,1011,8110
With some regularity,0.33,0.36,0.29,0.53,0.42,0.36,0.31,0.26,0.21,0.16,0.14,0.27,0.43,0.63,0.39,0.46,0.4,0.29,0.18,0.26,0.2,0.63,0.3,0.38,0.45,0.27,0.15,0.36,0.29,0.3,0.33,0.27,0.29,0.36,0.39,0.19,0.24,0.37,0.19,0.28,0.37,0.52,0.54,0.32,0.33,0.31,0.33,0.34,0.4,0.2,0.09,0.3,0.11,0.37,0.11,0.41,0.37,0.33,0.22,0.42,0.35,0.32,0.24,0.39,0.28,0.38,0.25,0.37,0.34,0.32,0.43,0.36,0.26,0.36,0.16,0.39,0.31,0.25,0.63,0.31
Seldom,3945,2192,1754,496,789,841,787,505,345,182,336,1769,1446,271,393,622,652,978,144,245,640,271,2098,594,806,222,164,1011,181,1163,1529,673,1240,795,1237,225,1036,2562,765,560,2028,404,36,2730,1215,1095,1778,1072,3273,387,256,1706,70,2113,56,506,1582,1080,778,535,1880,772,759,1678,2085,2311,1510,1111,1469,734,470,2094,1372,3440,471,1509,1732,637,163,3776
Seldom,0.14,0.16,0.12,0.14,0.19,0.18,0.16,0.12,0.08,0.07,0.07,0.15,0.17,0.11,0.18,0.2,0.19,0.16,0.1,0.14,0.09,0.11,0.15,0.18,0.14,0.12,0.07,0.12,0.11,0.13,0.17,0.12,0.13,0.15,0.16,0.11,0.15,0.14,0.11,0.14,0.16,0.16,0.16,0.15,0.13,0.14,0.14,0.15,0.16,0.14,0.06,0.17,0.05,0.13,0.09,0.15,0.16,0.14,0.11,0.14,0.15,0.16,0.11,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.14,0.16,0.12,0.14,0.11,0.14,0.15,0.13,0.1,0.14
Never,12897,5371,7526,855,1343,1854,2190,2220,2586,1847,3403,6094,2657,391,790,792,1253,2914,1025,877,4856,391,6948,1241,1926,993,1675,3704,890,4283,3906,2985,4780,2136,2995,1403,3735,7442,4360,2094,5182,618,55,8532,4364,3873,5757,3236,7410,1607,3237,4697,1111,6629,460,1153,3988,3520,4236,1364,5175,2254,4104,4476,7417,6191,6069,3105,4227,2201,1152,5524,6147,9816,2909,4439,5371,2613,192,12694
Never,0.46,0.4,0.52,0.24,0.33,0.4,0.46,0.54,0.63,0.7,0.73,0.52,0.31,0.16,0.36,0.26,0.37,0.49,0.67,0.49,0.63,0.16,0.49,0.37,0.32,0.53,0.71,0.43,0.53,0.5,0.44,0.53,0.5,0.42,0.39,0.66,0.55,0.41,0.62,0.52,0.4,0.24,0.25,0.46,0.47,0.47,0.46,0.44,0.36,0.6,0.79,0.46,0.79,0.42,0.77,0.35,0.4,0.47,0.59,0.35,0.43,0.46,0.57,0.39,0.51,0.39,0.55,0.41,0.43,0.46,0.34,0.42,0.55,0.42,0.69,0.4,0.47,0.54,0.12,0.48
DK,73,27,46,14,17,14,7,11,7,4,8,23,30,9,6,14,5,14,2,11,11,9,31,20,14,1,2,17,1,33,19,24,26,18,5,3,22,41,12,14,26,6,2,33,40,26,10,37,58,5,10,43,2,27,1,6,27,17,23,5,43,13,12,19,44,26,39,16,18,9,5,43,25,62,9,18,29,22,0,65
DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
