How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?,How often do you exercise or play sport?
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
5 times a week or more ,1990,1051,939,333,231,250,338,318,332,186,286,704,726,234,153,220,137,380,79,177,609,234,901,211,541,159,163,750,114,620,491,439,722,339,491,84,332,1528,569,238,899,191,9,1375,615,651,882,457,1567,154,253,717,61,1195,17,312,681,468,529,343,792,300,555,856,1013,1199,704,548,751,304,310,875,802,1803,185,840,765,346,236,1744
5 times a week or more ,0.07,0.08,0.07,0.09,0.06,0.05,0.07,0.08,0.08,0.07,0.06,0.06,0.09,0.1,0.07,0.07,0.04,0.06,0.05,0.1,0.08,0.1,0.06,0.06,0.09,0.08,0.07,0.09,0.07,0.07,0.06,0.08,0.08,0.07,0.06,0.04,0.05,0.08,0.08,0.06,0.07,0.08,0.04,0.07,0.07,0.08,0.07,0.06,0.08,0.06,0.06,0.07,0.05,0.07,0.03,0.09,0.07,0.06,0.07,0.09,0.07,0.06,0.08,0.08,0.07,0.08,0.06,0.07,0.08,0.07,0.09,0.07,0.07,0.08,0.04,0.07,0.07,0.07,0.15,0.07
3 to 4 times a week,3326,1902,1424,847,649,533,485,381,326,106,247,1057,1338,657,316,507,430,622,93,164,537,657,1419,464,1095,177,117,1210,179,979,904,552,1021,636,1117,152,517,2567,526,409,1718,471,34,2198,1128,959,1402,965,3049,169,89,1166,31,2125,4,534,1375,887,530,683,1469,537,636,1490,1587,2047,1112,1043,1161,578,621,1645,1051,3094,217,1510,1291,482,459,2864
3 to 4 times a week,0.12,0.14,0.1,0.23,0.16,0.12,0.1,0.09,0.08,0.04,0.05,0.09,0.16,0.27,0.15,0.17,0.13,0.11,0.06,0.09,0.07,0.27,0.1,0.14,0.19,0.09,0.05,0.14,0.11,0.11,0.1,0.1,0.11,0.12,0.14,0.07,0.08,0.14,0.07,0.1,0.13,0.19,0.15,0.12,0.12,0.12,0.11,0.13,0.15,0.06,0.02,0.12,0.02,0.13,0.01,0.16,0.14,0.12,0.08,0.18,0.12,0.11,0.09,0.13,0.11,0.13,0.1,0.14,0.12,0.12,0.18,0.12,0.09,0.13,0.05,0.14,0.11,0.1,0.29,0.11
1 to 2 times a week,5800,2980,2820,1094,1078,1107,987,682,545,305,415,2140,2319,873,526,902,902,1097,185,297,1018,873,2779,803,1566,330,251,1836,311,1574,2008,956,1703,1219,1921,257,1120,4264,816,695,3169,840,86,3823,1977,1605,2674,1521,5107,382,287,1855,126,3760,60,832,2328,1603,1036,946,2792,1008,1053,2926,2558,3868,1718,1688,2202,972,813,3087,1861,5327,441,2790,2187,748,552,5246
1 to 2 times a week,0.21,0.22,0.19,0.3,0.26,0.24,0.21,0.17,0.13,0.12,0.09,0.18,0.27,0.36,0.24,0.3,0.27,0.18,0.12,0.17,0.13,0.36,0.2,0.24,0.26,0.18,0.1,0.22,0.19,0.18,0.23,0.17,0.18,0.24,0.25,0.12,0.16,0.23,0.12,0.17,0.24,0.33,0.39,0.2,0.21,0.19,0.21,0.21,0.25,0.14,0.07,0.18,0.09,0.24,0.1,0.25,0.23,0.21,0.15,0.24,0.23,0.21,0.15,0.26,0.17,0.25,0.16,0.23,0.22,0.2,0.24,0.23,0.17,0.23,0.11,0.25,0.19,0.15,0.34,0.2
1 to 3 times a month,1335,746,589,205,301,269,252,161,103,46,73,538,578,114,143,251,221,311,39,76,180,114,696,206,282,76,42,346,54,360,542,229,398,259,449,76,318,906,192,186,709,184,11,938,398,391,561,384,1168,96,65,554,17,749,15,207,560,364,203,198,628,269,241,606,660,819,472,442,468,244,183,676,471,1186,136,531,546,237,86,1248
1 to 3 times a month,0.05,0.05,0.04,0.06,0.07,0.06,0.05,0.04,0.03,0.02,0.02,0.05,0.07,0.05,0.07,0.08,0.06,0.05,0.03,0.04,0.03,0.05,0.05,0.06,0.05,0.04,0.02,0.04,0.03,0.04,0.06,0.04,0.04,0.05,0.06,0.04,0.05,0.05,0.03,0.05,0.06,0.07,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.02,0.06,0.01,0.05,0.02,0.06,0.06,0.05,0.03,0.05,0.05,0.06,0.03,0.05,0.05,0.05,0.04,0.06,0.05,0.05,0.06,0.05,0.04,0.05,0.03,0.05,0.05,0.05,0.05,0.05
Less often,2610,1445,1165,291,488,573,535,344,243,136,263,1231,868,157,250,371,431,667,105,169,460,157,1402,388,524,146,121,665,126,803,987,444,841,536,788,149,718,1656,573,374,1319,220,25,1792,818,704,1218,688,2105,290,191,1152,53,1364,41,298,1022,716,574,337,1252,504,517,1072,1425,1493,1038,669,1001,490,287,1417,901,2253,335,977,1187,400,76,2528
Less often,0.09,0.11,0.08,0.08,0.12,0.13,0.11,0.08,0.06,0.05,0.06,0.1,0.1,0.06,0.11,0.12,0.13,0.11,0.07,0.1,0.06,0.06,0.1,0.12,0.09,0.08,0.05,0.08,0.07,0.09,0.11,0.08,0.09,0.1,0.1,0.07,0.11,0.09,0.08,0.09,0.1,0.09,0.11,0.1,0.09,0.09,0.1,0.1,0.1,0.11,0.05,0.11,0.04,0.09,0.07,0.09,0.1,0.09,0.08,0.09,0.1,0.1,0.07,0.09,0.1,0.09,0.09,0.09,0.1,0.1,0.09,0.11,0.08,0.09,0.08,0.09,0.11,0.08,0.05,0.09
Never,12897,5371,7526,855,1343,1854,2190,2220,2586,1847,3403,6094,2657,391,790,792,1253,2914,1025,877,4856,391,6948,1241,1926,993,1675,3704,890,4283,3906,2985,4780,2136,2995,1403,3735,7442,4360,2094,5182,618,55,8532,4364,3873,5757,3236,7410,1607,3237,4697,1111,6629,460,1153,3988,3520,4236,1364,5175,2254,4104,4476,7417,6191,6069,3105,4227,2201,1152,5524,6147,9816,2909,4439,5371,2613,192,12694
Never,0.46,0.4,0.52,0.24,0.33,0.4,0.46,0.54,0.62,0.7,0.72,0.52,0.31,0.16,0.36,0.26,0.37,0.49,0.67,0.49,0.63,0.16,0.49,0.37,0.32,0.53,0.71,0.43,0.53,0.5,0.44,0.53,0.5,0.42,0.39,0.66,0.55,0.41,0.62,0.52,0.4,0.24,0.25,0.46,0.47,0.47,0.46,0.44,0.36,0.59,0.78,0.46,0.79,0.42,0.77,0.35,0.4,0.47,0.59,0.35,0.43,0.46,0.58,0.39,0.5,0.4,0.55,0.41,0.43,0.46,0.34,0.42,0.55,0.42,0.69,0.4,0.47,0.54,0.12,0.48
DK,73,27,46,14,17,14,7,11,7,4,8,23,30,9,6,14,5,14,2,11,11,9,31,20,14,1,2,17,1,33,19,24,26,18,5,3,22,41,12,14,26,6,2,33,40,26,10,37,58,5,10,43,2,27,1,6,27,17,23,5,43,13,12,19,44,26,39,16,18,9,5,43,25,62,9,18,29,22,0,65
DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
