"And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?","And how often do you engage in other physical activity such as cycling from one place to another, dancing, gardening, etc.?"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
5 times a week or more,3840,1971,1869,645,511,533,667,598,593,292,483,1464,1362,466,299,385,386,813,182,279,1030,466,1868,429,960,260,270,1201,288,1117,1181,740,1328,664.0,1108,252,683,2815,830,499,1880,447,33,2593,1247,1269,1762,809,2993,342,464,1253,127,2416,43,658,1409,968,805,781,1705,612,741,1824,1785,2497,1192,1216,1346,680,648,1919,1256,3377,453,1681,1487,616,396,3438
5 times a week or more,0.14,0.15,0.13,0.18,0.12,0.12,0.14,0.15,0.14,0.11,0.1,0.13,0.16,0.19,0.14,0.13,0.11,0.14,0.12,0.16,0.13,0.19,0.13,0.13,0.16,0.14,0.11,0.14,0.17,0.13,0.13,0.13,0.14,0.13,0.14,0.12,0.1,0.15,0.12,0.13,0.14,0.18,0.15,0.14,0.13,0.15,0.14,0.11,0.15,0.13,0.11,0.12,0.09,0.15,0.07,0.2,0.14,0.13,0.11,0.2,0.14,0.13,0.1,0.16,0.12,0.16,0.11,0.16,0.14,0.14,0.19,0.15,0.11,0.14,0.11,0.15,0.13,0.13,0.25,0.13
3 to 4 times a week,2936,1490,1446,389,418,445,542,423,495,225,361,1093,1151,311,254,362,321,552,132,164,841,311,1580,343,636,158,185,845,134,1064,859,553,1120,461.0,802,152,474,2274,615,378,1404,404,23,2065,870,1001,1245,690,2371,253,260,911,75,1914,36,485,1080,814,556,559,1374,482,521,1350,1432,1877,964,927,1103,461,482,1489,958,2661,255,1293,1192,429,292,2637
3 to 4 times a week,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.12,0.09,0.08,0.09,0.14,0.13,0.12,0.12,0.1,0.09,0.09,0.09,0.11,0.13,0.11,0.1,0.11,0.09,0.08,0.1,0.08,0.12,0.1,0.1,0.12,0.09,0.11,0.07,0.07,0.12,0.09,0.09,0.11,0.16,0.1,0.11,0.09,0.12,0.1,0.09,0.12,0.09,0.06,0.09,0.06,0.12,0.06,0.15,0.11,0.11,0.08,0.14,0.11,0.1,0.07,0.12,0.1,0.12,0.09,0.12,0.11,0.1,0.14,0.11,0.09,0.11,0.06,0.12,0.11,0.09,0.18,0.1
1 to 2 times a week,5439,2879,2561,849,942,996,911,792,635,315,554,2164,2088,577,505,870,739,1202,143,264,1139,577,2816,714,1314,286,248,1598,250,1623,1907,890,1744,1079.0,1727,289,1076,3903,1025,724,2758,703,63,3746,1693,1746,2387,1307,4530,440,417,1888,143,3369,39,645,2136,1553,1107,832,2678,903,1026,2465,2674,3358,1905,1517,1946,1050,788,2842,1787,4912,503,2368,2063,941,491,4947
1 to 2 times a week,0.19,0.21,0.18,0.23,0.23,0.22,0.19,0.19,0.15,0.12,0.12,0.18,0.25,0.24,0.23,0.28,0.22,0.2,0.09,0.15,0.15,0.24,0.2,0.21,0.22,0.15,0.11,0.19,0.15,0.19,0.22,0.16,0.18,0.21,0.22,0.14,0.16,0.21,0.15,0.18,0.21,0.28,0.28,0.2,0.18,0.21,0.19,0.18,0.22,0.16,0.1,0.18,0.1,0.21,0.07,0.19,0.22,0.2,0.15,0.22,0.22,0.19,0.15,0.22,0.18,0.22,0.17,0.2,0.2,0.22,0.23,0.21,0.16,0.21,0.12,0.21,0.18,0.19,0.31,0.19
1 to 3 times a month,2452,1246,1206,376,492,483,441,323,227,110,199,1065,891,261,217,433,378,530,91,118,424,261,1176,377,574,185,117,739,138,706,846,434,745,558.0,715,151,593,1630,430,324,1324,255,26,1668,785,665,1169,614,2096,179,154,946,76,1395,35,303,1002,665,482,324,1092,548,488,1026,1265,1467,891,681,958,380,267,1242,937,2163,273,1063,956,367,158,2290
