"In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do vigorous physical activity like lifting heavy things, digging, aerobics or fast cycling? (DO NOT SHOW SCREEN - DO NOT READ OUT)"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
1 day,2665,1458,1207,381,463,524,512,331,318,137,194,985,1160,289,245,470,397,490,76,141,558,289,1341,379,643,150,113,761,145,790,930,473,844,475.0,874,152,548,1900,475,329,1339,405,39,1803,862,771,1205,689,2318,191,136,916,52,1658,39,402,1084,719,460,446,1245,564,410,1185,1324,1736,844,849,949,462,358,1424,879,2413,234,1167,1079,391,208,2455
1 day,0.1,0.11,0.08,0.11,0.11,0.12,0.11,0.08,0.08,0.05,0.04,0.08,0.14,0.12,0.11,0.15,0.12,0.08,0.05,0.08,0.07,0.12,0.1,0.11,0.11,0.08,0.05,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.11,0.07,0.08,0.1,0.07,0.08,0.1,0.16,0.18,0.1,0.09,0.09,0.1,0.1,0.11,0.07,0.04,0.09,0.04,0.11,0.07,0.12,0.11,0.1,0.07,0.12,0.1,0.11,0.06,0.1,0.09,0.11,0.07,0.11,0.1,0.1,0.11,0.11,0.08,0.1,0.06,0.11,0.1,0.08,0.13,0.09
2 days,2884,1510,1374,516,539,563,498,355,299,115,242,1081,1155,370,245,449,497,560,80,166,518,370,1472,377,723,149,118,870,119,860,989,455,922,614.0,893,119,568,2106,445,335,1572,378,41,2029,855,948,1157,779,2515,178,175,1048,54,1748,34,396,1224,808,456,482,1439,469,494,1430,1292,1893,870,847,1125,479,440,1573,854,2646,223,1339,1135,364,267,2616
2 days,0.1,0.11,0.1,0.14,0.13,0.12,0.1,0.09,0.07,0.04,0.05,0.09,0.14,0.15,0.11,0.15,0.15,0.09,0.05,0.1,0.07,0.15,0.1,0.11,0.12,0.08,0.05,0.1,0.07,0.1,0.11,0.08,0.1,0.12,0.12,0.06,0.09,0.12,0.06,0.08,0.12,0.15,0.19,0.11,0.09,0.12,0.09,0.11,0.12,0.07,0.04,0.1,0.04,0.11,0.06,0.12,0.12,0.11,0.06,0.12,0.12,0.1,0.07,0.13,0.09,0.12,0.08,0.11,0.11,0.1,0.13,0.12,0.08,0.11,0.05,0.12,0.1,0.08,0.17,0.1
3 days,2099,1190,909,451,401,349,328,278,216,77,176,798,808,294,229,326,294,440,62,112,342,294,1020,265,603,106,66,657,119,583,701,303,605,411.0,781,92,432,1507,367,285,1046,300,25,1437,662,649,871,579,1845,132,114,798,39,1254,8,331,843,569,356,362,1079,313,344,972,1016,1281,758,684,695,360,292,1193,608,1864,215,912,846,329,273,1824
3 days,0.08,0.09,0.06,0.12,0.1,0.08,0.07,0.07,0.05,0.03,0.04,0.07,0.09,0.12,0.11,0.11,0.09,0.07,0.04,0.06,0.04,0.12,0.07,0.08,0.1,0.06,0.03,0.08,0.07,0.07,0.08,0.05,0.06,0.08,0.1,0.04,0.06,0.08,0.05,0.07,0.08,0.12,0.11,0.08,0.07,0.08,0.07,0.08,0.09,0.05,0.03,0.08,0.03,0.08,0.01,0.1,0.08,0.08,0.05,0.09,0.09,0.06,0.05,0.09,0.07,0.08,0.07,0.09,0.07,0.08,0.09,0.09,0.05,0.08,0.05,0.08,0.08,0.07,0.17,0.07
4 days,1184,698,487,303,262,198,164,130,91,37,78,467,397,230,111,167,113,314,48,42,160,230,477,216,367,59,32,403,55,366,327,175,408,200.0,402,64,227,873,211,156,605,146,15,739,445,314,557,313,1019,109,51,443,21,699,21,180,472,330,202,211,511,204,259,588,550,804,350,334,478,217,219,544,420,1072,111,556,462,159,186,998
4 days,0.04,0.05,0.03,0.08,0.06,0.04,0.03,0.03,0.02,0.01,0.02,0.04,0.05,0.09,0.05,0.05,0.03,0.05,0.03,0.02,0.02,0.09,0.03,0.07,0.06,0.03,0.01,0.05,0.03,0.04,0.04,0.03,0.04,0.04,0.05,0.03,0.03,0.05,0.03,0.04,0.05,0.06,0.07,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.01,0.04,0.01,0.04,0.04,0.05,0.05,0.04,0.03,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.03,0.05,0.05,0.05,0.06,0.04,0.04,0.05,0.03,0.05,0.04,0.03,0.12,0.04
5 days,1287,822,465,227,240,246,285,158,101,29,155,603,354,152,108,125,106,549,35,72,140,152,635,178,339,73,54,368,99,319,494,183,380,290.0,434,76,276,909,341,171,615,102,5,808,479,408,561,314,1049,136,94,469,17,788,14,161,476,338,311,195,547,224,321,565,668,759,491,345,460,250,171,638,473,1141,138,465,606,199,117,1156
5 days,0.05,0.06,0.03,0.06,0.06,0.05,0.06,0.04,0.03,0.01,0.03,0.05,0.04,0.06,0.05,0.04,0.03,0.09,0.02,0.04,0.02,0.06,0.05,0.05,0.06,0.04,0.02,0.04,0.06,0.04,0.06,0.03,0.04,0.06,0.06,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.02,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.02,0.05,0.01,0.05,0.02,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.03,0.04,0.05,0.04,0.07,0.05
6 days,416,269,147,61,83,100,67,48,46,12,64,195,123,30,56,33,46,142,8,30,72,30,214,64,89,32,14,117,18,122,157,67,135,77.0,137,33,84,292,95,64,199,48,2,267,149,146,184,87,316,43,50,192,17,203,4,69,170,103,75,69,175,102,70,162,230,217,180,116,167,67,60,203,153,368,47,172,151,87,62,354
6 days,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.04,0.01
7 days,1199,694,505,162,220,196,220,178,156,68,152,515,386,136,114,123,84,331,51,84,275,136,572,157,302,93,69,380,85,342,387,256,402,221.0,321,101,248,816,331,153,558,105,2,701,499,425,570,204,957,78,145,417,51,725,7,176,383,288,352,254,509,133,303,600,537,747,405,325,426,211,223,549,415,1052,144,544,436,190,88,1110
7 days,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.03,0.03,0.04,0.05,0.06,0.05,0.04,0.03,0.06,0.04,0.05,0.04,0.06,0.04,0.05,0.05,0.05,0.03,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.01,0.04,0.05,0.05,0.05,0.03,0.05,0.03,0.04,0.04,0.04,0.05,0.01,0.05,0.04,0.04,0.05,0.07,0.04,0.03,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.05,0.04
0 days,16195,6843,9352,1523,1872,2403,2711,2623,2910,2153,3629,7097,4101,922,1071,1345,1826,3150,1164,1120,5597,922,8386,1683,2864,1214,1903,4949,1033,5251,4818,3707,5775,2810.0,3902,1481,4357,9936,4769,2508,7045,1031,92,10846,5349,4506,7362,4301,10367,1826,3356,5853,1146,8728,468,1621,5293,4393,4888,1838,6593,2865,4899,5888,9052,8146,7221,3989,5499,2733,1600,7082,7429,12895,3111,5901,6628,3114,396,15779
0 days,0.58,0.51,0.65,0.42,0.46,0.52,0.57,0.64,0.7,0.82,0.77,0.6,0.48,0.38,0.49,0.44,0.54,0.53,0.76,0.63,0.73,0.38,0.59,0.51,0.48,0.64,0.8,0.58,0.62,0.61,0.54,0.66,0.61,0.55,0.5,0.7,0.65,0.54,0.68,0.63,0.54,0.41,0.41,0.58,0.57,0.55,0.59,0.59,0.51,0.67,0.81,0.57,0.82,0.55,0.78,0.49,0.53,0.58,0.69,0.47,0.54,0.59,0.69,0.51,0.61,0.52,0.65,0.53,0.56,0.57,0.47,0.53,0.66,0.55,0.74,0.53,0.58,0.64,0.25,0.6
DK,101,40,60,17,28,20,10,16,6,4,5,47,33,12,4,19,16,30,5,4,10,12,58,13,17,5,4,23,3,18,54,11,21,46.0,23,6,21,64,17,10,43,13,0,62,39,42,37,21,79,10,10,49,3,47,2,7,36,25,32,19,53,10,19,54,35,60,34,21,30,18,9,63,26,89,9,49,32,14,4,96
DK,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average,1.3,1.6,1.1,1.8,1.7,1.5,1.4,1.2,0.9,0.5,0.8,1.3,1.5,1.9,1.6,1.5,1.2,1.7,0.8,1.2,0.8,1.9,1.3,1.6,1.6,1.2,0.6,1.3,1.3,1.2,1.4,1.1,1.2,1.4,1.5,1,1.1,1.4,1.1,1.2,1.4,1.7,1.4,1.3,1.4,1.4,1.3,1.2,1.5,1.1,0.7,1.3,0.6,1.4,0.6,1.6,1.4,1.3,1.1,1.7,1.4,1.2,1.1,1.5,1.2,1.5,1.1,1.4,1.4,1.4,1.7,1.4,1.1,1.4,0.9,1.4,1.3,1.2,2.4,1.2
