"In general, on days when you do a vigorous physical activity, how much time do you spend at it?",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Exercise sport,Exercise sport,Exercise sport,Exercise sport,Physical activity,Physical activity,Physical activity,Physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Walked at least 10 min in a week,Walked at least 10 min in a week,Walked at least 10 min in a week,Time spent sitting on a usual day,Time spent sitting on a usual day,Time spent sitting on a usual day,Time spent sitting on a usual day,Voluntary work,Voluntary work
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Male 15-24,Male 25-39,Male 40-54,Male 55+,Female 15-24,Female 25-39,Female 40-54,Female 55+,Almost daily,A few times a week,Occasionally,Never,Almost daily,A few times a week,Occasionally,Never,Almost daily,A few times a week,Occasionally,Never,1-3 days,4-7 days,Never,2h30 or less,2h31 to 5h30,5h31 to 8h30,8h31 or more,Yes,No
TOTAL,11836,6681,5155,2117,3400,3115,3203,2117,2236,2196,2083,1495,1231,478,10,700,710,2891,3399,4836,1066,4691,4417,1513,1113,1711,1553,2855,364,651,2076,1513,5790,1649,3084,668,469,3579,642,3401,4039,1922,3716.0,2333.0,3865,643,2405,8468,2281,1502,5977,1498,130,7845,3991,3702,5142,2987,10097,878,775,4331,254,7121,130,1722,4689,3181,2243,2038,5559,2019,2220,5557,5652,7496,3932,3521,4330,2066,1771,6187,3829,10646,1121,5205,4746,1734,1286,1951,1760,1683,831,1449,1355,1520,1334,6479,1864,2146,2669,5769,2621,748,3296,7050,1490,0,2957,8146,654,2280,5177,3168,980,1206,10610
30 minutes or less,1809,909,900,300,421,477,612,300,267,324,306,268,222,122,7,170,177,489,525,619,217,746,602,207,151,248,240,353,60,103,447,207,939,220,431,110,96,543,94,582,577,335,597.0,359.0,518,109,391,1245,368,246,908,211,14,1144,665,568,809,428,1440,153,193,591,55,1139,24,256,701,465,387,303,822,295,389,854,858,1206,540,527,697,318,268,926,613,1614,190,740,726,315,164,213,230,302,136,208,246,310,150,740,486,434,304,806,614,78,379,980,450,0,572,1123,102,362,709,558,151,123,1680
30 minutes or less,0.15,0.14,0.17,0.14,0.12,0.15,0.19,0.14,0.12,0.15,0.15,0.18,0.18,0.26,0.73,0.24,0.25,0.17,0.15,0.13,0.2,0.16,0.14,0.14,0.14,0.14,0.15,0.12,0.16,0.16,0.22,0.14,0.16,0.13,0.14,0.17,0.21,0.15,0.15,0.17,0.14,0.17,0.16,0.15,0.13,0.17,0.16,0.15,0.16,0.16,0.15,0.14,0.1,0.15,0.17,0.15,0.16,0.14,0.14,0.18,0.25,0.14,0.22,0.16,0.19,0.15,0.15,0.15,0.17,0.15,0.15,0.15,0.17,0.15,0.15,0.16,0.14,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.17,0.14,0.15,0.18,0.13,0.11,0.13,0.18,0.17,0.14,0.18,0.2,0.11,0.11,0.26,0.2,0.11,0.14,0.23,0.1,0.12,0.14,0.3,- ,0.2,0.14,0.15,0.16,0.14,0.18,0.15,0.1,0.16
31 to 60 minutes,4572,2276,2296,899,1429,1139,1106,899,917,889,761,520,433,153,0,236,237,1001,1307,2028,309,1619,1938,661,372,795,675,957,160,261,691,661,2154,671,1287,218,183,1425,263,1226,1599,712,1383.0,893.0,1584,194,932,3330,703,532,2462,621,67,3067,1505,1335,1955,1282,4067,258,231,1724,70,2737,42,701,1896,1228,748,813,2253,682,824,2191,2130,2901,1497,1400,1622,783,683,2494,1369,4152,394,2136,1795,597,490,707,558,522,409,722,581,584,471,2858,658,580,898,2411,965,295,1118,2989,466,0,1252,3087,208,731,1925,1397,434,413,4157
31 to 60 minutes,0.39,0.34,0.45,0.42,0.42,0.36,0.35,0.42,0.41,0.4,0.36,0.35,0.35,0.32,0.04,0.34,0.33,0.35,0.38,0.42,0.29,0.35,0.44,0.44,0.33,0.46,0.43,0.33,0.44,0.4,0.33,0.44,0.37,0.41,0.42,0.33,0.39,0.4,0.41,0.36,0.4,0.37,0.37,0.38,0.41,0.3,0.39,0.39,0.31,0.35,0.41,0.41,0.52,0.39,0.38,0.36,0.38,0.43,0.4,0.29,0.3,0.4,0.28,0.38,0.32,0.41,0.4,0.38,0.33,0.4,0.41,0.34,0.37,0.4,0.38,0.39,0.38,0.4,0.38,0.38,0.38,0.4,0.36,0.39,0.35,0.41,0.38,0.34,0.38,0.36,0.32,0.31,0.49,0.5,0.43,0.39,0.35,0.44,0.35,0.27,0.34,0.42,0.37,0.39,0.34,0.42,0.31,- ,0.42,0.38,0.32,0.32,0.37,0.44,0.44,0.34,0.39
61 to 90 minutes,2507,1543,965,487,748,648,625,487,537,424,435,277,254,94,0,143,143,557,681,1127,188,984,941,373,242,364,370,572,57,118,409,373,1213,372,664,133,85,779,103,761,824,388,775.0,504.0,841,128,453,1894,453,295,1247,379,31,1755,753,777,1105,626,2216,165,111,983,66,1430,29,369,1012,692,435,449,1099,498,462,1184,1183,1606,814,788,912,442,405,1265,833,2322,174,1184,956,334,319,486,400,339,168,262,249,286,295,1666,239,308,473,1360,470,193,648,1691,169,0,544,1806,141,468,1113,676,221,346,2158
61 to 90 minutes,0.21,0.23,0.19,0.23,0.22,0.21,0.19,0.23,0.24,0.19,0.21,0.19,0.21,0.2,- ,0.2,0.2,0.19,0.2,0.23,0.18,0.21,0.21,0.25,0.22,0.21,0.24,0.2,0.16,0.18,0.2,0.25,0.21,0.22,0.21,0.2,0.18,0.22,0.16,0.22,0.21,0.2,0.21,0.22,0.22,0.2,0.19,0.22,0.2,0.2,0.21,0.25,0.24,0.22,0.19,0.21,0.21,0.21,0.22,0.19,0.14,0.23,0.26,0.2,0.22,0.21,0.22,0.22,0.2,0.22,0.2,0.25,0.21,0.21,0.21,0.22,0.21,0.22,0.21,0.21,0.23,0.21,0.22,0.22,0.16,0.23,0.2,0.19,0.25,0.25,0.23,0.2,0.2,0.18,0.19,0.19,0.22,0.26,0.13,0.14,0.18,0.23,0.18,0.26,0.2,0.24,0.11,- ,0.19,0.22,0.22,0.2,0.21,0.21,0.23,0.29,0.2
91 to 120 minutes,1147,778,369,228,289,327,303,228,203,179,234,139,130,35,2,53,55,308,314,470,110,439,401,174,140,146,141,245,39,67,194,174,533,142,336,69,37,387,55,300,375,187,361.0,216.0,383,66,187,851,192,152,603,161,15,732,415,362,506,279,964,109,66,423,24,697,3,183,450,286,228,202,570,191,184,578,512,778,340,348,444,215,175,641,326,1026,117,499,481,155,163,193,229,193,65,97,98,110,189,614,157,188,356,525,207,59,434,607,106,0,188,895,65,222,543,280,90,152,990
91 to 120 minutes,0.1,0.12,0.07,0.11,0.09,0.1,0.09,0.11,0.09,0.08,0.11,0.09,0.1,0.07,0.2,0.08,0.08,0.11,0.09,0.1,0.1,0.09,0.09,0.11,0.13,0.09,0.09,0.09,0.11,0.1,0.09,0.11,0.09,0.09,0.11,0.1,0.08,0.11,0.09,0.09,0.09,0.1,0.1,0.09,0.1,0.1,0.08,0.1,0.08,0.1,0.1,0.11,0.11,0.09,0.1,0.1,0.1,0.09,0.1,0.12,0.09,0.1,0.09,0.1,0.02,0.11,0.1,0.09,0.1,0.1,0.1,0.09,0.08,0.1,0.09,0.1,0.08,0.1,0.1,0.1,0.1,0.1,0.08,0.1,0.1,0.1,0.1,0.09,0.13,0.1,0.13,0.11,0.08,0.07,0.07,0.07,0.14,0.09,0.09,0.09,0.13,0.09,0.08,0.08,0.13,0.09,0.07,- ,0.06,0.11,0.1,0.1,0.1,0.09,0.09,0.13,0.09
