"In general, on days when you do a vigorous physical activity, how much time do you spend at it?",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Exercise sport,Exercise sport,Exercise sport,Exercise sport,Physical activity,Physical activity,Physical activity,Physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Walked at least 10 min in a week,Walked at least 10 min in a week,Walked at least 10 min in a week,Time spent sitting on a usual day,Time spent sitting on a usual day,Time spent sitting on a usual day,Time spent sitting on a usual day,Voluntary work,Voluntary work
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Male 15-24,Male 25-39,Male 40-54,Male 55+,Female 15-24,Female 25-39,Female 40-54,Female 55+,Almost daily,A few times a week,Occasionally,Never,Almost daily,A few times a week,Occasionally,Never,Almost daily,A few times a week,Occasionally,Never,1-3 days,4-7 days,Never,2h30 or less,2h31 to 5h30,5h31 to 8h30,8h31 or more,Yes,No
TOTAL,19982,10334,9648,3110,5069,5171,6632,3110,3291,3469,3480,2785,2578,1269,25,1826,1851,5420,5582,7129,2312,8124,7038,2206,1731,2606,2585,4335,775,1215,4528,2206,10003,2610,4765,1231,1141,6026,1110,6090,6523,3589,6599.0,3830.0,5965,1188,4189,14110,4155,2703,9924,2235,188,13536,6447,6099,8959,4918,16135,1732,1865,7080,587,12080,236,2674,7554,5493,4261,3110,9153,3505,4215,8762,10029,12048,7176,5614,7378,3410,2692,10081,7130,17687,2173,8448,7996,3206,1694,2685,2738,3217,1415,2384,2433,3415,1990,9126,3945,4898,3840,8375,5782,1933,4918,10868,4196,0,5022,13244,1607,3395,8430,5761,2041,1535,18424
30 minutes or less,3153,1539,1614,406,743,865,1139,406,473,576,560,492,423,224,9,303,312,904,949,989,388,1347,1052,296,276,424,420,611,142,192,791,296,1674,378,686,200,197,907,177,978,1074,590,1049.0,608.0,907,219,692,2155,645,452,1575,340,24,2080,1073,966,1444,738,2462,301,353,1066,102,1940,46,408,1197,894,654,473,1495,538,646,1387,1575,1977,1049,848,1220,550,427,1632,1088,2777,345,1275,1250,557,213,347,425,555,193,397,440,584,230,1140,949,834,468,1237,1246,190,599,1581,973,0,1001,1907,231,599,1220,961,315,161,2985
30 minutes or less,0.16,0.15,0.17,0.13,0.15,0.17,0.17,0.13,0.14,0.17,0.16,0.18,0.16,0.18,0.35,0.17,0.17,0.17,0.17,0.14,0.17,0.16,0.15,0.13,0.16,0.16,0.16,0.14,0.18,0.16,0.17,0.13,0.17,0.14,0.15,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.18,0.16,0.15,0.15,0.17,0.16,0.15,0.13,0.15,0.17,0.16,0.16,0.15,0.15,0.17,0.19,0.15,0.17,0.16,0.19,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.17,0.13,0.13,0.16,0.17,0.14,0.17,0.18,0.17,0.11,0.12,0.24,0.17,0.12,0.15,0.21,0.1,0.12,0.14,0.23,- ,0.2,0.15,0.14,0.18,0.14,0.17,0.15,0.11,0.16
31 to 60 minutes,5966,2967,2999,1133,1776,1535,1522,1133,1121,1166,1024,708,581,233,1,348,349,1341,1768,2507,437,2128,2502,842,514,1004,884,1232,203,348,939,842,2837,851,1659,292,248,1859,340,1628,2060,946,1812.0,1199.0,2008,268,1232,4301,966,724,3185,771,80,4036,1930,1690,2608,1668,5237,355,343,2241,86,3591,48,886,2422,1620,1038,1011,2894,933,1128,2759,2869,3697,2032,1748,2134,1014,865,3189,1881,5413,523,2726,2336,838,609,889,753,716,524,887,782,805,549,3523,1000,886,1073,2922,1472,494,1351,3807,808,0,1582,4005,345,915,2517,1813,614,487,5476
31 to 60 minutes,0.3,0.29,0.31,0.36,0.35,0.3,0.23,0.36,0.34,0.34,0.29,0.25,0.22,0.18,0.05,0.19,0.19,0.25,0.32,0.35,0.19,0.26,0.35,0.38,0.3,0.39,0.34,0.28,0.26,0.29,0.21,0.38,0.28,0.33,0.35,0.24,0.22,0.31,0.31,0.27,0.31,0.26,0.27,0.31,0.34,0.22,0.29,0.31,0.23,0.27,0.32,0.35,0.42,0.3,0.3,0.28,0.29,0.34,0.33,0.2,0.18,0.32,0.15,0.3,0.21,0.33,0.32,0.29,0.25,0.33,0.32,0.27,0.27,0.31,0.29,0.31,0.28,0.31,0.29,0.3,0.32,0.32,0.26,0.31,0.24,0.32,0.29,0.26,0.36,0.33,0.27,0.22,0.37,0.37,0.32,0.24,0.28,0.39,0.25,0.18,0.28,0.35,0.25,0.26,0.28,0.35,0.19,- ,0.32,0.3,0.21,0.27,0.3,0.31,0.3,0.32,0.3
61 to 90 minutes,2956,1760,1197,561,856,763,777,561,623,492,504,346,306,124,0,180,180,693,788,1296,232,1176,1089,424,281,418,438,663,76,148,508,424,1442,426,780,160,104,929,115,906,962,482,915.0,581.0,978,139,532,2242,562,353,1461,436,33,2092,864,918,1328,711,2590,201,142,1148,78,1702,30,415,1181,824,536,502,1326,571,558,1380,1408,1887,963,913,1092,519,453,1500,997,2738,207,1372,1133,417,359,532,470,399,202,324,293,378,346,1843,370,396,532,1542,614,257,741,1932,283,0,654,2101,180,517,1334,797,277,373,2580
61 to 90 minutes,0.15,0.17,0.12,0.18,0.17,0.15,0.12,0.18,0.19,0.14,0.15,0.12,0.12,0.1,- ,0.1,0.1,0.13,0.14,0.18,0.1,0.14,0.15,0.19,0.16,0.16,0.17,0.15,0.1,0.12,0.11,0.19,0.14,0.16,0.16,0.13,0.09,0.15,0.1,0.15,0.15,0.13,0.14,0.15,0.16,0.12,0.13,0.16,0.14,0.13,0.15,0.2,0.18,0.16,0.13,0.15,0.15,0.14,0.16,0.12,0.08,0.16,0.13,0.14,0.13,0.16,0.16,0.15,0.13,0.16,0.15,0.16,0.13,0.16,0.14,0.16,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.15,0.09,0.16,0.14,0.13,0.21,0.2,0.17,0.13,0.14,0.14,0.12,0.11,0.17,0.2,0.1,0.08,0.14,0.18,0.11,0.13,0.15,0.18,0.07,- ,0.13,0.16,0.11,0.15,0.16,0.14,0.14,0.24,0.14
91 to 120 minutes,1405,917,488,269,353,363,419,269,248,216,252,193,173,54,2,82,84,401,358,562,138,545,492,198,151,183,180,279,50,90,274,198,663,180,385,80,61,462,64,399,444,232,461.0,271.0,441,81,243,1033,249,204,720,181,15,921,484,451,620,333,1174,131,88,509,43,850,3,205,533,360,307,243,674,235,252,693,633,945,423,431,517,268,217,750,430,1255,145,596,584,201,186,235,249,248,84,119,114,172,214,742,208,241,393,632,276,103,487,759,159,0,253,1048,104,255,652,351,134,189,1211
91 to 120 minutes,0.07,0.09,0.05,0.09,0.07,0.07,0.06,0.09,0.08,0.06,0.07,0.07,0.07,0.04,0.08,0.04,0.04,0.07,0.06,0.08,0.06,0.07,0.07,0.09,0.09,0.07,0.07,0.07,0.07,0.07,0.06,0.09,0.07,0.07,0.08,0.06,0.05,0.08,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.05,0.07,0.07,0.07,0.01,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.06,0.08,0.06,0.08,0.06,0.08,0.07,0.08,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.11,0.09,0.09,0.08,0.06,0.05,0.05,0.05,0.11,0.08,0.05,0.05,0.1,0.08,0.05,0.05,0.1,0.07,0.04,- ,0.05,0.08,0.07,0.07,0.08,0.06,0.07,0.12,0.07
