"In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you do moderate physical activity like carrying light loads, cycling at normal pace or doubles tennis? Please do not include walking. (DO NOT SHOW SCREEN - DO NOT READ OUT)"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
1 day,2259,1207,1052,340,379,440,421,318,249,112,209,894,892,235,185,371,333,461,64,132,477,235,1145,361,520,137,85,641,101,696,809,387,706.0,463.0,703,138,489,1566,428,287,1145,303,27,1540,718,678,980,601,1904,183,157,788,45,1387,39,308,925,584,441,300,1063,470,425,990,1181,1400,807,675,822,402,259,1176,816,2003,240,897,935,396,162,2088
1 day,0.08,0.09,0.07,0.09,0.09,0.1,0.09,0.08,0.06,0.04,0.04,0.08,0.11,0.1,0.09,0.12,0.1,0.08,0.04,0.07,0.06,0.1,0.08,0.11,0.09,0.07,0.04,0.08,0.06,0.08,0.09,0.07,0.07,0.09,0.09,0.07,0.07,0.08,0.06,0.07,0.09,0.12,0.12,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.04,0.08,0.03,0.09,0.07,0.09,0.09,0.08,0.06,0.08,0.09,0.1,0.06,0.09,0.08,0.09,0.07,0.09,0.08,0.08,0.08,0.09,0.07,0.09,0.06,0.08,0.08,0.08,0.1,0.08
2 days,3247,1781,1467,591,573,578,560,388,369,189,265,1244,1231,460,315,417,492,628,83,204,649,460,1598,422,855,184,145,1026,158,946,1073,538,1001.0,664.0,1044,156,690,2308,534,439,1677,439,32,2216,1032,1020,1415,813,2729,266,222,1169,62,1983,33,401,1339,896,612,513,1546,560,628,1526,1563,2101,1012,967,1256,524,461,1697,1072,2914,319,1494,1269,429,318,2930
2 days,0.12,0.13,0.1,0.16,0.14,0.13,0.12,0.09,0.09,0.07,0.06,0.1,0.14,0.19,0.14,0.14,0.15,0.1,0.05,0.12,0.08,0.19,0.11,0.12,0.14,0.1,0.06,0.12,0.09,0.11,0.12,0.09,0.1,0.13,0.14,0.07,0.1,0.13,0.08,0.11,0.13,0.17,0.15,0.12,0.11,0.13,0.11,0.11,0.13,0.1,0.05,0.11,0.05,0.12,0.05,0.12,0.13,0.12,0.09,0.13,0.13,0.11,0.09,0.13,0.11,0.13,0.09,0.13,0.13,0.11,0.14,0.13,0.1,0.12,0.07,0.13,0.11,0.09,0.2,0.11
3 days,2544,1329,1216,389,454,424,440,392,322,123,247,1057,934,289,236,372,363,493,99,156,537,289,1314,311,596,160,127,743,140,831,795,438,843.0,496.0,766,130,598,1763,516,330,1315,263,29,1721,823,815,1141,587,2080,251,184,918,75,1532,19,351,1002,701,490,401,1292,405,447,1119,1240,1529,900,693,890,462,364,1373,792,2268,252,1066,1057,408,208,2333
3 days,0.09,0.1,0.08,0.11,0.11,0.09,0.09,0.1,0.08,0.05,0.05,0.09,0.11,0.12,0.11,0.12,0.11,0.08,0.07,0.09,0.07,0.12,0.09,0.09,0.1,0.08,0.05,0.09,0.08,0.09,0.09,0.08,0.09,0.1,0.1,0.06,0.09,0.1,0.07,0.08,0.1,0.1,0.13,0.09,0.09,0.1,0.09,0.08,0.1,0.09,0.05,0.09,0.05,0.1,0.03,0.1,0.1,0.09,0.07,0.1,0.11,0.08,0.06,0.1,0.08,0.1,0.08,0.09,0.09,0.1,0.11,0.1,0.07,0.1,0.06,0.1,0.1,0.08,0.13,0.09
4 days,1483,796,687,251,231,210,277,220,211,84,161,552,559,185,135,223,180,287,66,80,327,185,756,186,334,88,89,424,86,489,452,260,557.0,254.0,411,73,282,1101,263,191,735,220,8,1013,469,413,662,403,1206,127,139,457,34,975,17,264,621,368,230,306,683,222,271,698,678,954,463,427,583,278,272,758,449,1313,163,651,577,245,163,1318
4 days,0.05,0.06,0.05,0.07,0.06,0.05,0.06,0.05,0.05,0.03,0.03,0.05,0.07,0.08,0.06,0.07,0.05,0.05,0.04,0.04,0.04,0.08,0.05,0.05,0.06,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.03,0.04,0.06,0.04,0.05,0.06,0.09,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.03,0.04,0.02,0.06,0.03,0.08,0.06,0.05,0.03,0.08,0.05,0.05,0.04,0.06,0.05,0.06,0.04,0.06,0.06,0.06,0.08,0.06,0.04,0.06,0.04,0.06,0.05,0.05,0.1,0.05
5 days,1698,961,736,290,288,284,352,241,171,71,211,761,535,158,166,198,179,539,73,98,287,158,842,223,423,105,75,481,122,493,572,267,537.0,320.0,574,102,345,1193,408,223,836,161,9,1106,591,548,764,386,1378,172,131,591,26,1066,14,240,646,505,306,283,770,298,347,814,768,1047,584,487,623,291,241,864,588,1507,185,723,712,241,176,1515
5 days,0.06,0.07,0.05,0.08,0.07,0.06,0.07,0.06,0.04,0.03,0.05,0.06,0.06,0.06,0.08,0.07,0.05,0.09,0.05,0.06,0.04,0.06,0.06,0.07,0.07,0.06,0.03,0.06,0.07,0.06,0.07,0.05,0.06,0.06,0.07,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.04,0.06,0.06,0.07,0.06,0.05,0.07,0.06,0.03,0.06,0.02,0.07,0.02,0.07,0.07,0.07,0.04,0.07,0.06,0.06,0.05,0.07,0.05,0.07,0.05,0.06,0.06,0.06,0.07,0.07,0.05,0.06,0.04,0.06,0.06,0.05,0.11,0.06
6 days,531,282,250,82,66,102,101,75,67,38,71,226,175,57,50,44,59,161,8,30,123,57,265,56,134,38,37,178,31,154,166,112,176.0,90.0,153,40,106,376,101,93,251,61,2,378,154,186,235,110,430,48,49,183,13,332,4,74,215,125,118,93,255,84,100,237,265,322,186,144,197,110,83,278,169,465,67,224,215,92,57,475
6 days,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02
7 days,2718,1323,1395,385,455,434,399,418,427,199,390,1061,945,295,202,298,233,599,157,186,747,295,1342,360,619,199,187,811,194,783,919,530,907.0,478.0,804,177,425,2071,631,372,1288,293,36,1818,899,912,1240,565,2187,175,331,896,113,1685,24,393,884,763,677,498,1224,390,605,1317,1238,1752,879,803,1006,448,414,1359,935,2448,255,1194,1026,452,217,2500
7 days,0.1,0.1,0.1,0.11,0.11,0.09,0.08,0.1,0.1,0.08,0.08,0.09,0.11,0.12,0.09,0.1,0.07,0.1,0.1,0.1,0.1,0.12,0.1,0.11,0.11,0.1,0.08,0.09,0.12,0.09,0.1,0.09,0.1,0.09,0.1,0.08,0.06,0.11,0.09,0.09,0.1,0.12,0.16,0.1,0.09,0.11,0.1,0.08,0.11,0.06,0.08,0.09,0.08,0.11,0.04,0.12,0.09,0.1,0.09,0.13,0.1,0.08,0.09,0.11,0.08,0.11,0.08,0.11,0.1,0.09,0.12,0.1,0.08,0.1,0.06,0.11,0.09,0.09,0.13,0.09
0 days,13284,5705,7579,1259,1607,2070,2209,2017,2316,1806,3109,5893,3154,725,864,1070,1522,2771,973,866,4493,725,6784,1392,2389,958,1619,4133,833,4206,3970,3047,4702.0,2320.0,3215,1300,3767,7862,4108,2052,5676,739,76,8739,4545,3543,5947,3767,8330,1462,2894,5061,1028,6755,440,1292,4266,3553,4174,1450,5182,2420,4233,4642,7635,6396,6223,3237,4369,2251,1244,5618,6353,10391,2726,4740,5492,2547,272,12995
0 days,0.47,0.42,0.52,0.35,0.39,0.45,0.46,0.49,0.56,0.69,0.66,0.5,0.37,0.3,0.4,0.35,0.45,0.46,0.64,0.49,0.59,0.3,0.48,0.42,0.4,0.51,0.68,0.48,0.5,0.48,0.45,0.54,0.49,0.45,0.42,0.61,0.56,0.43,0.58,0.51,0.43,0.29,0.34,0.47,0.49,0.43,0.48,0.52,0.41,0.54,0.7,0.5,0.74,0.42,0.74,0.39,0.43,0.47,0.59,0.38,0.43,0.49,0.59,0.41,0.52,0.41,0.56,0.43,0.45,0.47,0.37,0.42,0.56,0.44,0.64,0.43,0.48,0.53,0.17,0.49
DK,268,141,127,53,55,57,35,49,9,9,33,101,93,32,30,65,19,66,5,19,32,32,131,23,79,13,8,91,10,53,101,51,62.0,58.0,96,10,59,164,61,24,99,50,2,160,108,93,119,55,220,21,25,122,4,134,8,20,84,80,84,32,137,36,63,101,137,142,100,77,83,35,33,145,83,233,27,115,91,37,30,235
DK,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01
Average,1.9,2.1,1.8,2.3,2.2,1.9,1.9,1.9,1.7,1.2,1.4,1.8,2.2,2.5,2.1,2.2,1.8,2.1,1.5,1.9,1.6,2.5,1.9,2.1,2.1,1.9,1.3,1.9,2,1.9,2,1.7,1.9,1.9,2.1,1.5,1.5,2.1,1.6,1.8,2,2.4,2.4,1.9,1.9,2.1,1.9,1.7,2.1,1.6,1.2,1.8,1.1,2.1,0.8,2.3,2,1.9,1.6,2.4,2.1,1.7,1.5,2.2,1.7,2.2,1.6,2.1,2,1.9,2.4,2.1,1.6,2,1.3,2.1,1.9,1.7,3.1,1.8
