"In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')","In general, on days when you do a moderate physical activity, how much time do you spend at it? (IF 'AT LEAST 1 DAY OF MODERATE ACTIVITY IN LAST WEEK')"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,14747,7819,6928,2381,2501,2530,2585,2101,1826,824,1586,5895,5364,1710,1320,1986,1857,3234,555,905,3179,1710,7392,1941,3560,924,753,4395,842,4446,4887,2583,4789.0,2824.0,4552,824,2995,10542,2942,1958,7346,1791,145,9952,4795,4665,6556,3520,12134,1242,1237,5123,371,9095,158,2052,5716,4022,2958,2426,6970,2464,2886,6803,7069,9246,4930,4273,5460,2548,2127,7650,4905,13150,1507,6365,5882,2301,1330,13394
30 minutes or less,3482,1739,1743,552,542,588,646,484,429,240,353,1373,1253,439,275,520,464,586,133,253,812,439,1738,481,793,251,184,1017,211,1136,1082,659,1199.0,651.0,972,207,742,2434,711,442,1734,416,21,2251,1231,963,1663,850,2819,301,332,1171,88,2190,32,491,1392,896,702,583,1607,626,666,1601,1662,2226,1125,1091,1236,574,541,1729,1201,3071,384,1544,1297,580,280,3192
30 minutes or less,0.24,0.22,0.25,0.23,0.22,0.23,0.25,0.23,0.24,0.29,0.22,0.23,0.23,0.26,0.21,0.26,0.25,0.18,0.24,0.28,0.25,0.26,0.23,0.25,0.22,0.27,0.24,0.23,0.25,0.26,0.22,0.25,0.25,0.23,0.21,0.25,0.25,0.23,0.24,0.23,0.23,0.23,0.15,0.23,0.26,0.21,0.25,0.24,0.23,0.24,0.27,0.23,0.24,0.24,0.21,0.24,0.24,0.22,0.24,0.24,0.23,0.25,0.23,0.23,0.24,0.24,0.23,0.25,0.23,0.22,0.25,0.23,0.24,0.23,0.26,0.24,0.22,0.25,0.21,0.24
31 to 60 minutes,5786,2961,2825,1000,1011,1000,996,746,736,296,578,2187,2221,742,505,790,835,1152,202,357,1203,742,2836,755,1468,313,322,1803,300,1653,1938,1016,1765.0,1220.0,1785,274,1206,4163,1036,732,3009,721,73,4048,1738,1771,2505,1509,4876,423,435,2072,135,3506,73,821,2354,1553,1058,979,2798,946,1063,2676,2751,3623,1902,1690,2122,1062,823,3140,1788,5218,533,2601,2285,839,496,5287
31 to 60 minutes,0.39,0.38,0.41,0.42,0.4,0.4,0.39,0.36,0.4,0.36,0.37,0.37,0.42,0.43,0.38,0.4,0.45,0.36,0.36,0.39,0.38,0.43,0.38,0.39,0.41,0.34,0.43,0.41,0.35,0.37,0.4,0.39,0.37,0.43,0.39,0.33,0.4,0.39,0.35,0.37,0.41,0.4,0.5,0.41,0.36,0.38,0.38,0.43,0.4,0.34,0.35,0.4,0.36,0.39,0.46,0.4,0.41,0.39,0.36,0.4,0.4,0.38,0.37,0.39,0.39,0.39,0.39,0.4,0.39,0.42,0.39,0.41,0.36,0.4,0.35,0.41,0.39,0.36,0.37,0.39
61 to 90 minutes,2630,1453,1177,473,437,400,427,418,332,143,292,972,979,337,210,351,326,557,105,161,583,337,1339,324,674,152,124,816,133,831,831,427,869.0,456.0,879,167,466,1941,494,335,1311,382,19,1753,878,897,1135,598,2184,202,227,878,93,1631,28,406,951,729,544,469,1208,449,505,1253,1227,1673,862,781,970,432,417,1339,870,2383,238,1192,1035,380,278,2352
61 to 90 minutes,0.18,0.19,0.17,0.2,0.17,0.16,0.16,0.2,0.18,0.18,0.18,0.16,0.18,0.2,0.16,0.18,0.17,0.17,0.19,0.18,0.18,0.2,0.18,0.17,0.19,0.17,0.16,0.18,0.16,0.19,0.17,0.17,0.18,0.16,0.19,0.21,0.16,0.18,0.17,0.17,0.18,0.21,0.13,0.17,0.18,0.19,0.17,0.17,0.18,0.16,0.18,0.17,0.25,0.18,0.18,0.2,0.17,0.18,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.2,0.17,0.18,0.18,0.16,0.19,0.18,0.17,0.21,0.18
91 to 120 minutes,1102,635,467,161,191,160,195,168,149,77,138,465,401,89,125,154,96,256,43,57,282,89,574,116,273,74,60,341,67,326,364,202,411.0,181.0,309,50,182,847,206,154,564,140,8,761,341,402,452,248,868,118,101,363,21,715,4,145,417,325,214,168,552,144,238,534,522,708,374,306,441,180,128,595,373,998,101,438,488,176,113,983
91 to 120 minutes,0.07,0.08,0.07,0.07,0.08,0.06,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.05,0.09,0.08,0.05,0.08,0.08,0.06,0.09,0.05,0.08,0.06,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.09,0.06,0.07,0.06,0.06,0.08,0.07,0.08,0.08,0.08,0.06,0.08,0.07,0.08,0.07,0.07,0.07,0.1,0.08,0.07,0.06,0.08,0.02,0.07,0.07,0.08,0.07,0.07,0.08,0.06,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.07,0.06,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.09,0.07
More than 120 minutes,1384,818,566,124,234,315,275,234,150,51,180,745,396,55,165,112,105,579,64,59,245,55,737,226,250,123,43,296,120,402,561,204,447.0,238.0,495,115,312,939,407,243,590,93,18,911,473,505,638,241,1119,145,106,445,25,902,13,154,488,414,328,190,625,238,332,583,743,802,547,336,575,227,169,669,546,1197,178,475,603,280,151,1230
More than 120 minutes,0.09,0.1,0.08,0.05,0.09,0.12,0.11,0.11,0.08,0.06,0.11,0.13,0.07,0.03,0.13,0.06,0.06,0.18,0.12,0.07,0.08,0.03,0.1,0.11,0.07,0.13,0.06,0.07,0.14,0.09,0.12,0.08,0.09,0.09,0.11,0.14,0.1,0.09,0.14,0.12,0.08,0.05,0.13,0.09,0.1,0.11,0.1,0.07,0.09,0.12,0.09,0.09,0.07,0.1,0.08,0.07,0.09,0.1,0.11,0.08,0.09,0.1,0.12,0.09,0.11,0.09,0.11,0.08,0.1,0.09,0.08,0.09,0.11,0.09,0.12,0.08,0.1,0.12,0.11,0.09
Never do any moderate physical activity ,106,60,46,19,16,19,10,19,12,10,15,52,21,18,13,10,11,29,6,1,18,18,56,15,25,4,6,29,5,32,39,19,30.0,24.0,32,1,42,59,33,16,46,11,0,73,32,35,54,16,60,28,18,60,5,38,4,17,40,27,22,13,47,27,19,46,59,63,42,27,34,25,21,44,35,85,21,29,60,17,2,104
Never do any moderate physical activity ,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.02,0.02,0.01,0.01,0,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01
DK,257,152,104,51,68,48,35,30,17,7,29,101,93,29,27,50,21,74,2,17,36,29,112,24,77,7,15,92,5,65,71,56,68.0,53.0,80,10,44,160,54,37,92,28,5,155,102,91,109,57,209,26,18,135,6,112,4,17,74,77,90,23,135,36,63,109,106,151,76,43,82,47,27,135,93,199,50,86,114,29,11,245
DK,0.02,0.02,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.02
