"In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)","In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
1 day,1433,722,711,161,198,256,281,229,194,113,225,651,436,89,138,172,176,366,51,91,350,89,792,196,241,86,90,347,70,454,534,254,482.0,296.0,401,118,329,952,327,205,711,117,13,980,453,453,683,290,1076,148,163,504,52,848,29,150,541,405,338,154,688,253,338,611,720,854,530,362,479,293,130,775,518,1233,178,491,707,214,85,1336
1 day,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.05,0.04,0.05,0.06,0.05,0.04,0.06,0.06,0.05,0.06,0.03,0.05,0.05,0.04,0.06,0.06,0.04,0.05,0.04,0.04,0.04,0.05,0.06,0.04,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.06,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.06,0.05,0.05,0.04,0.04,0.06,0.04,0.05,0.05
2 days,2409,1264,1144,272,322,425,376,344,406,262,417,1044,707,176,181,259,363,469,99,130,732,176,1299,228,483,164,199,739,107,768,758,456,865.0,464.0,623,182,605,1532,509,306,1223,258,19,1709,699,705,1103,601,1746,280,331,892,128,1336,54,261,924,705,518,319,1117,450,523,989,1297,1357,966,629,883,419,310,1186,904,2024,369,862,1051,445,144,2265
2 days,0.09,0.09,0.08,0.07,0.08,0.09,0.08,0.08,0.1,0.1,0.09,0.09,0.08,0.07,0.08,0.08,0.11,0.08,0.07,0.07,0.09,0.07,0.09,0.07,0.08,0.09,0.08,0.09,0.07,0.09,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.07,0.08,0.09,0.1,0.09,0.09,0.07,0.09,0.09,0.08,0.09,0.1,0.08,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.07,0.08,0.09,0.09,0.07,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09
3 days,2575,1273,1302,321,362,420,466,360,397,250,358,1137,812,209,208,257,373,547,136,135,709,209,1311,307,517,171,226,776,138,825,793,538,855.0,449.0,733,183,662,1648,638,427,1112,232,37,1768,808,748,1223,601,1854,301,343,939,103,1471,62,286,998,773,518,331,1232,462,550,1062,1350,1479,985,644,892,485,285,1321,955,2142,406,1004,1062,450,176,2397
3 days,0.09,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.07,0.1,0.09,0.09,0.1,0.08,0.11,0.09,0.09,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.11,0.08,0.09,0.17,0.1,0.09,0.09,0.1,0.08,0.09,0.11,0.08,0.09,0.07,0.09,0.1,0.09,0.1,0.1,0.07,0.09,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.08,0.1,0.08,0.09,0.1,0.09,0.09,0.09,0.11,0.09
4 days,2028,967,1061,294,287,304,319,310,331,182,316,844,642,190,143,239,264,351,99,136,607,190,994,258,440,134,177,648,104,650,602,436,690.0,370.0,531,127,486,1380,454,264,982,229,16,1352,676,558,914,556,1510,190,279,731,79,1195,23,256,757,574,441,280,903,421,423,853,1031,1176,751,598,659,378,218,1041,762,1699,314,860,802,323,117,1906
4 days,0.07,0.07,0.07,0.08,0.07,0.07,0.06,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.06,0.08,0.08,0.06,0.06,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.08,0.07,0.07,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.08,0.04,0.08,0.08,0.08,0.06,0.07,0.07,0.09,0.06,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07
5 days,2956,1393,1563,468,472,546,522,427,345,176,383,1218,986,328,197,419,382,722,151,159,597,328,1445,395,748,174,182,951,153,859,981,564,935.0,567.0,891,209,684,2001,731,409,1401,279,18,1939,1017,825,1277,854,2285,290,337,1108,101,1687,60,349,1117,874,616,438,1257,511,749,1244,1497,1768,1065,789,1126,464,359,1395,1183,2511,435,1224,1190,497,180,2774
5 days,0.11,0.1,0.11,0.13,0.11,0.12,0.11,0.1,0.08,0.07,0.08,0.1,0.12,0.13,0.09,0.14,0.11,0.12,0.1,0.09,0.08,0.13,0.1,0.12,0.13,0.09,0.08,0.11,0.09,0.1,0.11,0.1,0.1,0.11,0.12,0.1,0.1,0.11,0.1,0.1,0.11,0.11,0.08,0.1,0.11,0.1,0.1,0.12,0.11,0.11,0.08,0.11,0.07,0.11,0.1,0.1,0.11,0.12,0.09,0.11,0.1,0.1,0.1,0.11,0.1,0.11,0.09,0.11,0.12,0.1,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.11,0.11
6 days,1478,681,797,242,216,261,227,227,187,118,224,576,468,187,108,158,153,301,87,119,365,187,703,184,348,114,109,458,113,457,429,285,519.0,283.0,391,97,343,1008,361,218,700,125,12,945,533,360,602,516,1107,170,172,501,52,904,22,222,535,413,308,208,679,269,322,669,714,881,535,467,549,165,162,771,542,1269,205,693,542,219,106,1371
6 days,0.05,0.05,0.05,0.07,0.05,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.08,0.05,0.05,0.05,0.05,0.06,0.07,0.05,0.08,0.05,0.05,0.06,0.06,0.05,0.05,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.05,0.07,0.05,0.06,0.04,0.05,0.04,0.06,0.04,0.07,0.05,0.05,0.04,0.05,0.06,0.06,0.05,0.06,0.05,0.06,0.05,0.06,0.06,0.03,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.07,0.05
7 days,10789,5145,5644,1555,1802,1725,1854,1527,1497,829,1682,4399,3544,1043,820,1214,1226,2364,648,780,2694,1043,5340,1339,2506,751,756,3301,712,3238,3441,2010,3629.0,1993.0,3157,735,2378,7435,2795,1468,5037,997,78,7026,3763,3114,4733,2934,8335,852,1399,3859,451,6336,144,1471,3643,2792,2883,1725,4526,1742,2795,4533,5591,6197,4170,3104,3874,1660,1513,4915,4312,9351,1363,4499,4265,1778,676,10106
