"In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking?"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
30 minutes or less,11243,5472,5771,1617,1685,1935,1856,1547,1567,1036,1802,4502,3534,1172,806,1334,1523,2242,579,679,2909,1172,5575,1291,2607,711,934,3587,665,3417,3448,2265,3686.0,2065.0,3227,850,2839,7233,2788,1672,5170,1047,90,7365,3878,3198,4841,3194,8238,1117,1555,4113,533,6346,251,1347,4142,3092,2662,1443,4967,2105,2728,4488,6028,6313,4454,3064,3964,1808,1239,5437,4517,9363,1760,4529,4547,1893,594,10632
30 minutes or less,0.4,0.4,0.4,0.44,0.41,0.42,0.39,0.37,0.38,0.39,0.38,0.38,0.41,0.48,0.37,0.44,0.45,0.37,0.38,0.38,0.38,0.48,0.39,0.39,0.44,0.38,0.39,0.42,0.4,0.39,0.39,0.4,0.39,0.4,0.42,0.4,0.42,0.39,0.39,0.42,0.4,0.41,0.41,0.39,0.41,0.39,0.39,0.44,0.4,0.41,0.38,0.41,0.38,0.4,0.42,0.4,0.42,0.41,0.37,0.37,0.41,0.43,0.38,0.39,0.41,0.4,0.4,0.41,0.4,0.38,0.37,0.41,0.4,0.4,0.42,0.41,0.4,0.39,0.37,0.4
31 to 60 minutes,8520,3894,4626,1106,1292,1386,1493,1265,1282,696,1324,3546,2780,762,686,931,1031,1754,522,546,2289,762,4451,978,1796,574,635,2539,465,2599,2830,1601,2924.0,1573.0,2422,538,1828,5971,2031,1120,4129,847,70,5907,2613,2393,4000,2122,6462,807,1153,3063,331,5020,106,1098,3152,2366,1904,1321,3793,1453,1952,3642,4295,5029,3148,2375,3056,1477,1115,4172,3193,7456,1036,3682,3297,1382,574,7943
31 to 60 minutes,0.3,0.29,0.32,0.3,0.31,0.3,0.31,0.31,0.31,0.27,0.28,0.3,0.33,0.31,0.31,0.3,0.31,0.29,0.34,0.31,0.3,0.31,0.31,0.29,0.3,0.3,0.27,0.3,0.28,0.3,0.32,0.28,0.31,0.31,0.31,0.25,0.27,0.32,0.29,0.28,0.32,0.34,0.31,0.32,0.28,0.29,0.32,0.29,0.32,0.3,0.28,0.3,0.24,0.32,0.18,0.33,0.32,0.31,0.27,0.34,0.31,0.3,0.28,0.32,0.29,0.32,0.28,0.32,0.31,0.31,0.33,0.31,0.28,0.32,0.24,0.33,0.29,0.29,0.36,0.3
61 to 90 minutes,2607,1296,1311,355,449,377,461,410,372,183,357,1176,862,184,178,294,302,637,163,186,662,184,1358,360,542,167,144,697,156,878,839,449,984.0,490.0,684,172,560,1845,587,380,1295,255,21,1676,932,750,1137,719,2059,225,281,914,93,1569,31,352,914,683,658,445,1151,414,598,1171,1287,1542,963,767,954,397,412,1271,914,2266,334,955,1172,444,181,2424
61 to 90 minutes,0.09,0.09,0.09,0.1,0.11,0.08,0.1,0.1,0.09,0.07,0.08,0.1,0.1,0.08,0.08,0.1,0.09,0.11,0.11,0.11,0.09,0.08,0.1,0.11,0.09,0.09,0.06,0.08,0.09,0.1,0.09,0.08,0.1,0.09,0.09,0.08,0.08,0.1,0.08,0.09,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.08,0.07,0.09,0.07,0.1,0.05,0.11,0.09,0.09,0.09,0.12,0.09,0.09,0.08,0.1,0.09,0.1,0.09,0.1,0.1,0.08,0.12,0.1,0.08,0.09,0.08,0.09,0.1,0.09,0.11,0.09
91 to 120 minutes,978,528,450,142,124,161,185,139,153,73,124,463,284,84,92,95,107,222,41,78,260,84,464,120,215,87,76,307,71,277,307,205,317.0,164.0,292,64,190,700,268,109,462,75,10,648,330,339,424,214,773,94,101,343,51,575,9,113,340,290,235,163,438,140,237,459,462,615,330,262,391,180,153,467,356,840,133,390,408,160,95,881
