"How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television","How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
1 hour or less,1276,543,733,107,204,281,242,164,171,107,234,568,327,75,118,98,115,393,96,90,292,75,703,162,183,102,107,276,115,325,540,220,389.0,227.0,439,112,447,699,376,198,562,94,5,819,457,483,523,270,797,182,259,532,46,616,82,94,444,348,390,112,474,227,463,546,628,663,527,219,470,221,107,507,654,1011,251,440,610,178,73,1197
1 hour or less,0.04,0.04,0.05,0.03,0.05,0.06,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.03,0.05,0.03,0.03,0.07,0.06,0.05,0.04,0.03,0.05,0.05,0.03,0.05,0.05,0.03,0.07,0.04,0.06,0.04,0.04,0.04,0.06,0.05,0.07,0.04,0.05,0.05,0.04,0.04,0.02,0.04,0.05,0.06,0.04,0.04,0.04,0.07,0.06,0.05,0.03,0.04,0.14,0.03,0.05,0.05,0.05,0.03,0.04,0.05,0.07,0.05,0.04,0.04,0.05,0.03,0.05,0.05,0.03,0.04,0.06,0.04,0.06,0.04,0.05,0.04,0.05,0.04
1 hour to 1 hour and 30 minutes,1054,431,623,123,209,197,218,139,102,66,183,514,303,30,105,107,81,351,97,84,199,30,581,141,206,72,47,252,73,304,417,160,342.0,219.0,333,89,284,656,322,147,503,54,3,708,347,373,397,284,752,139,155,477,32,528,18,100,421,249,284,110,453,180,311,451,539,577,424,278,383,150,113,475,459,900,146,421,464,145,71,977
1 hour to 1 hour and 30 minutes,0.04,0.03,0.04,0.03,0.05,0.04,0.05,0.03,0.02,0.03,0.04,0.04,0.04,0.01,0.05,0.04,0.02,0.06,0.06,0.05,0.02,0.01,0.04,0.04,0.03,0.04,0.02,0.03,0.04,0.04,0.05,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.02,0.01,0.04,0.04,0.04,0.03,0.04,0.04,0.05,0.04,0.05,0.02,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04
1 hour 31 minutes to 2 hours 30 minutes,2249,1017,1232,222,381,440,443,406,255,102,362,1120,640,89,205,191,174,847,183,102,459,89,1228,348,330,204,126,480,180,670,906,319,730.0,460.0,741,162,572,1459,630,393,1002,157,8,1463,786,695,1054,499,1741,251,240,836,72,1311,30,252,806,672,520,296,985,416,553,963,1156,1287,890,594,844,364,261,1082,897,1925,312,817,1042,345,130,2110
1 hour 31 minutes to 2 hours 30 minutes,0.08,0.08,0.08,0.06,0.09,0.1,0.09,0.1,0.06,0.04,0.08,0.09,0.07,0.04,0.09,0.06,0.05,0.14,0.12,0.06,0.06,0.04,0.09,0.1,0.06,0.11,0.05,0.06,0.11,0.08,0.1,0.05,0.08,0.09,0.1,0.08,0.09,0.08,0.09,0.1,0.08,0.06,0.04,0.08,0.08,0.08,0.08,0.07,0.08,0.09,0.06,0.08,0.05,0.08,0.05,0.07,0.08,0.09,0.07,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.09,0.07,0.08,0.08
2 hours 31 minutes to 3 hours 30 minutes,3737,1777,1960,464,658,621,675,606,470,244,611,1742,1091,251,360,309,331,1104,273,285,825,251,2029,450,768,243,212,948,275,1095,1384,529,1246.0,840.0,1121,244,950,2474,1004,578,1737,273,13,2539,1198,1149,1784,799,2730,523,430,1334,118,2246,39,394,1273,1089,980,488,1641,596,1012,1509,1973,2054,1538,903,1370,632,453,1706,1567,3239,474,1445,1545,654,233,3496
