What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE),What are the main reasons currently preventing you from practising sport more regularly? (MULTIPLE ANSWERS POSSIBLE)
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1602,26389
You do not have the time,11111,5404,5707,1642,2195,2633,2363,1445,645,189,1075,4888,3889,1080,1257,1653,1848,3234,596,484,959,1080,6074,1625,2344,685,265,2549,744,2804,4895,1278,3078.0,2604.0,4151,748,2843,7330,2433,1516,5600,1062,104,7513,3598,3161,4900,3038,9419,911,698,4635,175,6190,111,1332,4305,3038,2436,1459,5049,1931,2673,4469,5971,6174,4472,2891,4084,1994,1260,5569,4231,9774,1277,4675,4574,1674,638,10464
You do not have the time,0.4,0.4,0.39,0.45,0.53,0.57,0.49,0.35,0.16,0.07,0.23,0.41,0.46,0.44,0.58,0.54,0.55,0.54,0.39,0.27,0.13,0.44,0.43,0.49,0.39,0.36,0.11,0.3,0.44,0.32,0.55,0.23,0.32,0.51,0.53,0.35,0.42,0.4,0.35,0.38,0.43,0.42,0.47,0.4,0.39,0.39,0.39,0.42,0.46,0.34,0.17,0.46,0.13,0.39,0.19,0.4,0.43,0.4,0.34,0.38,0.42,0.4,0.38,0.39,0.41,0.39,0.4,0.38,0.42,0.42,0.37,0.42,0.38,0.42,0.3,0.42,0.4,0.35,0.4,0.4
It is too expensive,2082,861,1221,295,399,366,427,298,228,67,344,956,544,176,105,144,260,521,167,314,395,176,853,330,558,193,109,685,174,529,654,452,619.0,375.0,635,373,789,879,703,402,825,72,2,1137,945,499,937,645,1565,217,264,935,75,1033,38,246,782,504,551,282,779,460,561,714,1238,1029,967,630,675,296,240,895,940,1442,625,714,897,435,104,1966
It is too expensive,0.07,0.06,0.08,0.08,0.1,0.08,0.09,0.07,0.06,0.03,0.07,0.08,0.06,0.07,0.05,0.05,0.08,0.09,0.11,0.18,0.05,0.07,0.06,0.1,0.09,0.1,0.05,0.08,0.1,0.06,0.07,0.08,0.07,0.07,0.08,0.18,0.12,0.05,0.1,0.1,0.06,0.03,0.01,0.06,0.1,0.06,0.07,0.09,0.08,0.08,0.06,0.09,0.05,0.07,0.06,0.07,0.08,0.07,0.08,0.07,0.06,0.09,0.08,0.06,0.08,0.07,0.09,0.08,0.07,0.06,0.07,0.07,0.08,0.06,0.15,0.06,0.08,0.09,0.07,0.07
You do not like competitive activities,1668,720,948,165,172,284,325,290,329,103,340,743,457,102,134,129,223,351,145,123,461,102,849,229,328,119,134,490,91,568,510,336,602.0,301.0,428,182,575,875,405,320,753,141,6,1148,520,433,837,398,1152,208,269,682,58,886,42,202,624,444,398,214,716,358,380,640,949,851,769,512,505,310,168,802,695,1317,333,578,741,298,47,1620
You do not like competitive activities,0.06,0.05,0.07,0.05,0.04,0.06,0.07,0.07,0.08,0.04,0.07,0.06,0.05,0.04,0.06,0.04,0.07,0.06,0.1,0.07,0.06,0.04,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.07,0.06,0.06,0.06,0.06,0.06,0.09,0.09,0.05,0.06,0.08,0.06,0.06,0.02,0.06,0.06,0.05,0.07,0.05,0.06,0.08,0.07,0.07,0.04,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.05,0.06,0.06,0.05,0.07,0.07,0.05,0.06,0.05,0.06,0.06,0.06,0.08,0.05,0.07,0.06,0.03,0.06
There is no suitable or accessible sport infrastructure close to where you live,833,392,441,124,152,161,128,114,105,49,129,370,239,70,49,86,145,172,40,99,172,70,442,102,183,39,55,250,26,222,322,132,242.0,195.0,265,98,237,469,200,130,401,56,6,610,223,350,317,166,604,100,121,389,21,404,19,105,296,240,192,94,423,142,174,272,520,393,413,211,285,186,89,433,306,650,180,308,366,148,38,794
There is no suitable or accessible sport infrastructure close to where you live,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.03,0.06,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.04,0.02,0.03,0.04,0.03,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.04,0.03,0.02,0.03,0.04,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.03
You have a disability or illness,3905,1654,2250,129,178,257,505,755,1089,991,1278,1565,828,85,112,155,139,399,201,239,2574,85,1761,267,573,385,895,1560,292,1412,615,1498,1553.0,432.0,422,475,883,2475,1488,646,1364,164,15,2588,1316,1279,1742,881,1771,429,1426,1132,550,2042,181,377,1042,1062,1424,470,1448,759,1227,1307,2297,1970,1762,1007,1451,592,386,1564,1941,2709,1134,1198,1539,1024,135,3770
